SearchBayesianSkopt: New best config found. Config 21: {'topK': 2973, 'shrink': 33, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0495775, PRECISION: 0.0097234, PRECISION_RECALL_MIN_DEN: 0.0324115, RECALL: 0.0324115, MAP: 0.0106129, MRR: 0.0303503, NDCG: 0.0217067, F1: 0.0149591, HIT_RATE: 0.0972344, ARHR: 0.0310945, RMSE: 0.8525045, NOVELTY: 0.0049590, AVERAGE_POPULARITY: 0.8093053, DIVERSITY_MEAN_INTER_LIST: 0.5913723, DIVERSITY_HERFINDAHL: 0.9591243, COVERAGE_ITEM: 0.0029197, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4520257, SHANNON_ENTROPY: 4.9928381, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 3000, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0483840, PRECISION: 0.0094162, PRECISION_RECALL_MIN_DEN: 0.0313872, RECALL: 0.0313872, MAP: 0.0101103, MRR: 0.0289125, NDCG: 0.0208627, F1: 0.0144864, HIT_RATE: 0.0941615, ARHR: 0.0296218, RMSE: 1.1134794, NOVELTY: 0.0049532, AVERAGE_POPULARITY: 0.8143435, DIVERSITY_MEAN_INTER_LIST: 0.5714458, DIVERSITY_HERFINDAHL: 0.9571320, COVERAGE_ITEM: 0.0029738, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4231053, SHANNON_ENTROPY: 4.9279396, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 2969, 'shrink': 1773, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0369659, PRECISION: 0.0071773, PRECISION_RECALL_MIN_DEN: 0.0239245, RECALL: 0.0239245, MAP: 0.0080089, MRR: 0.0228822, NDCG: 0.0162231, F1: 0.0110421, HIT_RATE: 0.0717735, ARHR: 0.0234545, RMSE: 0.9639433, NOVELTY: 0.0054475, AVERAGE_POPULARITY: 0.5505341, DIVERSITY_MEAN_INTER_LIST: 0.8778653, DIVERSITY_HERFINDAHL: 0.9877673, COVERAGE_ITEM: 0.0133009, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3915042, SHANNON_ENTROPY: 6.9690980, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 2986, 'shrink': 130, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0379033, PRECISION: 0.0072651, PRECISION_RECALL_MIN_DEN: 0.0242171, RECALL: 0.0242171, MAP: 0.0082712, MRR: 0.0238115, NDCG: 0.0166187, F1: 0.0111771, HIT_RATE: 0.0726514, ARHR: 0.0243126, RMSE: 0.8102199, NOVELTY: 0.0052777, AVERAGE_POPULARITY: 0.6550764, DIVERSITY_MEAN_INTER_LIST: 0.7726000, DIVERSITY_HERFINDAHL: 0.9772430, COVERAGE_ITEM: 0.0310895, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1483347, SHANNON_ENTROPY: 6.4958781, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 2978, 'shrink': 1909, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0454163, PRECISION: 0.0088455, PRECISION_RECALL_MIN_DEN: 0.0294849, RECALL: 0.0294849, MAP: 0.0099619, MRR: 0.0281216, NDCG: 0.0200251, F1: 0.0136084, HIT_RATE: 0.0884548, ARHR: 0.0290036, RMSE: 0.9092944, NOVELTY: 0.0051144, AVERAGE_POPULARITY: 0.6946280, DIVERSITY_MEAN_INTER_LIST: 0.7727939, DIVERSITY_HERFINDAHL: 0.9772624, COVERAGE_ITEM: 0.0064882, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3870990, SHANNON_ENTROPY: 5.9415797, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 3000, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0483840, PRECISION: 0.0094162, PRECISION_RECALL_MIN_DEN: 0.0313872, RECALL: 0.0313872, MAP: 0.0101103, MRR: 0.0289125, NDCG: 0.0208627, F1: 0.0144864, HIT_RATE: 0.0941615, ARHR: 0.0296218, RMSE: 1.1134794, NOVELTY: 0.0049532, AVERAGE_POPULARITY: 0.8143435, DIVERSITY_MEAN_INTER_LIST: 0.5714458, DIVERSITY_HERFINDAHL: 0.9571320, COVERAGE_ITEM: 0.0029738, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4231053, SHANNON_ENTROPY: 4.9279396, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 2974, 'shrink': 1935, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0357922, PRECISION: 0.0069579, PRECISION_RECALL_MIN_DEN: 0.0231929, RECALL: 0.0231929, MAP: 0.0078353, MRR: 0.0224922, NDCG: 0.0158035, F1: 0.0107044, HIT_RATE: 0.0695786, ARHR: 0.0229991, RMSE: 0.9975690, NOVELTY: 0.0052300, AVERAGE_POPULARITY: 0.6380589, DIVERSITY_MEAN_INTER_LIST: 0.8004071, DIVERSITY_HERFINDAHL: 0.9800231, COVERAGE_ITEM: 0.0575831, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1068308, SHANNON_ENTROPY: 6.7715856, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 2971, 'shrink': 127, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0317972, PRECISION: 0.0058824, PRECISION_RECALL_MIN_DEN: 0.0196078, RECALL: 0.0196078, MAP: 0.0066983, MRR: 0.0190832, NDCG: 0.0134654, F1: 0.0090498, HIT_RATE: 0.0588235, ARHR: 0.0195890, RMSE: 0.9022035, NOVELTY: 0.0057891, AVERAGE_POPULARITY: 0.4455068, DIVERSITY_MEAN_INTER_LIST: 0.9171662, DIVERSITY_HERFINDAHL: 0.9916965, COVERAGE_ITEM: 0.0368208, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2571040, SHANNON_ENTROPY: 7.7851466, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 2961, 'shrink': 1960, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0424913, PRECISION: 0.0083187, PRECISION_RECALL_MIN_DEN: 0.0277290, RECALL: 0.0277290, MAP: 0.0090351, MRR: 0.0257269, NDCG: 0.0185190, F1: 0.0127980, HIT_RATE: 0.0831870, ARHR: 0.0264161, RMSE: 0.9941286, NOVELTY: 0.0051602, AVERAGE_POPULARITY: 0.6703829, DIVERSITY_MEAN_INTER_LIST: 0.8051674, DIVERSITY_HERFINDAHL: 0.9804991, COVERAGE_ITEM: 0.0091917, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3474542, SHANNON_ENTROPY: 6.2727813, 
SearchBayesianSkopt: Config 30 is suboptimal. Config: {'topK': 2998, 'shrink': 1890, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0440491, PRECISION: 0.0084504, PRECISION_RECALL_MIN_DEN: 0.0281680, RECALL: 0.0281680, MAP: 0.0092679, MRR: 0.0261628, NDCG: 0.0188949, F1: 0.0130006, HIT_RATE: 0.0845040, ARHR: 0.0269833, RMSE: 0.9176280, NOVELTY: 0.0051711, AVERAGE_POPULARITY: 0.6638734, DIVERSITY_MEAN_INTER_LIST: 0.8020976, DIVERSITY_HERFINDAHL: 0.9801922, COVERAGE_ITEM: 0.0081644, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3651974, SHANNON_ENTROPY: 6.1825771, 
