SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 411, 'shrink': 992, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0589881, PRECISION: 0.0099014, PRECISION_RECALL_MIN_DEN: 0.0330046, RECALL: 0.0330046, MAP: 0.0148781, MRR: 0.0430343, NDCG: 0.0265181, F1: 0.0152329, HIT_RATE: 0.0990138, ARHR: 0.0438343, RMSE: 128.7736363, NOVELTY: 0.0049419, AVERAGE_POPULARITY: 0.8267965, DIVERSITY_MEAN_INTER_LIST: 0.5376842, DIVERSITY_HERFINDAHL: 0.9537472, COVERAGE_ITEM: 0.0080562, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1556650, SHANNON_ENTROPY: 4.8942671, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 28, 'shrink': 973, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0788328, PRECISION: 0.0133333, PRECISION_RECALL_MIN_DEN: 0.0444444, RECALL: 0.0444444, MAP: 0.0182975, MRR: 0.0524664, NDCG: 0.0338654, F1: 0.0205128, HIT_RATE: 0.1333333, ARHR: 0.0536301, RMSE: 1.1122395, NOVELTY: 0.0070987, AVERAGE_POPULARITY: 0.0900612, DIVERSITY_MEAN_INTER_LIST: 0.9939734, DIVERSITY_HERFINDAHL: 0.9993581, COVERAGE_ITEM: 0.3464180, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4009604, SHANNON_ENTROPY: 11.5465111, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 997, 'shrink': 2, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0677076, PRECISION: 0.0110059, PRECISION_RECALL_MIN_DEN: 0.0366864, RECALL: 0.0366864, MAP: 0.0156036, MRR: 0.0447168, NDCG: 0.0285014, F1: 0.0169322, HIT_RATE: 0.1100592, ARHR: 0.0456980, RMSE: 1999.4629003, NOVELTY: 0.0063062, AVERAGE_POPULARITY: 0.2120178, DIVERSITY_MEAN_INTER_LIST: 0.9881934, DIVERSITY_HERFINDAHL: 0.9987804, COVERAGE_ITEM: 0.1835091, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3768350, SHANNON_ENTROPY: 10.6071877, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1108070, PRECISION: 0.0188166, PRECISION_RECALL_MIN_DEN: 0.0627219, RECALL: 0.0627219, MAP: 0.0264570, MRR: 0.0734096, NDCG: 0.0480556, F1: 0.0289486, HIT_RATE: 0.1881657, ARHR: 0.0763026, RMSE: 1.1473752, NOVELTY: 0.0062113, AVERAGE_POPULARITY: 0.2663174, DIVERSITY_MEAN_INTER_LIST: 0.9771153, DIVERSITY_HERFINDAHL: 0.9976730, COVERAGE_ITEM: 0.1345228, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2685919, SHANNON_ENTROPY: 9.6666664, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 996, 'shrink': 998, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0677515, PRECISION: 0.0110059, PRECISION_RECALL_MIN_DEN: 0.0366864, RECALL: 0.0366864, MAP: 0.0156059, MRR: 0.0447239, NDCG: 0.0285047, F1: 0.0169322, HIT_RATE: 0.1100592, ARHR: 0.0457050, RMSE: 3.1714159, NOVELTY: 0.0063067, AVERAGE_POPULARITY: 0.2118473, DIVERSITY_MEAN_INTER_LIST: 0.9882074, DIVERSITY_HERFINDAHL: 0.9987818, COVERAGE_ITEM: 0.1834550, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3770932, SHANNON_ENTROPY: 10.6079592, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 9, 'shrink': 30, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0610571, PRECISION: 0.0098225, PRECISION_RECALL_MIN_DEN: 0.0327416, RECALL: 0.0327416, MAP: 0.0152552, MRR: 0.0431251, NDCG: 0.0267188, F1: 0.0151115, HIT_RATE: 0.0982249, ARHR: 0.0443961, RMSE: 1.2222180, NOVELTY: 0.0084060, AVERAGE_POPULARITY: 0.1088958, DIVERSITY_MEAN_INTER_LIST: 0.9925197, DIVERSITY_HERFINDAHL: 0.9992128, COVERAGE_ITEM: 0.3005137, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4732901, SHANNON_ENTROPY: 11.5619958, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1108070, PRECISION: 0.0188166, PRECISION_RECALL_MIN_DEN: 0.0627219, RECALL: 0.0627219, MAP: 0.0264570, MRR: 0.0734096, NDCG: 0.0480556, F1: 0.0289486, HIT_RATE: 0.1881657, ARHR: 0.0763026, RMSE: 1.1473752, NOVELTY: 0.0062113, AVERAGE_POPULARITY: 0.2663174, DIVERSITY_MEAN_INTER_LIST: 0.9771153, DIVERSITY_HERFINDAHL: 0.9976730, COVERAGE_ITEM: 0.1345228, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2685919, SHANNON_ENTROPY: 9.6666664, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 993, 'shrink': 43, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0680970, PRECISION: 0.0114793, PRECISION_RECALL_MIN_DEN: 0.0382643, RECALL: 0.0382643, MAP: 0.0174752, MRR: 0.0485877, NDCG: 0.0306790, F1: 0.0176604, HIT_RATE: 0.1147929, ARHR: 0.0504574, RMSE: 4.3409172, NOVELTY: 0.0064597, AVERAGE_POPULARITY: 0.4748572, DIVERSITY_MEAN_INTER_LIST: 0.8634622, DIVERSITY_HERFINDAHL: 0.9863122, COVERAGE_ITEM: 0.1436064, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1578024, SHANNON_ENTROPY: 7.9132537, 
SearchBayesianSkopt: Config 30 is suboptimal. Config: {'topK': 8, 'shrink': 999, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0755768, PRECISION: 0.0128205, PRECISION_RECALL_MIN_DEN: 0.0427350, RECALL: 0.0427350, MAP: 0.0187050, MRR: 0.0516515, NDCG: 0.0334070, F1: 0.0197239, HIT_RATE: 0.1282051, ARHR: 0.0538551, RMSE: 1.2806668, NOVELTY: 0.0053027, AVERAGE_POPULARITY: 0.5740683, DIVERSITY_MEAN_INTER_LIST: 0.9152134, DIVERSITY_HERFINDAHL: 0.9914852, COVERAGE_ITEM: 0.0435793, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1953250, SHANNON_ENTROPY: 7.6329927, 
SearchBayesianSkopt: Config 31 is suboptimal. Config: {'topK': 20, 'shrink': 13, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0802217, PRECISION: 0.0132150, PRECISION_RECALL_MIN_DEN: 0.0440500, RECALL: 0.0440500, MAP: 0.0180548, MRR: 0.0516457, NDCG: 0.0335122, F1: 0.0203308, HIT_RATE: 0.1321499, ARHR: 0.0528557, RMSE: 61.4768957, NOVELTY: 0.0071140, AVERAGE_POPULARITY: 0.0881076, DIVERSITY_MEAN_INTER_LIST: 0.9939681, DIVERSITY_HERFINDAHL: 0.9993576, COVERAGE_ITEM: 0.3435523, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3993533, SHANNON_ENTROPY: 11.5348147, 
SearchBayesianSkopt: Config 32 is suboptimal. Config: {'topK': 9, 'shrink': 4, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0805873, PRECISION: 0.0140434, PRECISION_RECALL_MIN_DEN: 0.0468113, RECALL: 0.0468113, MAP: 0.0203119, MRR: 0.0562922, NDCG: 0.0363868, F1: 0.0216052, HIT_RATE: 0.1404339, ARHR: 0.0585943, RMSE: 6865.3931760, NOVELTY: 0.0053045, AVERAGE_POPULARITY: 0.5731814, DIVERSITY_MEAN_INTER_LIST: 0.9171211, DIVERSITY_HERFINDAHL: 0.9916759, COVERAGE_ITEM: 0.0381725, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2128796, SHANNON_ENTROPY: 7.6034452, 
SearchBayesianSkopt: Config 33 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1108070, PRECISION: 0.0188166, PRECISION_RECALL_MIN_DEN: 0.0627219, RECALL: 0.0627219, MAP: 0.0264570, MRR: 0.0734096, NDCG: 0.0480556, F1: 0.0289486, HIT_RATE: 0.1881657, ARHR: 0.0763026, RMSE: 1.1473752, NOVELTY: 0.0062113, AVERAGE_POPULARITY: 0.2663174, DIVERSITY_MEAN_INTER_LIST: 0.9771153, DIVERSITY_HERFINDAHL: 0.9976730, COVERAGE_ITEM: 0.1345228, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2685919, SHANNON_ENTROPY: 9.6666664, 
SearchBayesianSkopt: Config 34 is suboptimal. Config: {'topK': 999, 'shrink': 983, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0567061, PRECISION: 0.0098225, PRECISION_RECALL_MIN_DEN: 0.0327416, RECALL: 0.0327416, MAP: 0.0138052, MRR: 0.0395628, NDCG: 0.0252361, F1: 0.0151115, HIT_RATE: 0.0982249, ARHR: 0.0404892, RMSE: 1.5544469, NOVELTY: 0.0050208, AVERAGE_POPULARITY: 0.7589407, DIVERSITY_MEAN_INTER_LIST: 0.6472704, DIVERSITY_HERFINDAHL: 0.9647015, COVERAGE_ITEM: 0.0130846, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1357963, SHANNON_ENTROPY: 5.3956408, 
SearchBayesianSkopt: Search complete. Best config is 16: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'}
