SearchBayesianSkoptObject: New best config found. Config 21: {'MIXED_ITEM': 0.014667586445465623, 'MIXED_USER': 0.0013235051989859417} - results: ROC_AUC: 0.1360223, PRECISION: 0.0225304, PRECISION_RECALL_MIN_DEN: 0.0751014, RECALL: 0.0751014, MAP: 0.0355046, MRR: 0.0969739, NDCG: 0.0612736, F1: 0.0346622, HIT_RATE: 0.2253043, ARHR: 0.1016578, RMSE: 0.9992507, NOVELTY: 0.0059508, AVERAGE_POPULARITY: 0.3480011, DIVERSITY_MEAN_INTER_LIST: 0.9749266, DIVERSITY_HERFINDAHL: 0.9974866, COVERAGE_ITEM: 0.4698567, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1495026, SHANNON_ENTROPY: 10.1622333, 
SearchBayesianSkoptObject: Config 22 is suboptimal. Config: {'MIXED_ITEM': 1.0, 'MIXED_USER': 0.0} - results: ROC_AUC: 0.1340629, PRECISION: 0.0211590, PRECISION_RECALL_MIN_DEN: 0.0705298, RECALL: 0.0705298, MAP: 0.0350310, MRR: 0.0959133, NDCG: 0.0594169, F1: 0.0325522, HIT_RATE: 0.2115895, ARHR: 0.1004250, RMSE: 0.9775507, NOVELTY: 0.0063983, AVERAGE_POPULARITY: 0.2208572, DIVERSITY_MEAN_INTER_LIST: 0.9898026, DIVERSITY_HERFINDAHL: 0.9989741, COVERAGE_ITEM: 0.6368208, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2168636, SHANNON_ENTROPY: 11.3116191, 
SearchBayesianSkoptObject: Config 23 is suboptimal. Config: {'MIXED_ITEM': 0.02723575722049299, 'MIXED_USER': 0.00030263241046046835} - results: ROC_AUC: 0.1348131, PRECISION: 0.0213690, PRECISION_RECALL_MIN_DEN: 0.0712300, RECALL: 0.0712300, MAP: 0.0351727, MRR: 0.0963139, NDCG: 0.0597890, F1: 0.0328754, HIT_RATE: 0.2136900, ARHR: 0.1008382, RMSE: 0.9992076, NOVELTY: 0.0063236, AVERAGE_POPULARITY: 0.2379091, DIVERSITY_MEAN_INTER_LIST: 0.9889087, DIVERSITY_HERFINDAHL: 0.9988848, COVERAGE_ITEM: 0.6146526, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2090462, SHANNON_ENTROPY: 11.1950629, 
SearchBayesianSkoptObject: Config 24 is suboptimal. Config: {'MIXED_ITEM': 1.0, 'MIXED_USER': 0.0} - results: ROC_AUC: 0.1340629, PRECISION: 0.0211590, PRECISION_RECALL_MIN_DEN: 0.0705298, RECALL: 0.0705298, MAP: 0.0350310, MRR: 0.0959133, NDCG: 0.0594169, F1: 0.0325522, HIT_RATE: 0.2115895, ARHR: 0.1004250, RMSE: 0.9775507, NOVELTY: 0.0063983, AVERAGE_POPULARITY: 0.2208572, DIVERSITY_MEAN_INTER_LIST: 0.9898026, DIVERSITY_HERFINDAHL: 0.9989741, COVERAGE_ITEM: 0.6368208, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2168636, SHANNON_ENTROPY: 11.3116191, 
SearchBayesianSkoptObject: Config 25 is suboptimal. Config: {'MIXED_ITEM': 1.0, 'MIXED_USER': 0.0} - results: ROC_AUC: 0.1340629, PRECISION: 0.0211590, PRECISION_RECALL_MIN_DEN: 0.0705298, RECALL: 0.0705298, MAP: 0.0350310, MRR: 0.0959133, NDCG: 0.0594169, F1: 0.0325522, HIT_RATE: 0.2115895, ARHR: 0.1004250, RMSE: 0.9775507, NOVELTY: 0.0063983, AVERAGE_POPULARITY: 0.2208572, DIVERSITY_MEAN_INTER_LIST: 0.9898026, DIVERSITY_HERFINDAHL: 0.9989741, COVERAGE_ITEM: 0.6368208, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2168636, SHANNON_ENTROPY: 11.3116191, 
SearchBayesianSkoptObject: Config 26 is suboptimal. Config: {'MIXED_ITEM': 0.9935935960358744, 'MIXED_USER': 0.9925217695509428} - results: ROC_AUC: 0.1130297, PRECISION: 0.0184222, PRECISION_RECALL_MIN_DEN: 0.0614073, RECALL: 0.0614073, MAP: 0.0292020, MRR: 0.0810386, NDCG: 0.0505054, F1: 0.0283418, HIT_RATE: 0.1842219, ARHR: 0.0842935, RMSE: 0.8748391, NOVELTY: 0.0053056, AVERAGE_POPULARITY: 0.5882579, DIVERSITY_MEAN_INTER_LIST: 0.8874551, DIVERSITY_HERFINDAHL: 0.9887400, COVERAGE_ITEM: 0.2001622, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0702468, SHANNON_ENTROPY: 7.7315764, 
SearchBayesianSkoptObject: Config 27 is suboptimal. Config: {'MIXED_ITEM': 0.0012521518579822202, 'MIXED_USER': 0.00039517719708981336} - results: ROC_AUC: 0.1283221, PRECISION: 0.0210292, PRECISION_RECALL_MIN_DEN: 0.0700974, RECALL: 0.0700974, MAP: 0.0332051, MRR: 0.0914435, NDCG: 0.0574023, F1: 0.0323526, HIT_RATE: 0.2102922, ARHR: 0.0954664, RMSE: 0.9998575, NOVELTY: 0.0055477, AVERAGE_POPULARITY: 0.4913633, DIVERSITY_MEAN_INTER_LIST: 0.9333985, DIVERSITY_HERFINDAHL: 0.9933341, COVERAGE_ITEM: 0.3071100, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0966229, SHANNON_ENTROPY: 8.7437317, 
SearchBayesianSkoptObject: Config 28 is suboptimal. Config: {'MIXED_ITEM': 0.0023034202366355454, 'MIXED_USER': 0.005016368056461996} - results: ROC_AUC: 0.1042463, PRECISION: 0.0170198, PRECISION_RECALL_MIN_DEN: 0.0567328, RECALL: 0.0567328, MAP: 0.0268413, MRR: 0.0747098, NDCG: 0.0465543, F1: 0.0261844, HIT_RATE: 0.1701983, ARHR: 0.0775961, RMSE: 0.9985488, NOVELTY: 0.0052398, AVERAGE_POPULARITY: 0.6158709, DIVERSITY_MEAN_INTER_LIST: 0.8717661, DIVERSITY_HERFINDAHL: 0.9871712, COVERAGE_ITEM: 0.1696134, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0639794, SHANNON_ENTROPY: 7.4306317, 
SearchBayesianSkoptObject: Config 29 is suboptimal. Config: {'MIXED_ITEM': 0.9978424621905407, 'MIXED_USER': 0.005494631020655839} - results: ROC_AUC: 0.1345759, PRECISION: 0.0212331, PRECISION_RECALL_MIN_DEN: 0.0707770, RECALL: 0.0707770, MAP: 0.0351116, MRR: 0.0961179, NDCG: 0.0595807, F1: 0.0326663, HIT_RATE: 0.2123309, ARHR: 0.1006485, RMSE: 0.9762359, NOVELTY: 0.0063446, AVERAGE_POPULARITY: 0.2327737, DIVERSITY_MEAN_INTER_LIST: 0.9892525, DIVERSITY_HERFINDAHL: 0.9989191, COVERAGE_ITEM: 0.6239524, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2127383, SHANNON_ENTROPY: 11.2448043, 
SearchBayesianSkoptObject: Config 30 is suboptimal. Config: {'MIXED_ITEM': 1.0, 'MIXED_USER': 0.0} - results: ROC_AUC: 0.1340629, PRECISION: 0.0211590, PRECISION_RECALL_MIN_DEN: 0.0705298, RECALL: 0.0705298, MAP: 0.0350310, MRR: 0.0959133, NDCG: 0.0594169, F1: 0.0325522, HIT_RATE: 0.2115895, ARHR: 0.1004250, RMSE: 0.9775507, NOVELTY: 0.0063983, AVERAGE_POPULARITY: 0.2208572, DIVERSITY_MEAN_INTER_LIST: 0.9898026, DIVERSITY_HERFINDAHL: 0.9989741, COVERAGE_ITEM: 0.6368208, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2168636, SHANNON_ENTROPY: 11.3116191, 
