SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 496, 'shrink': 1990, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0347656, PRECISION: 0.0061778, PRECISION_RECALL_MIN_DEN: 0.0205927, RECALL: 0.0205927, MAP: 0.0078615, MRR: 0.0222976, NDCG: 0.0149830, F1: 0.0095043, HIT_RATE: 0.0617780, ARHR: 0.0229307, RMSE: 0.9995706, NOVELTY: 0.0068631, AVERAGE_POPULARITY: 0.1032652, DIVERSITY_MEAN_INTER_LIST: 0.9956373, DIVERSITY_HERFINDAHL: 0.9995576, COVERAGE_ITEM: 0.7055961, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3120137, SHANNON_ENTROPY: 12.2344863, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 13, 'shrink': 1993, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0366473, PRECISION: 0.0064373, PRECISION_RECALL_MIN_DEN: 0.0214575, RECALL: 0.0214575, MAP: 0.0082582, MRR: 0.0235188, NDCG: 0.0157070, F1: 0.0099035, HIT_RATE: 0.0643726, ARHR: 0.0241405, RMSE: 0.9999183, NOVELTY: 0.0066002, AVERAGE_POPULARITY: 0.1040055, DIVERSITY_MEAN_INTER_LIST: 0.9971390, DIVERSITY_HERFINDAHL: 0.9997077, COVERAGE_ITEM: 0.8434171, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3668497, SHANNON_ENTROPY: 12.7640498, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 6, 'shrink': 1067, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0391759, PRECISION: 0.0069068, PRECISION_RECALL_MIN_DEN: 0.0230226, RECALL: 0.0230226, MAP: 0.0089039, MRR: 0.0252143, NDCG: 0.0168689, F1: 0.0106258, HIT_RATE: 0.0690678, ARHR: 0.0259557, RMSE: 0.9998896, NOVELTY: 0.0069432, AVERAGE_POPULARITY: 0.1147708, DIVERSITY_MEAN_INTER_LIST: 0.9942516, DIVERSITY_HERFINDAHL: 0.9994190, COVERAGE_ITEM: 0.7400919, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3459017, SHANNON_ENTROPY: 12.3947737, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 499, 'shrink': 1978, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0331271, PRECISION: 0.0058998, PRECISION_RECALL_MIN_DEN: 0.0196660, RECALL: 0.0196660, MAP: 0.0076793, MRR: 0.0216980, NDCG: 0.0144714, F1: 0.0090766, HIT_RATE: 0.0589980, ARHR: 0.0223641, RMSE: 0.9994243, NOVELTY: 0.0064049, AVERAGE_POPULARITY: 0.2153898, DIVERSITY_MEAN_INTER_LIST: 0.9925881, DIVERSITY_HERFINDAHL: 0.9992527, COVERAGE_ITEM: 0.6898621, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2590095, SHANNON_ENTROPY: 11.7717147, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0374948, PRECISION: 0.0065052, PRECISION_RECALL_MIN_DEN: 0.0216841, RECALL: 0.0216841, MAP: 0.0087678, MRR: 0.0248887, NDCG: 0.0162967, F1: 0.0100080, HIT_RATE: 0.0650522, ARHR: 0.0255865, RMSE: 0.9999007, NOVELTY: 0.0069588, AVERAGE_POPULARITY: 0.1029154, DIVERSITY_MEAN_INTER_LIST: 0.9922498, DIVERSITY_HERFINDAHL: 0.9992188, COVERAGE_ITEM: 0.7843742, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3459752, SHANNON_ENTROPY: 12.4175880, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 477, 'shrink': 1004, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0389750, PRECISION: 0.0063570, PRECISION_RECALL_MIN_DEN: 0.0211898, RECALL: 0.0211898, MAP: 0.0091729, MRR: 0.0260596, NDCG: 0.0166030, F1: 0.0097799, HIT_RATE: 0.0635695, ARHR: 0.0267854, RMSE: 0.9983581, NOVELTY: 0.0065710, AVERAGE_POPULARITY: 0.1199974, DIVERSITY_MEAN_INTER_LIST: 0.9957608, DIVERSITY_HERFINDAHL: 0.9995699, COVERAGE_ITEM: 0.7201406, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3079183, SHANNON_ENTROPY: 12.2485312, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 487, 'shrink': 1939, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0374281, PRECISION: 0.0068203, PRECISION_RECALL_MIN_DEN: 0.0227343, RECALL: 0.0227343, MAP: 0.0085652, MRR: 0.0241045, NDCG: 0.0163820, F1: 0.0104928, HIT_RATE: 0.0682029, ARHR: 0.0248966, RMSE: 0.9973622, NOVELTY: 0.0066816, AVERAGE_POPULARITY: 0.1425624, DIVERSITY_MEAN_INTER_LIST: 0.9963861, DIVERSITY_HERFINDAHL: 0.9996325, COVERAGE_ITEM: 0.6712625, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3080255, SHANNON_ENTROPY: 12.2347329, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0366285, PRECISION: 0.0065423, PRECISION_RECALL_MIN_DEN: 0.0218076, RECALL: 0.0218076, MAP: 0.0084300, MRR: 0.0239364, NDCG: 0.0159703, F1: 0.0100651, HIT_RATE: 0.0654229, ARHR: 0.0246026, RMSE: 0.9999008, NOVELTY: 0.0069343, AVERAGE_POPULARITY: 0.1035609, DIVERSITY_MEAN_INTER_LIST: 0.9922511, DIVERSITY_HERFINDAHL: 0.9992190, COVERAGE_ITEM: 0.7832387, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3437971, SHANNON_ENTROPY: 12.4093135, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 17, 'shrink': 1983, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0359821, PRECISION: 0.0062334, PRECISION_RECALL_MIN_DEN: 0.0207780, RECALL: 0.0207780, MAP: 0.0082199, MRR: 0.0234796, NDCG: 0.0154568, F1: 0.0095898, HIT_RATE: 0.0623340, ARHR: 0.0240596, RMSE: 0.9999040, NOVELTY: 0.0066886, AVERAGE_POPULARITY: 0.1085018, DIVERSITY_MEAN_INTER_LIST: 0.9971994, DIVERSITY_HERFINDAHL: 0.9997138, COVERAGE_ITEM: 0.8246553, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3703978, SHANNON_ENTROPY: 12.7493845, 
SearchBayesianSkopt: New best config found. Config 30: {'topK': 499, 'shrink': 1018, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0431391, PRECISION: 0.0077346, PRECISION_RECALL_MIN_DEN: 0.0257820, RECALL: 0.0257820, MAP: 0.0094574, MRR: 0.0269440, NDCG: 0.0183802, F1: 0.0118994, HIT_RATE: 0.0773460, ARHR: 0.0276551, RMSE: 0.9974986, NOVELTY: 0.0060256, AVERAGE_POPULARITY: 0.3161033, DIVERSITY_MEAN_INTER_LIST: 0.9816981, DIVERSITY_HERFINDAHL: 0.9981637, COVERAGE_ITEM: 0.5874020, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1896570, SHANNON_ENTROPY: 10.7771588, 
