SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0926976, PRECISION: 0.0154526, PRECISION_RECALL_MIN_DEN: 0.0515087, RECALL: 0.0515087, MAP: 0.0239092, MRR: 0.0660133, NDCG: 0.0416657, F1: 0.0237732, HIT_RATE: 0.1545261, ARHR: 0.0688552, RMSE: 0.9387282, NOVELTY: 0.0052462, AVERAGE_POPULARITY: 0.6162901, DIVERSITY_MEAN_INTER_LIST: 0.8701972, DIVERSITY_HERFINDAHL: 0.9869932, COVERAGE_ITEM: 0.0927278, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1214926, SHANNON_ENTROPY: 7.4678518, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 999, 'shrink': 963, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0840106, PRECISION: 0.0129838, PRECISION_RECALL_MIN_DEN: 0.0432795, RECALL: 0.0432795, MAP: 0.0226389, MRR: 0.0622947, NDCG: 0.0376873, F1: 0.0199751, HIT_RATE: 0.1298385, ARHR: 0.0651057, RMSE: 0.9702453, NOVELTY: 0.0054785, AVERAGE_POPULARITY: 0.4935635, DIVERSITY_MEAN_INTER_LIST: 0.9440470, DIVERSITY_HERFINDAHL: 0.9943759, COVERAGE_ITEM: 0.1263585, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1836031, SHANNON_ENTROPY: 8.7292701, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 612, 'shrink': 995, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0933465, PRECISION: 0.0153002, PRECISION_RECALL_MIN_DEN: 0.0510007, RECALL: 0.0510007, MAP: 0.0242257, MRR: 0.0667163, NDCG: 0.0418315, F1: 0.0235388, HIT_RATE: 0.1530021, ARHR: 0.0696797, RMSE: 0.9489813, NOVELTY: 0.0053130, AVERAGE_POPULARITY: 0.5844243, DIVERSITY_MEAN_INTER_LIST: 0.8940612, DIVERSITY_HERFINDAHL: 0.9893789, COVERAGE_ITEM: 0.1085699, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1358900, SHANNON_ENTROPY: 7.8365426, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 823, 'shrink': 5, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0912577, PRECISION: 0.0148735, PRECISION_RECALL_MIN_DEN: 0.0495784, RECALL: 0.0495784, MAP: 0.0229223, MRR: 0.0636336, NDCG: 0.0401263, F1: 0.0228823, HIT_RATE: 0.1487351, ARHR: 0.0662002, RMSE: 0.9490011, NOVELTY: 0.0052540, AVERAGE_POPULARITY: 0.6190802, DIVERSITY_MEAN_INTER_LIST: 0.8634667, DIVERSITY_HERFINDAHL: 0.9863204, COVERAGE_ITEM: 0.0994863, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1206207, SHANNON_ENTROPY: 7.4500010, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 816, 'shrink': 998, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0932540, PRECISION: 0.0155440, PRECISION_RECALL_MIN_DEN: 0.0518135, RECALL: 0.0518135, MAP: 0.0242221, MRR: 0.0666260, NDCG: 0.0420596, F1: 0.0239139, HIT_RATE: 0.1554404, ARHR: 0.0696309, RMSE: 0.9377266, NOVELTY: 0.0052932, AVERAGE_POPULARITY: 0.5911862, DIVERSITY_MEAN_INTER_LIST: 0.8906726, DIVERSITY_HERFINDAHL: 0.9890401, COVERAGE_ITEM: 0.1011625, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1323720, SHANNON_ENTROPY: 7.7433432, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 411, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0919707, PRECISION: 0.0147211, PRECISION_RECALL_MIN_DEN: 0.0490704, RECALL: 0.0490704, MAP: 0.0237432, MRR: 0.0655453, NDCG: 0.0407563, F1: 0.0226479, HIT_RATE: 0.1472112, ARHR: 0.0683706, RMSE: 0.9438575, NOVELTY: 0.0053390, AVERAGE_POPULARITY: 0.5792405, DIVERSITY_MEAN_INTER_LIST: 0.8939178, DIVERSITY_HERFINDAHL: 0.9893645, COVERAGE_ITEM: 0.1197621, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1385757, SHANNON_ENTROPY: 7.9179385, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0926976, PRECISION: 0.0154526, PRECISION_RECALL_MIN_DEN: 0.0515087, RECALL: 0.0515087, MAP: 0.0239092, MRR: 0.0660133, NDCG: 0.0416657, F1: 0.0237732, HIT_RATE: 0.1545261, ARHR: 0.0688552, RMSE: 0.9387282, NOVELTY: 0.0052462, AVERAGE_POPULARITY: 0.6162901, DIVERSITY_MEAN_INTER_LIST: 0.8701972, DIVERSITY_HERFINDAHL: 0.9869932, COVERAGE_ITEM: 0.0927278, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1214926, SHANNON_ENTROPY: 7.4678518, 
SearchBayesianSkopt: Config 30 is suboptimal. Config: {'topK': 993, 'shrink': 981, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0575875, PRECISION: 0.0096007, PRECISION_RECALL_MIN_DEN: 0.0320024, RECALL: 0.0320024, MAP: 0.0133136, MRR: 0.0384824, NDCG: 0.0246027, F1: 0.0147704, HIT_RATE: 0.0960073, ARHR: 0.0392116, RMSE: 0.9959138, NOVELTY: 0.0053110, AVERAGE_POPULARITY: 0.5813174, DIVERSITY_MEAN_INTER_LIST: 0.8882304, DIVERSITY_HERFINDAHL: 0.9887960, COVERAGE_ITEM: 0.1044607, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1249895, SHANNON_ENTROPY: 7.6823446, 
SearchBayesianSkopt: Config 31 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0905753, PRECISION: 0.0147821, PRECISION_RECALL_MIN_DEN: 0.0492736, RECALL: 0.0492736, MAP: 0.0230821, MRR: 0.0639097, NDCG: 0.0401409, F1: 0.0227417, HIT_RATE: 0.1478208, ARHR: 0.0665628, RMSE: 0.9621851, NOVELTY: 0.0052393, AVERAGE_POPULARITY: 0.6273814, DIVERSITY_MEAN_INTER_LIST: 0.8553877, DIVERSITY_HERFINDAHL: 0.9855127, COVERAGE_ITEM: 0.0982428, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1161711, SHANNON_ENTROPY: 7.3492237, 
SearchBayesianSkopt: Config 32 is suboptimal. Config: {'topK': 413, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0922970, PRECISION: 0.0151478, PRECISION_RECALL_MIN_DEN: 0.0504927, RECALL: 0.0504927, MAP: 0.0246546, MRR: 0.0677738, NDCG: 0.0420744, F1: 0.0233043, HIT_RATE: 0.1514782, ARHR: 0.0708688, RMSE: 0.9565566, NOVELTY: 0.0053589, AVERAGE_POPULARITY: 0.5631398, DIVERSITY_MEAN_INTER_LIST: 0.9080961, DIVERSITY_HERFINDAHL: 0.9907819, COVERAGE_ITEM: 0.1187348, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1458432, SHANNON_ENTROPY: 8.0734684, 
SearchBayesianSkopt: Config 33 is suboptimal. Config: {'topK': 632, 'shrink': 17, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0922144, PRECISION: 0.0153002, PRECISION_RECALL_MIN_DEN: 0.0510007, RECALL: 0.0510007, MAP: 0.0244806, MRR: 0.0672178, NDCG: 0.0420441, F1: 0.0235388, HIT_RATE: 0.1530021, ARHR: 0.0703298, RMSE: 4.8047895, NOVELTY: 0.0053306, AVERAGE_POPULARITY: 0.5739154, DIVERSITY_MEAN_INTER_LIST: 0.9019225, DIVERSITY_HERFINDAHL: 0.9901648, COVERAGE_ITEM: 0.1103541, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1404890, SHANNON_ENTROPY: 7.9428125, 
SearchBayesianSkopt: Config 34 is suboptimal. Config: {'topK': 1000, 'shrink': 939, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0919710, PRECISION: 0.0148735, PRECISION_RECALL_MIN_DEN: 0.0495784, RECALL: 0.0495784, MAP: 0.0242103, MRR: 0.0665619, NDCG: 0.0413582, F1: 0.0228823, HIT_RATE: 0.1487351, ARHR: 0.0695964, RMSE: 0.9490395, NOVELTY: 0.0052863, AVERAGE_POPULARITY: 0.5908561, DIVERSITY_MEAN_INTER_LIST: 0.8916730, DIVERSITY_HERFINDAHL: 0.9891401, COVERAGE_ITEM: 0.0947283, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1356620, SHANNON_ENTROPY: 7.7511501, 
SearchBayesianSkopt: Search complete. Best config is 14: {'topK': 415, 'shrink': 999, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'}
