SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1300717, PRECISION: 0.0209860, PRECISION_RECALL_MIN_DEN: 0.0699533, RECALL: 0.0699533, MAP: 0.0345931, MRR: 0.0933754, NDCG: 0.0584938, F1: 0.0322861, HIT_RATE: 0.2098598, ARHR: 0.0984494, RMSE: 0.9827322, NOVELTY: 0.0062044, AVERAGE_POPULARITY: 0.2359792, DIVERSITY_MEAN_INTER_LIST: 0.9881761, DIVERSITY_HERFINDAHL: 0.9988115, COVERAGE_ITEM: 0.5663693, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1907114, SHANNON_ENTROPY: 10.9910381, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 14, 'shrink': 1482, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1072926, PRECISION: 0.0168777, PRECISION_RECALL_MIN_DEN: 0.0562591, RECALL: 0.0562591, MAP: 0.0280291, MRR: 0.0767261, NDCG: 0.0474808, F1: 0.0259658, HIT_RATE: 0.1687774, ARHR: 0.0803464, RMSE: 0.9955496, NOVELTY: 0.0057287, AVERAGE_POPULARITY: 0.4113507, DIVERSITY_MEAN_INTER_LIST: 0.9653454, DIVERSITY_HERFINDAHL: 0.9965286, COVERAGE_ITEM: 0.4726142, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1328722, SHANNON_ENTROPY: 9.7695757, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 993, 'shrink': 1483, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0882243, PRECISION: 0.0142089, PRECISION_RECALL_MIN_DEN: 0.0473631, RECALL: 0.0473631, MAP: 0.0226978, MRR: 0.0634548, NDCG: 0.0392169, F1: 0.0218599, HIT_RATE: 0.1420893, ARHR: 0.0657350, RMSE: 1.0858896, NOVELTY: 0.0051021, AVERAGE_POPULARITY: 0.7398423, DIVERSITY_MEAN_INTER_LIST: 0.7189350, DIVERSITY_HERFINDAHL: 0.9718891, COVERAGE_ITEM: 0.2132468, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0453815, SHANNON_ENTROPY: 6.3678142, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 12, 'shrink': 1498, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0901231, PRECISION: 0.0147093, PRECISION_RECALL_MIN_DEN: 0.0490311, RECALL: 0.0490311, MAP: 0.0231588, MRR: 0.0636783, NDCG: 0.0400652, F1: 0.0226297, HIT_RATE: 0.1470933, ARHR: 0.0665083, RMSE: 0.9937006, NOVELTY: 0.0062924, AVERAGE_POPULARITY: 0.0714034, DIVERSITY_MEAN_INTER_LIST: 0.9908839, DIVERSITY_HERFINDAHL: 0.9990823, COVERAGE_ITEM: 0.8861855, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4202882, SHANNON_ENTROPY: 12.7231418, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1300717, PRECISION: 0.0209860, PRECISION_RECALL_MIN_DEN: 0.0699533, RECALL: 0.0699533, MAP: 0.0345931, MRR: 0.0933754, NDCG: 0.0584938, F1: 0.0322861, HIT_RATE: 0.2098598, ARHR: 0.0984494, RMSE: 0.9827322, NOVELTY: 0.0062044, AVERAGE_POPULARITY: 0.2359792, DIVERSITY_MEAN_INTER_LIST: 0.9881761, DIVERSITY_HERFINDAHL: 0.9988115, COVERAGE_ITEM: 0.5663693, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1907114, SHANNON_ENTROPY: 10.9910381, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1300717, PRECISION: 0.0209860, PRECISION_RECALL_MIN_DEN: 0.0699533, RECALL: 0.0699533, MAP: 0.0345931, MRR: 0.0933754, NDCG: 0.0584938, F1: 0.0322861, HIT_RATE: 0.2098598, ARHR: 0.0984494, RMSE: 0.9827322, NOVELTY: 0.0062044, AVERAGE_POPULARITY: 0.2359792, DIVERSITY_MEAN_INTER_LIST: 0.9881761, DIVERSITY_HERFINDAHL: 0.9988115, COVERAGE_ITEM: 0.5663693, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1907114, SHANNON_ENTROPY: 10.9910381, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1300717, PRECISION: 0.0209860, PRECISION_RECALL_MIN_DEN: 0.0699533, RECALL: 0.0699533, MAP: 0.0345931, MRR: 0.0933754, NDCG: 0.0584938, F1: 0.0322861, HIT_RATE: 0.2098598, ARHR: 0.0984494, RMSE: 0.9827322, NOVELTY: 0.0062044, AVERAGE_POPULARITY: 0.2359792, DIVERSITY_MEAN_INTER_LIST: 0.9881761, DIVERSITY_HERFINDAHL: 0.9988115, COVERAGE_ITEM: 0.5663693, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1907114, SHANNON_ENTROPY: 10.9910381, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 13, 'shrink': 10, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1004749, PRECISION: 0.0168530, PRECISION_RECALL_MIN_DEN: 0.0561768, RECALL: 0.0561768, MAP: 0.0259025, MRR: 0.0707093, NDCG: 0.0451335, F1: 0.0259277, HIT_RATE: 0.1685303, ARHR: 0.0741340, RMSE: 0.9763642, NOVELTY: 0.0059909, AVERAGE_POPULARITY: 0.1509932, DIVERSITY_MEAN_INTER_LIST: 0.9824174, DIVERSITY_HERFINDAHL: 0.9982357, COVERAGE_ITEM: 0.7974588, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3250285, SHANNON_ENTROPY: 11.8550894, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 989, 'shrink': 1491, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0864836, PRECISION: 0.0140051, PRECISION_RECALL_MIN_DEN: 0.0466836, RECALL: 0.0466836, MAP: 0.0224046, MRR: 0.0625489, NDCG: 0.0386621, F1: 0.0215463, HIT_RATE: 0.1400507, ARHR: 0.0648424, RMSE: 0.9822562, NOVELTY: 0.0051451, AVERAGE_POPULARITY: 0.7223017, DIVERSITY_MEAN_INTER_LIST: 0.7235013, DIVERSITY_HERFINDAHL: 0.9723457, COVERAGE_ITEM: 0.3134901, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0528775, SHANNON_ENTROPY: 6.5440572, 
SearchBayesianSkopt: Config 30 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1067727, PRECISION: 0.0169395, PRECISION_RECALL_MIN_DEN: 0.0564651, RECALL: 0.0564651, MAP: 0.0281430, MRR: 0.0771927, NDCG: 0.0476677, F1: 0.0260608, HIT_RATE: 0.1693952, ARHR: 0.0807488, RMSE: 0.9970187, NOVELTY: 0.0058580, AVERAGE_POPULARITY: 0.3455491, DIVERSITY_MEAN_INTER_LIST: 0.9754029, DIVERSITY_HERFINDAHL: 0.9975343, COVERAGE_ITEM: 0.4536902, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1450576, SHANNON_ENTROPY: 10.0623060, 
