SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 36, 'shrink': 1492, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0902122, PRECISION: 0.0134715, PRECISION_RECALL_MIN_DEN: 0.0449050, RECALL: 0.0449050, MAP: 0.0236102, MRR: 0.0658336, NDCG: 0.0394207, F1: 0.0207254, HIT_RATE: 0.1347150, ARHR: 0.0683152, RMSE: 0.9984461, NOVELTY: 0.0062036, AVERAGE_POPULARITY: 0.2544913, DIVERSITY_MEAN_INTER_LIST: 0.9870338, DIVERSITY_HERFINDAHL: 0.9986733, COVERAGE_ITEM: 0.4188700, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3719213, SHANNON_ENTROPY: 11.4137958, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 1000, 'shrink': 1500, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0969985, PRECISION: 0.0151173, PRECISION_RECALL_MIN_DEN: 0.0503911, RECALL: 0.0503911, MAP: 0.0269876, MRR: 0.0733358, NDCG: 0.0443353, F1: 0.0232574, HIT_RATE: 0.1511734, ARHR: 0.0770577, RMSE: 0.9818971, NOVELTY: 0.0061147, AVERAGE_POPULARITY: 0.2999825, DIVERSITY_MEAN_INTER_LIST: 0.9824559, DIVERSITY_HERFINDAHL: 0.9982156, COVERAGE_ITEM: 0.3693971, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3201875, SHANNON_ENTROPY: 10.9208458, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 15, 'shrink': 68, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0787900, PRECISION: 0.0119476, PRECISION_RECALL_MIN_DEN: 0.0398253, RECALL: 0.0398253, MAP: 0.0224184, MRR: 0.0607126, NDCG: 0.0361341, F1: 0.0183809, HIT_RATE: 0.1194758, ARHR: 0.0639174, RMSE: 0.9923595, NOVELTY: 0.0063947, AVERAGE_POPULARITY: 0.1225432, DIVERSITY_MEAN_INTER_LIST: 0.9377000, DIVERSITY_HERFINDAHL: 0.9937414, COVERAGE_ITEM: 0.3921600, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3335204, SHANNON_ENTROPY: 10.5699540, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 1000, 'shrink': 1500, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0969985, PRECISION: 0.0151173, PRECISION_RECALL_MIN_DEN: 0.0503911, RECALL: 0.0503911, MAP: 0.0269876, MRR: 0.0733358, NDCG: 0.0443353, F1: 0.0232574, HIT_RATE: 0.1511734, ARHR: 0.0770577, RMSE: 0.9818971, NOVELTY: 0.0061147, AVERAGE_POPULARITY: 0.2999825, DIVERSITY_MEAN_INTER_LIST: 0.9824559, DIVERSITY_HERFINDAHL: 0.9982156, COVERAGE_ITEM: 0.3693971, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3201875, SHANNON_ENTROPY: 10.9208458, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 997, 'shrink': 55, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0888830, PRECISION: 0.0135934, PRECISION_RECALL_MIN_DEN: 0.0453114, RECALL: 0.0453114, MAP: 0.0226555, MRR: 0.0636599, NDCG: 0.0386345, F1: 0.0209129, HIT_RATE: 0.1359342, ARHR: 0.0658133, RMSE: 0.9299750, NOVELTY: 0.0054241, AVERAGE_POPULARITY: 0.5641427, DIVERSITY_MEAN_INTER_LIST: 0.8818046, DIVERSITY_HERFINDAHL: 0.9881536, COVERAGE_ITEM: 0.1788051, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1552332, SHANNON_ENTROPY: 8.1758345, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 29, 'shrink': 1496, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0853825, PRECISION: 0.0128619, PRECISION_RECALL_MIN_DEN: 0.0428731, RECALL: 0.0428731, MAP: 0.0228199, MRR: 0.0629927, NDCG: 0.0378098, F1: 0.0197876, HIT_RATE: 0.1286193, ARHR: 0.0657109, RMSE: 0.9982543, NOVELTY: 0.0064122, AVERAGE_POPULARITY: 0.2361225, DIVERSITY_MEAN_INTER_LIST: 0.9884357, DIVERSITY_HERFINDAHL: 0.9988134, COVERAGE_ITEM: 0.4578535, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3940000, SHANNON_ENTROPY: 11.6204622, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 18, 'shrink': 3, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0858282, PRECISION: 0.0128315, PRECISION_RECALL_MIN_DEN: 0.0427715, RECALL: 0.0427715, MAP: 0.0232064, MRR: 0.0641285, NDCG: 0.0382028, F1: 0.0197407, HIT_RATE: 0.1283145, ARHR: 0.0668395, RMSE: 46.5162124, NOVELTY: 0.0065244, AVERAGE_POPULARITY: 0.2096589, DIVERSITY_MEAN_INTER_LIST: 0.9915281, DIVERSITY_HERFINDAHL: 0.9991226, COVERAGE_ITEM: 0.4672074, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4050676, SHANNON_ENTROPY: 11.7750174, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 983, 'shrink': 1, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0613238, PRECISION: 0.0089912, PRECISION_RECALL_MIN_DEN: 0.0299705, RECALL: 0.0299705, MAP: 0.0177929, MRR: 0.0485057, NDCG: 0.0282206, F1: 0.0138326, HIT_RATE: 0.0899116, ARHR: 0.0509232, RMSE: 0.9768939, NOVELTY: 0.0044413, AVERAGE_POPULARITY: 0.0866211, DIVERSITY_MEAN_INTER_LIST: 0.9973063, DIVERSITY_HERFINDAHL: 0.9997002, COVERAGE_ITEM: 0.5537713, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5281749, SHANNON_ENTROPY: 12.6627596, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 992, 'shrink': 1435, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0885866, PRECISION: 0.0135325, PRECISION_RECALL_MIN_DEN: 0.0451082, RECALL: 0.0451082, MAP: 0.0226659, MRR: 0.0635283, NDCG: 0.0385490, F1: 0.0208192, HIT_RATE: 0.1353246, ARHR: 0.0657630, RMSE: 0.9962435, NOVELTY: 0.0054252, AVERAGE_POPULARITY: 0.5641661, DIVERSITY_MEAN_INTER_LIST: 0.8813435, DIVERSITY_HERFINDAHL: 0.9881075, COVERAGE_ITEM: 0.1780481, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1557557, SHANNON_ENTROPY: 8.1767821, 
SearchBayesianSkopt: Config 30 is suboptimal. Config: {'topK': 987, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0590316, PRECISION: 0.0085949, PRECISION_RECALL_MIN_DEN: 0.0286498, RECALL: 0.0286498, MAP: 0.0173612, MRR: 0.0475543, NDCG: 0.0273796, F1: 0.0132230, HIT_RATE: 0.0859494, ARHR: 0.0498000, RMSE: 0.9723879, NOVELTY: 0.0046794, AVERAGE_POPULARITY: 0.0978391, DIVERSITY_MEAN_INTER_LIST: 0.9964560, DIVERSITY_HERFINDAHL: 0.9996152, COVERAGE_ITEM: 0.5278183, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5038721, SHANNON_ENTROPY: 12.4929396, 
SearchBayesianSkopt: Config 31 is suboptimal. Config: {'topK': 1000, 'shrink': 1500, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0969985, PRECISION: 0.0151173, PRECISION_RECALL_MIN_DEN: 0.0503911, RECALL: 0.0503911, MAP: 0.0269876, MRR: 0.0733358, NDCG: 0.0443353, F1: 0.0232574, HIT_RATE: 0.1511734, ARHR: 0.0770577, RMSE: 0.9818971, NOVELTY: 0.0061147, AVERAGE_POPULARITY: 0.2999825, DIVERSITY_MEAN_INTER_LIST: 0.9824559, DIVERSITY_HERFINDAHL: 0.9982156, COVERAGE_ITEM: 0.3693971, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3201875, SHANNON_ENTROPY: 10.9208458, 
SearchBayesianSkopt: Config 32 is suboptimal. Config: {'topK': 11, 'shrink': 1488, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0836148, PRECISION: 0.0118561, PRECISION_RECALL_MIN_DEN: 0.0395205, RECALL: 0.0395205, MAP: 0.0225191, MRR: 0.0627428, NDCG: 0.0365637, F1: 0.0182402, HIT_RATE: 0.1185614, ARHR: 0.0651500, RMSE: 0.9921221, NOVELTY: 0.0066432, AVERAGE_POPULARITY: 0.1792680, DIVERSITY_MEAN_INTER_LIST: 0.9916557, DIVERSITY_HERFINDAHL: 0.9991353, COVERAGE_ITEM: 0.4804542, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4149186, SHANNON_ENTROPY: 11.8573775, 
SearchBayesianSkopt: Config 33 is suboptimal. Config: {'topK': 1000, 'shrink': 9, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0924959, PRECISION: 0.0146602, PRECISION_RECALL_MIN_DEN: 0.0488672, RECALL: 0.0488672, MAP: 0.0234957, MRR: 0.0656227, NDCG: 0.0405872, F1: 0.0225541, HIT_RATE: 0.1466016, ARHR: 0.0680549, RMSE: 28.1147314, NOVELTY: 0.0054246, AVERAGE_POPULARITY: 0.5552063, DIVERSITY_MEAN_INTER_LIST: 0.8958369, DIVERSITY_HERFINDAHL: 0.9895564, COVERAGE_ITEM: 0.1723709, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1559842, SHANNON_ENTROPY: 8.2713303, 
SearchBayesianSkopt: Config 34 is suboptimal. Config: {'topK': 44, 'shrink': 1479, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0651454, PRECISION: 0.0092350, PRECISION_RECALL_MIN_DEN: 0.0307833, RECALL: 0.0307833, MAP: 0.0187758, MRR: 0.0503615, NDCG: 0.0294201, F1: 0.0142077, HIT_RATE: 0.0923499, ARHR: 0.0533102, RMSE: 0.9981399, NOVELTY: 0.0065734, AVERAGE_POPULARITY: 0.0436521, DIVERSITY_MEAN_INTER_LIST: 0.9986290, DIVERSITY_HERFINDAHL: 0.9998325, COVERAGE_ITEM: 0.6146526, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5762284, SHANNON_ENTROPY: 13.0088823, 
SearchBayesianSkopt: Search complete. Best config is 8: {'topK': 1000, 'shrink': 1500, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'}
