SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 8, 'alpha': 0.7499294608508881, 'normalize_similarity': False} - results: ROC_AUC: 0.2659383, PRECISION: 0.0058622, PRECISION_RECALL_MIN_DEN: 0.0195407, RECALL: 0.0195407, MAP: 0.0130035, MRR: 0.0371711, NDCG: 0.0201889, F1: 0.0090188, HIT_RATE: 0.0586222, ARHR: 0.0380671, RMSE: nan, NOVELTY: 0.0061176, AVERAGE_POPULARITY: 0.0448882, DIVERSITY_MEAN_INTER_LIST: 0.9147542, DIVERSITY_HERFINDAHL: 0.9859942, COVERAGE_ITEM: 0.4734253, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2792194, SHANNON_ENTROPY: 9.7812696, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 5, 'alpha': 0.3504340059178619, 'normalize_similarity': True} - results: ROC_AUC: 0.3020520, PRECISION: 0.0111459, PRECISION_RECALL_MIN_DEN: 0.0371531, RECALL: 0.0371531, MAP: 0.0219952, MRR: 0.0617281, NDCG: 0.0353421, F1: 0.0171476, HIT_RATE: 0.1114593, ARHR: 0.0638347, RMSE: nan, NOVELTY: 0.0057783, AVERAGE_POPULARITY: 0.0945905, DIVERSITY_MEAN_INTER_LIST: 0.8935639, DIVERSITY_HERFINDAHL: 0.9825146, COVERAGE_ITEM: 0.3131657, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1492602, SHANNON_ENTROPY: 8.5963954, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 984, 'alpha': 0.36492163881450806, 'normalize_similarity': True} - results: ROC_AUC: 0.2948648, PRECISION: 0.0120667, PRECISION_RECALL_MIN_DEN: 0.0402224, RECALL: 0.0402224, MAP: 0.0195299, MRR: 0.0535939, NDCG: 0.0334125, F1: 0.0185642, HIT_RATE: 0.1206672, ARHR: 0.0560303, RMSE: nan, NOVELTY: 0.0045775, AVERAGE_POPULARITY: 0.2787789, DIVERSITY_MEAN_INTER_LIST: 0.9862122, DIVERSITY_HERFINDAHL: 0.9977280, COVERAGE_ITEM: 0.3608543, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1620653, SHANNON_ENTROPY: 10.1100605, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 5, 'alpha': 0.34685329319794295, 'normalize_similarity': True} - results: ROC_AUC: 0.3020842, PRECISION: 0.0111507, PRECISION_RECALL_MIN_DEN: 0.0371692, RECALL: 0.0371692, MAP: 0.0220004, MRR: 0.0617435, NDCG: 0.0353529, F1: 0.0171550, HIT_RATE: 0.1115075, ARHR: 0.0638501, RMSE: nan, NOVELTY: 0.0057787, AVERAGE_POPULARITY: 0.0945417, DIVERSITY_MEAN_INTER_LIST: 0.8934366, DIVERSITY_HERFINDAHL: 0.9824937, COVERAGE_ITEM: 0.3130035, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1491496, SHANNON_ENTROPY: 8.5941931, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 34, 'alpha': 1.9987197460419606, 'normalize_similarity': True} - results: ROC_AUC: 0.2469259, PRECISION: 0.0046907, PRECISION_RECALL_MIN_DEN: 0.0156358, RECALL: 0.0156358, MAP: 0.0061341, MRR: 0.0175166, NDCG: 0.0115830, F1: 0.0072165, HIT_RATE: 0.0469074, ARHR: 0.0179559, RMSE: nan, NOVELTY: 0.0051974, AVERAGE_POPULARITY: 0.1452983, DIVERSITY_MEAN_INTER_LIST: 0.9964869, DIVERSITY_HERFINDAHL: 0.9994152, COVERAGE_ITEM: 0.4103812, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3081797, SHANNON_ENTROPY: 11.5511611, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 992, 'alpha': 0.2708271582463207, 'normalize_similarity': False} - results: ROC_AUC: 0.2864131, PRECISION: 0.0108760, PRECISION_RECALL_MIN_DEN: 0.0362532, RECALL: 0.0362532, MAP: 0.0173227, MRR: 0.0484710, NDCG: 0.0299504, F1: 0.0167322, HIT_RATE: 0.1087596, ARHR: 0.0501861, RMSE: nan, NOVELTY: 0.0039682, AVERAGE_POPULARITY: 0.5788639, DIVERSITY_MEAN_INTER_LIST: 0.8351760, DIVERSITY_HERFINDAHL: 0.9729270, COVERAGE_ITEM: 0.1401460, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.0470594, SHANNON_ENTROPY: 6.3166153, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 994, 'alpha': 1.1176232828538375, 'normalize_similarity': True} - results: ROC_AUC: 0.2741796, PRECISION: 0.0094249, PRECISION_RECALL_MIN_DEN: 0.0314162, RECALL: 0.0314162, MAP: 0.0140801, MRR: 0.0385552, NDCG: 0.0248072, F1: 0.0144998, HIT_RATE: 0.0942487, ARHR: 0.0403532, RMSE: nan, NOVELTY: 0.0047628, AVERAGE_POPULARITY: 0.2491366, DIVERSITY_MEAN_INTER_LIST: 0.9898479, DIVERSITY_HERFINDAHL: 0.9983251, COVERAGE_ITEM: 0.4205461, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2250958, SHANNON_ENTROPY: 10.7501620, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 20, 'alpha': 0.012748578183005458, 'normalize_similarity': False} - results: ROC_AUC: 0.2943596, PRECISION: 0.0117919, PRECISION_RECALL_MIN_DEN: 0.0393064, RECALL: 0.0393064, MAP: 0.0193823, MRR: 0.0537160, NDCG: 0.0330606, F1: 0.0181414, HIT_RATE: 0.1179193, ARHR: 0.0559018, RMSE: nan, NOVELTY: 0.0043179, AVERAGE_POPULARITY: 0.4162296, DIVERSITY_MEAN_INTER_LIST: 0.9561543, DIVERSITY_HERFINDAHL: 0.9927923, COVERAGE_ITEM: 0.2433631, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.0878223, SHANNON_ENTROPY: 8.3539751, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 5, 'alpha': 0.35563878585821207, 'normalize_similarity': True} - results: ROC_AUC: 0.3021819, PRECISION: 0.0111652, PRECISION_RECALL_MIN_DEN: 0.0372174, RECALL: 0.0372174, MAP: 0.0220140, MRR: 0.0617844, NDCG: 0.0353837, F1: 0.0171772, HIT_RATE: 0.1116521, ARHR: 0.0638911, RMSE: nan, NOVELTY: 0.0057770, AVERAGE_POPULARITY: 0.0945960, DIVERSITY_MEAN_INTER_LIST: 0.8940948, DIVERSITY_HERFINDAHL: 0.9826018, COVERAGE_ITEM: 0.3133820, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1500132, SHANNON_ENTROPY: 8.6073737, 
SearchBayesianSkopt: Config 30 is suboptimal. Config: {'topK': 977, 'alpha': 0.010862188173599742, 'normalize_similarity': True} - results: ROC_AUC: 0.2907947, PRECISION: 0.0113580, PRECISION_RECALL_MIN_DEN: 0.0378602, RECALL: 0.0378602, MAP: 0.0185906, MRR: 0.0511869, NDCG: 0.0316924, F1: 0.0174739, HIT_RATE: 0.1135805, ARHR: 0.0534233, RMSE: nan, NOVELTY: 0.0045547, AVERAGE_POPULARITY: 0.2767021, DIVERSITY_MEAN_INTER_LIST: 0.9865579, DIVERSITY_HERFINDAHL: 0.9977848, COVERAGE_ITEM: 0.3104082, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1648345, SHANNON_ENTROPY: 10.0266127, 
SearchBayesianSkopt: Config 31 is suboptimal. Config: {'topK': 999, 'alpha': 0.4459526487337354, 'normalize_similarity': False} - results: ROC_AUC: 0.2903577, PRECISION: 0.0115027, PRECISION_RECALL_MIN_DEN: 0.0383423, RECALL: 0.0383423, MAP: 0.0184147, MRR: 0.0513839, NDCG: 0.0317520, F1: 0.0176964, HIT_RATE: 0.1150268, ARHR: 0.0532766, RMSE: nan, NOVELTY: 0.0040091, AVERAGE_POPULARITY: 0.5536978, DIVERSITY_MEAN_INTER_LIST: 0.8695090, DIVERSITY_HERFINDAHL: 0.9785647, COVERAGE_ITEM: 0.1617735, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.0539937, SHANNON_ENTROPY: 6.7362948, 
SearchBayesianSkopt: Config 32 is suboptimal. Config: {'topK': 5, 'alpha': 0.3588956925714175, 'normalize_similarity': True} - results: ROC_AUC: 0.3022419, PRECISION: 0.0111845, PRECISION_RECALL_MIN_DEN: 0.0372817, RECALL: 0.0372817, MAP: 0.0220435, MRR: 0.0618592, NDCG: 0.0354335, F1: 0.0172069, HIT_RATE: 0.1118450, ARHR: 0.0639727, RMSE: nan, NOVELTY: 0.0057762, AVERAGE_POPULARITY: 0.0947472, DIVERSITY_MEAN_INTER_LIST: 0.8943179, DIVERSITY_HERFINDAHL: 0.9826384, COVERAGE_ITEM: 0.3134361, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1501495, SHANNON_ENTROPY: 8.6110688, 
SearchBayesianSkopt: Config 33 is suboptimal. Config: {'topK': 5, 'alpha': 0.3576840963194182, 'normalize_similarity': True} - results: ROC_AUC: 0.3022365, PRECISION: 0.0111845, PRECISION_RECALL_MIN_DEN: 0.0372817, RECALL: 0.0372817, MAP: 0.0220495, MRR: 0.0618771, NDCG: 0.0354394, F1: 0.0172069, HIT_RATE: 0.1118450, ARHR: 0.0639906, RMSE: nan, NOVELTY: 0.0057760, AVERAGE_POPULARITY: 0.0947733, DIVERSITY_MEAN_INTER_LIST: 0.8943584, DIVERSITY_HERFINDAHL: 0.9826451, COVERAGE_ITEM: 0.3134361, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1501626, SHANNON_ENTROPY: 8.6117340, 
SearchBayesianSkopt: Config 34 is suboptimal. Config: {'topK': 5, 'alpha': 0.3565831846249681, 'normalize_similarity': True} - results: ROC_AUC: 0.3021454, PRECISION: 0.0111700, PRECISION_RECALL_MIN_DEN: 0.0372334, RECALL: 0.0372334, MAP: 0.0220169, MRR: 0.0617793, NDCG: 0.0353890, F1: 0.0171847, HIT_RATE: 0.1117003, ARHR: 0.0638928, RMSE: nan, NOVELTY: 0.0057769, AVERAGE_POPULARITY: 0.0946127, DIVERSITY_MEAN_INTER_LIST: 0.8941439, DIVERSITY_HERFINDAHL: 0.9826099, COVERAGE_ITEM: 0.3135983, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1499249, SHANNON_ENTROPY: 8.6080067, 
SearchBayesianSkopt: Search complete. Best config is 3: {'topK': 84, 'alpha': 0.6033770403001427, 'normalize_similarity': True}
