SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'none'} - results: ROC_AUC: 0.2272540, PRECISION: 0.0014222, PRECISION_RECALL_MIN_DEN: 0.0047406, RECALL: 0.0047406, MAP: 0.0016933, MRR: 0.0049140, NDCG: 0.0033376, F1: 0.0021879, HIT_RATE: 0.0142217, ARHR: 0.0049970, RMSE: nan, NOVELTY: 0.0046200, AVERAGE_POPULARITY: 0.0336918, DIVERSITY_MEAN_INTER_LIST: 0.9969740, DIVERSITY_HERFINDAHL: 0.9994952, COVERAGE_ITEM: 0.8021087, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3686850, SHANNON_ENTROPY: 12.6280054, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 987, 'shrink': 959, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2252400, PRECISION: 0.0010510, PRECISION_RECALL_MIN_DEN: 0.0035032, RECALL: 0.0035032, MAP: 0.0012154, MRR: 0.0035692, NDCG: 0.0024357, F1: 0.0016169, HIT_RATE: 0.0105096, ARHR: 0.0036077, RMSE: nan, NOVELTY: 0.0045055, AVERAGE_POPULARITY: 0.0368737, DIVERSITY_MEAN_INTER_LIST: 0.9990581, DIVERSITY_HERFINDAHL: 0.9998374, COVERAGE_ITEM: 0.8659638, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.4485740, SHANNON_ENTROPY: 13.1924842, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 957, 'shrink': 987, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2213856, PRECISION: 0.0003664, PRECISION_RECALL_MIN_DEN: 0.0012213, RECALL: 0.0012213, MAP: 0.0003344, MRR: 0.0009924, NDCG: 0.0007534, F1: 0.0005637, HIT_RATE: 0.0036639, ARHR: 0.0009977, RMSE: nan, NOVELTY: 0.0045494, AVERAGE_POPULARITY: 0.0390834, DIVERSITY_MEAN_INTER_LIST: 0.9983921, DIVERSITY_HERFINDAHL: 0.9997281, COVERAGE_ITEM: 0.8890511, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.4182932, SHANNON_ENTROPY: 12.9984292, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 27, 'shrink': 997, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2238473, PRECISION: 0.0008533, PRECISION_RECALL_MIN_DEN: 0.0028443, RECALL: 0.0028443, MAP: 0.0008301, MRR: 0.0024476, NDCG: 0.0018095, F1: 0.0013128, HIT_RATE: 0.0085330, ARHR: 0.0024689, RMSE: nan, NOVELTY: 0.0045434, AVERAGE_POPULARITY: 0.0379528, DIVERSITY_MEAN_INTER_LIST: 0.9988855, DIVERSITY_HERFINDAHL: 0.9998091, COVERAGE_ITEM: 0.9011084, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.4220661, SHANNON_ENTROPY: 13.1207214, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 992, 'shrink': 42, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2246233, PRECISION: 0.0008870, PRECISION_RECALL_MIN_DEN: 0.0029568, RECALL: 0.0029568, MAP: 0.0010685, MRR: 0.0031371, NDCG: 0.0021067, F1: 0.0013647, HIT_RATE: 0.0088705, ARHR: 0.0031712, RMSE: nan, NOVELTY: 0.0045070, AVERAGE_POPULARITY: 0.0365131, DIVERSITY_MEAN_INTER_LIST: 0.9990616, DIVERSITY_HERFINDAHL: 0.9998380, COVERAGE_ITEM: 0.8632603, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.4489316, SHANNON_ENTROPY: 13.1909330, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'none'} - results: ROC_AUC: 0.2274137, PRECISION: 0.0014366, PRECISION_RECALL_MIN_DEN: 0.0047888, RECALL: 0.0047888, MAP: 0.0017254, MRR: 0.0050400, NDCG: 0.0033927, F1: 0.0022102, HIT_RATE: 0.0143663, ARHR: 0.0051081, RMSE: nan, NOVELTY: 0.0046232, AVERAGE_POPULARITY: 0.0330708, DIVERSITY_MEAN_INTER_LIST: 0.9969493, DIVERSITY_HERFINDAHL: 0.9994911, COVERAGE_ITEM: 0.7925926, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3671998, SHANNON_ENTROPY: 12.6059921, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'none'} - results: ROC_AUC: 0.2274382, PRECISION: 0.0014463, PRECISION_RECALL_MIN_DEN: 0.0048209, RECALL: 0.0048209, MAP: 0.0017393, MRR: 0.0050817, NDCG: 0.0034174, F1: 0.0022250, HIT_RATE: 0.0144627, ARHR: 0.0051498, RMSE: nan, NOVELTY: 0.0046242, AVERAGE_POPULARITY: 0.0330293, DIVERSITY_MEAN_INTER_LIST: 0.9969484, DIVERSITY_HERFINDAHL: 0.9994910, COVERAGE_ITEM: 0.7925926, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3672958, SHANNON_ENTROPY: 12.6061583, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2282149, PRECISION: 0.0015330, PRECISION_RECALL_MIN_DEN: 0.0051102, RECALL: 0.0051102, MAP: 0.0018091, MRR: 0.0052896, NDCG: 0.0035951, F1: 0.0023585, HIT_RATE: 0.0153305, ARHR: 0.0053584, RMSE: nan, NOVELTY: 0.0045854, AVERAGE_POPULARITY: 0.0337400, DIVERSITY_MEAN_INTER_LIST: 0.9970427, DIVERSITY_HERFINDAHL: 0.9995065, COVERAGE_ITEM: 0.8065964, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3681783, SHANNON_ENTROPY: 12.6410399, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 987, 'shrink': 991, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2254653, PRECISION: 0.0010413, PRECISION_RECALL_MIN_DEN: 0.0034711, RECALL: 0.0034711, MAP: 0.0012930, MRR: 0.0036878, NDCG: 0.0024935, F1: 0.0016020, HIT_RATE: 0.0104132, ARHR: 0.0037834, RMSE: nan, NOVELTY: 0.0044689, AVERAGE_POPULARITY: 0.0399546, DIVERSITY_MEAN_INTER_LIST: 0.9988512, DIVERSITY_HERFINDAHL: 0.9998034, COVERAGE_ITEM: 0.8839686, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.4162632, SHANNON_ENTROPY: 13.0855490, 
SearchBayesianSkopt: Config 30 is suboptimal. Config: {'topK': 990, 'shrink': 13, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2214703, PRECISION: 0.0003616, PRECISION_RECALL_MIN_DEN: 0.0012052, RECALL: 0.0012052, MAP: 0.0003204, MRR: 0.0009420, NDCG: 0.0007344, F1: 0.0005563, HIT_RATE: 0.0036157, ARHR: 0.0009516, RMSE: nan, NOVELTY: 0.0045318, AVERAGE_POPULARITY: 0.0397187, DIVERSITY_MEAN_INTER_LIST: 0.9986835, DIVERSITY_HERFINDAHL: 0.9997759, COVERAGE_ITEM: 0.8998108, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.4286745, SHANNON_ENTROPY: 13.0869510, 
