SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 5, 'alpha': 0.5409543803727466, 'beta': 0.0, 'normalize_similarity': True} - results: ROC_AUC: 0.3009634, PRECISION: 0.0110977, PRECISION_RECALL_MIN_DEN: 0.0369924, RECALL: 0.0369924, MAP: 0.0218235, MRR: 0.0611939, NDCG: 0.0350822, F1: 0.0170734, HIT_RATE: 0.1109772, ARHR: 0.0633107, RMSE: nan, NOVELTY: 0.0057367, AVERAGE_POPULARITY: 0.0989722, DIVERSITY_MEAN_INTER_LIST: 0.9090217, DIVERSITY_HERFINDAHL: 0.9850529, COVERAGE_ITEM: 0.3283049, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1686642, SHANNON_ENTROPY: 8.9283849, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 964, 'alpha': 0.6453722581718687, 'beta': 0.0021404487597915804, 'normalize_similarity': False} - results: ROC_AUC: 0.2961936, PRECISION: 0.0126597, PRECISION_RECALL_MIN_DEN: 0.0421990, RECALL: 0.0421990, MAP: 0.0199789, MRR: 0.0549639, NDCG: 0.0345146, F1: 0.0194764, HIT_RATE: 0.1265969, ARHR: 0.0573972, RMSE: nan, NOVELTY: 0.0041886, AVERAGE_POPULARITY: 0.4613105, DIVERSITY_MEAN_INTER_LIST: 0.9349490, DIVERSITY_HERFINDAHL: 0.9893103, COVERAGE_ITEM: 0.2842390, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.0810910, SHANNON_ENTROPY: 8.0439676, 
SearchBayesianSkopt: New best config found. Config 23: {'topK': 27, 'alpha': 0.7580731126553368, 'beta': 0.0022901855324346525, 'normalize_similarity': True} - results: ROC_AUC: 0.3068175, PRECISION: 0.0131996, PRECISION_RECALL_MIN_DEN: 0.0439988, RECALL: 0.0439988, MAP: 0.0232613, MRR: 0.0638366, NDCG: 0.0385743, F1: 0.0203071, HIT_RATE: 0.1319963, ARHR: 0.0667500, RMSE: nan, NOVELTY: 0.0051379, AVERAGE_POPULARITY: 0.1690467, DIVERSITY_MEAN_INTER_LIST: 0.9912821, DIVERSITY_HERFINDAHL: 0.9985605, COVERAGE_ITEM: 0.4876453, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2389528, SHANNON_ENTROPY: 11.0798395, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 5, 'alpha': 0.5225081309329285, 'beta': 0.0, 'normalize_similarity': True} - results: ROC_AUC: 0.3012208, PRECISION: 0.0111074, PRECISION_RECALL_MIN_DEN: 0.0370245, RECALL: 0.0370245, MAP: 0.0218293, MRR: 0.0612076, NDCG: 0.0351040, F1: 0.0170882, HIT_RATE: 0.1110736, ARHR: 0.0633262, RMSE: nan, NOVELTY: 0.0057425, AVERAGE_POPULARITY: 0.0985205, DIVERSITY_MEAN_INTER_LIST: 0.9074882, DIVERSITY_HERFINDAHL: 0.9848011, COVERAGE_ITEM: 0.3272776, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1668233, SHANNON_ENTROPY: 8.8951686, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 993, 'alpha': 0.678986487694691, 'beta': 0.0016193530765753477, 'normalize_similarity': True} - results: ROC_AUC: 0.2908540, PRECISION: 0.0115220, PRECISION_RECALL_MIN_DEN: 0.0384065, RECALL: 0.0384065, MAP: 0.0184791, MRR: 0.0508227, NDCG: 0.0317312, F1: 0.0177261, HIT_RATE: 0.1152196, ARHR: 0.0530692, RMSE: nan, NOVELTY: 0.0046717, AVERAGE_POPULARITY: 0.2645707, DIVERSITY_MEAN_INTER_LIST: 0.9877972, DIVERSITY_HERFINDAHL: 0.9979883, COVERAGE_ITEM: 0.4446607, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1805186, SHANNON_ENTROPY: 10.4499791, 
SearchBayesianSkopt: New best config found. Config 26: {'topK': 5, 'alpha': 0.4869155622659552, 'beta': 0.0, 'normalize_similarity': False} - results: ROC_AUC: 0.3105521, PRECISION: 0.0139228, PRECISION_RECALL_MIN_DEN: 0.0464092, RECALL: 0.0464092, MAP: 0.0240681, MRR: 0.0656644, NDCG: 0.0401415, F1: 0.0214196, HIT_RATE: 0.1392277, ARHR: 0.0688799, RMSE: nan, NOVELTY: 0.0053660, AVERAGE_POPULARITY: 0.1816007, DIVERSITY_MEAN_INTER_LIST: 0.9350088, DIVERSITY_HERFINDAHL: 0.9893201, COVERAGE_ITEM: 0.3078670, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1212929, SHANNON_ENTROPY: 8.7193276, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 5, 'alpha': 0.4897910477945909, 'beta': 0.0, 'normalize_similarity': False} - results: ROC_AUC: 0.3103514, PRECISION: 0.0138360, PRECISION_RECALL_MIN_DEN: 0.0461200, RECALL: 0.0461200, MAP: 0.0239883, MRR: 0.0654569, NDCG: 0.0399735, F1: 0.0212861, HIT_RATE: 0.1383599, ARHR: 0.0686613, RMSE: nan, NOVELTY: 0.0053869, AVERAGE_POPULARITY: 0.1767921, DIVERSITY_MEAN_INTER_LIST: 0.9338593, DIVERSITY_HERFINDAHL: 0.9891314, COVERAGE_ITEM: 0.3106245, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1227796, SHANNON_ENTROPY: 8.7269601, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 5, 'alpha': 0.491162911104675, 'beta': 0.0, 'normalize_similarity': False} - results: ROC_AUC: 0.3102743, PRECISION: 0.0138312, PRECISION_RECALL_MIN_DEN: 0.0461039, RECALL: 0.0461039, MAP: 0.0240071, MRR: 0.0654727, NDCG: 0.0399794, F1: 0.0212787, HIT_RATE: 0.1383117, ARHR: 0.0686962, RMSE: nan, NOVELTY: 0.0053938, AVERAGE_POPULARITY: 0.1752684, DIVERSITY_MEAN_INTER_LIST: 0.9333267, DIVERSITY_HERFINDAHL: 0.9890439, COVERAGE_ITEM: 0.3112733, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1233973, SHANNON_ENTROPY: 8.7267756, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 35, 'alpha': 1.1542745168952635, 'beta': 0.0020180266095588544, 'normalize_similarity': False} - results: ROC_AUC: 0.2293029, PRECISION: 0.0014945, PRECISION_RECALL_MIN_DEN: 0.0049816, RECALL: 0.0049816, MAP: 0.0024154, MRR: 0.0070429, NDCG: 0.0042010, F1: 0.0022992, HIT_RATE: 0.0149448, ARHR: 0.0071446, RMSE: nan, NOVELTY: 0.0059561, AVERAGE_POPULARITY: 0.0445267, DIVERSITY_MEAN_INTER_LIST: 0.9962790, DIVERSITY_HERFINDAHL: 0.9993811, COVERAGE_ITEM: 0.6568802, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.4971711, SHANNON_ENTROPY: 12.7357386, 
SearchBayesianSkopt: Config 30 is suboptimal. Config: {'topK': 5, 'alpha': 0.36279780332424716, 'beta': 0.0, 'normalize_similarity': True} - results: ROC_AUC: 0.3022047, PRECISION: 0.0111604, PRECISION_RECALL_MIN_DEN: 0.0372013, RECALL: 0.0372013, MAP: 0.0220307, MRR: 0.0618383, NDCG: 0.0353972, F1: 0.0171698, HIT_RATE: 0.1116039, ARHR: 0.0639430, RMSE: nan, NOVELTY: 0.0057767, AVERAGE_POPULARITY: 0.0946500, DIVERSITY_MEAN_INTER_LIST: 0.8943749, DIVERSITY_HERFINDAHL: 0.9826478, COVERAGE_ITEM: 0.3144093, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1502414, SHANNON_ENTROPY: 8.6139029, 
SearchBayesianSkopt: Config 31 is suboptimal. Config: {'topK': 72, 'alpha': 0.5526172629872516, 'beta': 1.9921308811533518, 'normalize_similarity': True} - results: ROC_AUC: 0.2201064, PRECISION: 0.0001012, PRECISION_RECALL_MIN_DEN: 0.0003375, RECALL: 0.0003375, MAP: 0.0000978, MRR: 0.0002935, NDCG: 0.0002136, F1: 0.0001558, HIT_RATE: 0.0010124, ARHR: 0.0002935, RMSE: nan, NOVELTY: 0.0075469, AVERAGE_POPULARITY: 0.0016237, DIVERSITY_MEAN_INTER_LIST: 0.9977034, DIVERSITY_HERFINDAHL: 0.9996150, COVERAGE_ITEM: 0.3629089, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3631887, SHANNON_ENTROPY: 11.6470787, 
SearchBayesianSkopt: Config 32 is suboptimal. Config: {'topK': 991, 'alpha': 0.30086061237061373, 'beta': 0.008757748782621146, 'normalize_similarity': True} - results: ROC_AUC: 0.2948283, PRECISION: 0.0121439, PRECISION_RECALL_MIN_DEN: 0.0404795, RECALL: 0.0404795, MAP: 0.0195398, MRR: 0.0535729, NDCG: 0.0334908, F1: 0.0186829, HIT_RATE: 0.1214386, ARHR: 0.0560335, RMSE: nan, NOVELTY: 0.0045973, AVERAGE_POPULARITY: 0.2763539, DIVERSITY_MEAN_INTER_LIST: 0.9863289, DIVERSITY_HERFINDAHL: 0.9977472, COVERAGE_ITEM: 0.4036226, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1571051, SHANNON_ENTROPY: 10.1724582, 
SearchBayesianSkopt: New best config found. Config 33: {'topK': 5, 'alpha': 0.37829128706576887, 'beta': 0.0, 'normalize_similarity': False} - results: ROC_AUC: 0.3110951, PRECISION: 0.0144675, PRECISION_RECALL_MIN_DEN: 0.0482251, RECALL: 0.0482251, MAP: 0.0241168, MRR: 0.0658547, NDCG: 0.0407577, F1: 0.0222577, HIT_RATE: 0.1446753, ARHR: 0.0690458, RMSE: nan, NOVELTY: 0.0050483, AVERAGE_POPULARITY: 0.2468107, DIVERSITY_MEAN_INTER_LIST: 0.9533391, DIVERSITY_HERFINDAHL: 0.9923301, COVERAGE_ITEM: 0.2511490, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1087253, SHANNON_ENTROPY: 8.6829480, 
SearchBayesianSkopt: Config 34 is suboptimal. Config: {'topK': 986, 'alpha': 0.33946004152927683, 'beta': 0.00776953052789109, 'normalize_similarity': False} - results: ROC_AUC: 0.2881084, PRECISION: 0.0111749, PRECISION_RECALL_MIN_DEN: 0.0372495, RECALL: 0.0372495, MAP: 0.0176925, MRR: 0.0494932, NDCG: 0.0306612, F1: 0.0171921, HIT_RATE: 0.1117485, ARHR: 0.0512541, RMSE: nan, NOVELTY: 0.0039853, AVERAGE_POPULARITY: 0.5703022, DIVERSITY_MEAN_INTER_LIST: 0.8476515, DIVERSITY_HERFINDAHL: 0.9749755, COVERAGE_ITEM: 0.1609084, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.0478362, SHANNON_ENTROPY: 6.4681627, 
SearchBayesianSkopt: Search complete. Best config is 33: {'topK': 5, 'alpha': 0.37829128706576887, 'beta': 0.0, 'normalize_similarity': False}
