SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 969, 'shrink': 1495, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0566622, PRECISION: 0.0095618, PRECISION_RECALL_MIN_DEN: 0.0318725, RECALL: 0.0318725, MAP: 0.0105752, MRR: 0.0317255, NDCG: 0.0218847, F1: 0.0147104, HIT_RATE: 0.0956175, ARHR: 0.0317255, RMSE: 0.8680859, NOVELTY: 0.0059928, AVERAGE_POPULARITY: 0.2567315, DIVERSITY_MEAN_INTER_LIST: 0.9698135, DIVERSITY_HERFINDAHL: 0.9965950, COVERAGE_ITEM: 0.0646661, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5442464, SHANNON_ENTROPY: 9.3916482, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 32, 'shrink': 1471, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0847167, PRECISION: 0.0163347, PRECISION_RECALL_MIN_DEN: 0.0544489, RECALL: 0.0544489, MAP: 0.0153023, MRR: 0.0450215, NDCG: 0.0341553, F1: 0.0251302, HIT_RATE: 0.1633466, ARHR: 0.0454642, RMSE: 0.9037647, NOVELTY: 0.0055808, AVERAGE_POPULARITY: 0.4335410, DIVERSITY_MEAN_INTER_LIST: 0.9427602, DIVERSITY_HERFINDAHL: 0.9939004, COVERAGE_ITEM: 0.0255204, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4117989, SHANNON_ENTROPY: 7.9698092, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 988, 'shrink': 1496, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0230190, PRECISION: 0.0043825, PRECISION_RECALL_MIN_DEN: 0.0146082, RECALL: 0.0146082, MAP: 0.0044873, MRR: 0.0134620, NDCG: 0.0095903, F1: 0.0067423, HIT_RATE: 0.0438247, ARHR: 0.0134620, RMSE: 3.5055728, NOVELTY: 0.0049197, AVERAGE_POPULARITY: 0.8149644, DIVERSITY_MEAN_INTER_LIST: 0.4482677, DIVERSITY_HERFINDAHL: 0.9446482, COVERAGE_ITEM: 0.0023790, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3913767, SHANNON_ENTROPY: 4.4328832, 
SearchBayesianSkopt: New best config found. Config 24: {'topK': 17, 'shrink': 21, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0686144, PRECISION: 0.0095618, PRECISION_RECALL_MIN_DEN: 0.0318725, RECALL: 0.0318725, MAP: 0.0175494, MRR: 0.0526481, NDCG: 0.0294168, F1: 0.0147104, HIT_RATE: 0.0956175, ARHR: 0.0526481, RMSE: 2.5144192, NOVELTY: 0.0067001, AVERAGE_POPULARITY: 0.0562694, DIVERSITY_MEAN_INTER_LIST: 0.9920478, DIVERSITY_HERFINDAHL: 0.9988095, COVERAGE_ITEM: 0.0840227, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.6815921, SHANNON_ENTROPY: 10.2357173, 
SearchBayesianSkopt: New best config found. Config 25: {'topK': 5, 'shrink': 1500, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0697211, PRECISION: 0.0107570, PRECISION_RECALL_MIN_DEN: 0.0358566, RECALL: 0.0358566, MAP: 0.0187140, MRR: 0.0552568, NDCG: 0.0317734, F1: 0.0165492, HIT_RATE: 0.1075697, ARHR: 0.0556994, RMSE: 0.9837194, NOVELTY: 0.0069021, AVERAGE_POPULARITY: 0.0592068, DIVERSITY_MEAN_INTER_LIST: 0.9922518, DIVERSITY_HERFINDAHL: 0.9988299, COVERAGE_ITEM: 0.0813193, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.6753409, SHANNON_ENTROPY: 10.2029391, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0697211, PRECISION: 0.0107570, PRECISION_RECALL_MIN_DEN: 0.0358566, RECALL: 0.0358566, MAP: 0.0187140, MRR: 0.0552568, NDCG: 0.0317734, F1: 0.0165492, HIT_RATE: 0.1075697, ARHR: 0.0556994, RMSE: 0.9837194, NOVELTY: 0.0069021, AVERAGE_POPULARITY: 0.0592068, DIVERSITY_MEAN_INTER_LIST: 0.9922518, DIVERSITY_HERFINDAHL: 0.9988299, COVERAGE_ITEM: 0.0813193, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.6753409, SHANNON_ENTROPY: 10.2029391, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 11, 'shrink': 1488, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0509075, PRECISION: 0.0067729, PRECISION_RECALL_MIN_DEN: 0.0225764, RECALL: 0.0225764, MAP: 0.0129851, MRR: 0.0389553, NDCG: 0.0214647, F1: 0.0104199, HIT_RATE: 0.0677291, ARHR: 0.0389553, RMSE: 0.9218538, NOVELTY: 0.0067870, AVERAGE_POPULARITY: 0.0318513, DIVERSITY_MEAN_INTER_LIST: 0.9960159, DIVERSITY_HERFINDAHL: 0.9992048, COVERAGE_ITEM: 0.1006759, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.7774784, SHANNON_ENTROPY: 10.6466782, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0697211, PRECISION: 0.0107570, PRECISION_RECALL_MIN_DEN: 0.0358566, RECALL: 0.0358566, MAP: 0.0187140, MRR: 0.0552568, NDCG: 0.0317734, F1: 0.0165492, HIT_RATE: 0.1075697, ARHR: 0.0556994, RMSE: 0.9837194, NOVELTY: 0.0069021, AVERAGE_POPULARITY: 0.0592068, DIVERSITY_MEAN_INTER_LIST: 0.9922518, DIVERSITY_HERFINDAHL: 0.9988299, COVERAGE_ITEM: 0.0813193, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.6753409, SHANNON_ENTROPY: 10.2029391, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 21, 'shrink': 7, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0405046, PRECISION: 0.0075697, PRECISION_RECALL_MIN_DEN: 0.0252324, RECALL: 0.0252324, MAP: 0.0104545, MRR: 0.0304781, NDCG: 0.0193146, F1: 0.0116457, HIT_RATE: 0.0756972, ARHR: 0.0309208, RMSE: 0.9379673, NOVELTY: 0.0048160, AVERAGE_POPULARITY: 0.1037262, DIVERSITY_MEAN_INTER_LIST: 0.9916367, DIVERSITY_HERFINDAHL: 0.9987686, COVERAGE_ITEM: 0.0934307, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.7232677, SHANNON_ENTROPY: 10.3802196, 
SearchBayesianSkopt: Config 30 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0697211, PRECISION: 0.0107570, PRECISION_RECALL_MIN_DEN: 0.0358566, RECALL: 0.0358566, MAP: 0.0187140, MRR: 0.0552568, NDCG: 0.0317734, F1: 0.0165492, HIT_RATE: 0.1075697, ARHR: 0.0556994, RMSE: 0.9837194, NOVELTY: 0.0069021, AVERAGE_POPULARITY: 0.0592068, DIVERSITY_MEAN_INTER_LIST: 0.9922518, DIVERSITY_HERFINDAHL: 0.9988299, COVERAGE_ITEM: 0.0813193, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.6753409, SHANNON_ENTROPY: 10.2029391, 
