SearchBayesianSkopt: Config 26 is suboptimal. Config: {'num_models': 64, 'topK': 2831} - results: ROC_AUC: 0.1728282, PRECISION: 0.0275615, PRECISION_RECALL_MIN_DEN: 0.0918717, RECALL: 0.0918717, MAP: 0.0489936, MRR: 0.1291048, NDCG: 0.0799432, F1: 0.0424023, HIT_RATE: 0.2756150, ARHR: 0.1378038, RMSE: 0.9817261, NOVELTY: 0.0062835, AVERAGE_POPULARITY: 0.2309794, DIVERSITY_MEAN_INTER_LIST: 0.9909410, DIVERSITY_HERFINDAHL: 0.9990874, COVERAGE_ITEM: 0.7306840, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2412893, SHANNON_ENTROPY: 11.5996879, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'num_models': 79, 'topK': 598} - results: ROC_AUC: 0.1728170, PRECISION: 0.0276291, PRECISION_RECALL_MIN_DEN: 0.0920970, RECALL: 0.0920970, MAP: 0.0489954, MRR: 0.1290852, NDCG: 0.0800122, F1: 0.0425063, HIT_RATE: 0.2762909, ARHR: 0.1378007, RMSE: 0.9816547, NOVELTY: 0.0062714, AVERAGE_POPULARITY: 0.2330376, DIVERSITY_MEAN_INTER_LIST: 0.9909157, DIVERSITY_HERFINDAHL: 0.9990849, COVERAGE_ITEM: 0.7297648, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2409631, SHANNON_ENTROPY: 11.5957931, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'num_models': 16, 'topK': 648} - results: ROC_AUC: 0.1727607, PRECISION: 0.0274736, PRECISION_RECALL_MIN_DEN: 0.0915788, RECALL: 0.0915788, MAP: 0.0489468, MRR: 0.1289229, NDCG: 0.0797997, F1: 0.0422671, HIT_RATE: 0.2747364, ARHR: 0.1376411, RMSE: 0.9815677, NOVELTY: 0.0063002, AVERAGE_POPULARITY: 0.2285310, DIVERSITY_MEAN_INTER_LIST: 0.9906927, DIVERSITY_HERFINDAHL: 0.9990626, COVERAGE_ITEM: 0.7325764, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2411066, SHANNON_ENTROPY: 11.5878525, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'num_models': 30, 'topK': 652} - results: ROC_AUC: 0.1727500, PRECISION: 0.0276494, PRECISION_RECALL_MIN_DEN: 0.0921645, RECALL: 0.0921645, MAP: 0.0489770, MRR: 0.1289841, NDCG: 0.0800077, F1: 0.0425375, HIT_RATE: 0.2764936, ARHR: 0.1377221, RMSE: 0.9815893, NOVELTY: 0.0062770, AVERAGE_POPULARITY: 0.2340639, DIVERSITY_MEAN_INTER_LIST: 0.9905769, DIVERSITY_HERFINDAHL: 0.9990510, COVERAGE_ITEM: 0.7245742, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2376585, SHANNON_ENTROPY: 11.5536573, 
SearchBayesianSkopt: New best config found. Config 30: {'num_models': 10, 'topK': 2946} - results: ROC_AUC: 0.1727666, PRECISION: 0.0274939, PRECISION_RECALL_MIN_DEN: 0.0916464, RECALL: 0.0916464, MAP: 0.0490503, MRR: 0.1291356, NDCG: 0.0799117, F1: 0.0422983, HIT_RATE: 0.2749392, ARHR: 0.1379002, RMSE: 0.9817366, NOVELTY: 0.0063052, AVERAGE_POPULARITY: 0.2262430, DIVERSITY_MEAN_INTER_LIST: 0.9908938, DIVERSITY_HERFINDAHL: 0.9990827, COVERAGE_ITEM: 0.7338200, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2431807, SHANNON_ENTROPY: 11.6129403, 
SearchBayesianSkopt: Config 31 is suboptimal. Config: {'num_models': 10, 'topK': 1} - results: ROC_AUC: 0.1219633, PRECISION: 0.0151595, PRECISION_RECALL_MIN_DEN: 0.0505317, RECALL: 0.0505317, MAP: 0.0352545, MRR: 0.0980892, NDCG: 0.0535565, F1: 0.0233223, HIT_RATE: 0.1515950, ARHR: 0.1018689, RMSE: 0.9910269, NOVELTY: 0.0071248, AVERAGE_POPULARITY: 0.0680712, DIVERSITY_MEAN_INTER_LIST: 0.6703223, DIVERSITY_HERFINDAHL: 0.9670277, COVERAGE_ITEM: 0.4459043, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1414629, SHANNON_ENTROPY: 7.7968335, 
SearchBayesianSkopt: Config 32 is suboptimal. Config: {'num_models': 100, 'topK': 3000} - results: ROC_AUC: 0.1727997, PRECISION: 0.0276291, PRECISION_RECALL_MIN_DEN: 0.0920970, RECALL: 0.0920970, MAP: 0.0489606, MRR: 0.1289772, NDCG: 0.0799777, F1: 0.0425063, HIT_RATE: 0.2762909, ARHR: 0.1376981, RMSE: 0.9815222, NOVELTY: 0.0062666, AVERAGE_POPULARITY: 0.2347688, DIVERSITY_MEAN_INTER_LIST: 0.9907654, DIVERSITY_HERFINDAHL: 0.9990698, COVERAGE_ITEM: 0.7292782, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2396852, SHANNON_ENTROPY: 11.5795965, 
SearchBayesianSkopt: Config 33 is suboptimal. Config: {'num_models': 98, 'topK': 2997} - results: ROC_AUC: 0.1727814, PRECISION: 0.0276358, PRECISION_RECALL_MIN_DEN: 0.0921195, RECALL: 0.0921195, MAP: 0.0489673, MRR: 0.1289746, NDCG: 0.0799872, F1: 0.0425167, HIT_RATE: 0.2763585, ARHR: 0.1377069, RMSE: 0.9815323, NOVELTY: 0.0062658, AVERAGE_POPULARITY: 0.2349947, DIVERSITY_MEAN_INTER_LIST: 0.9907527, DIVERSITY_HERFINDAHL: 0.9990686, COVERAGE_ITEM: 0.7291700, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2394977, SHANNON_ENTROPY: 11.5777014, 
SearchBayesianSkopt: Config 34 is suboptimal. Config: {'num_models': 100, 'topK': 10} - results: ROC_AUC: 0.1705191, PRECISION: 0.0268045, PRECISION_RECALL_MIN_DEN: 0.0893485, RECALL: 0.0893485, MAP: 0.0484180, MRR: 0.1278100, NDCG: 0.0786004, F1: 0.0412378, HIT_RATE: 0.2680454, ARHR: 0.1363120, RMSE: 0.9827019, NOVELTY: 0.0064630, AVERAGE_POPULARITY: 0.2046771, DIVERSITY_MEAN_INTER_LIST: 0.9787227, DIVERSITY_HERFINDAHL: 0.9978657, COVERAGE_ITEM: 0.6726142, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2166235, SHANNON_ENTROPY: 11.0895515, 
SearchBayesianSkopt: Config 35 is suboptimal. Config: {'num_models': 100, 'topK': 3000} - results: ROC_AUC: 0.1727997, PRECISION: 0.0276291, PRECISION_RECALL_MIN_DEN: 0.0920970, RECALL: 0.0920970, MAP: 0.0489606, MRR: 0.1289772, NDCG: 0.0799777, F1: 0.0425063, HIT_RATE: 0.2762909, ARHR: 0.1376981, RMSE: 0.9815222, NOVELTY: 0.0062666, AVERAGE_POPULARITY: 0.2347688, DIVERSITY_MEAN_INTER_LIST: 0.9907654, DIVERSITY_HERFINDAHL: 0.9990698, COVERAGE_ITEM: 0.7292782, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2396852, SHANNON_ENTROPY: 11.5795965, 
