SearchBayesianSkopt: New best config found. Config 21: {'topK': 5, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.1407186782643177, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1097635, PRECISION: 0.0171046, PRECISION_RECALL_MIN_DEN: 0.0570154, RECALL: 0.0570154, MAP: 0.0273379, MRR: 0.0775252, NDCG: 0.0474740, F1: 0.0263148, HIT_RATE: 0.1710462, ARHR: 0.0797694, RMSE: 0.9361634, NOVELTY: 0.0069901, AVERAGE_POPULARITY: 0.1660176, DIVERSITY_MEAN_INTER_LIST: 0.9898251, DIVERSITY_HERFINDAHL: 0.9989664, COVERAGE_ITEM: 0.4217897, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3103830, SHANNON_ENTROPY: 11.3118946, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 813, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 2.0, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0981850, PRECISION: 0.0157989, PRECISION_RECALL_MIN_DEN: 0.0526631, RECALL: 0.0526631, MAP: 0.0245131, MRR: 0.0692529, NDCG: 0.0429920, F1: 0.0243060, HIT_RATE: 0.1579892, ARHR: 0.0713879, RMSE: 0.5426622, NOVELTY: 0.0063780, AVERAGE_POPULARITY: 0.1999159, DIVERSITY_MEAN_INTER_LIST: 0.9860850, DIVERSITY_HERFINDAHL: 0.9985924, COVERAGE_ITEM: 0.3174912, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2564496, SHANNON_ENTROPY: 10.6932028, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 2.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0918471, PRECISION: 0.0147870, PRECISION_RECALL_MIN_DEN: 0.0492900, RECALL: 0.0492900, MAP: 0.0233480, MRR: 0.0656572, NDCG: 0.0405942, F1: 0.0227492, HIT_RATE: 0.1478701, ARHR: 0.0678415, RMSE: 0.9941273, NOVELTY: 0.0055703, AVERAGE_POPULARITY: 0.4480788, DIVERSITY_MEAN_INTER_LIST: 0.9582334, DIVERSITY_HERFINDAHL: 0.9958077, COVERAGE_ITEM: 0.1030549, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1774195, SHANNON_ENTROPY: 8.7104971, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.0003102588951323, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1050046, PRECISION: 0.0167129, PRECISION_RECALL_MIN_DEN: 0.0557097, RECALL: 0.0557097, MAP: 0.0265664, MRR: 0.0745376, NDCG: 0.0460593, F1: 0.0257122, HIT_RATE: 0.1671291, ARHR: 0.0770889, RMSE: 0.5839266, NOVELTY: 0.0056149, AVERAGE_POPULARITY: 0.4982534, DIVERSITY_MEAN_INTER_LIST: 0.9224856, DIVERSITY_HERFINDAHL: 0.9922335, COVERAGE_ITEM: 0.2242228, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1422660, SHANNON_ENTROPY: 8.7207429, 
SearchBayesianSkopt: New best config found. Config 25: {'topK': 5, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.8048599286140388, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1209467, PRECISION: 0.0196181, PRECISION_RECALL_MIN_DEN: 0.0653936, RECALL: 0.0653936, MAP: 0.0301616, MRR: 0.0843614, NDCG: 0.0529609, F1: 0.0301817, HIT_RATE: 0.1961808, ARHR: 0.0874130, RMSE: 0.9306845, NOVELTY: 0.0065445, AVERAGE_POPULARITY: 0.2113386, DIVERSITY_MEAN_INTER_LIST: 0.9875641, DIVERSITY_HERFINDAHL: 0.9987403, COVERAGE_ITEM: 0.3779941, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2544644, SHANNON_ENTROPY: 10.8776181, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6982238207260562, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0963035, PRECISION: 0.0159458, PRECISION_RECALL_MIN_DEN: 0.0531527, RECALL: 0.0531527, MAP: 0.0241489, MRR: 0.0680304, NDCG: 0.0426915, F1: 0.0245320, HIT_RATE: 0.1594581, ARHR: 0.0702181, RMSE: 0.9943698, NOVELTY: 0.0055203, AVERAGE_POPULARITY: 0.4714466, DIVERSITY_MEAN_INTER_LIST: 0.9538185, DIVERSITY_HERFINDAHL: 0.9953663, COVERAGE_ITEM: 0.0968370, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1720909, SHANNON_ENTROPY: 8.5729171, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 991, 'shrink': 994, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.9751274580384652, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0932744, PRECISION: 0.0147544, PRECISION_RECALL_MIN_DEN: 0.0491812, RECALL: 0.0491812, MAP: 0.0235240, MRR: 0.0665946, NDCG: 0.0408294, F1: 0.0226990, HIT_RATE: 0.1475437, ARHR: 0.0685588, RMSE: 0.7859769, NOVELTY: 0.0055341, AVERAGE_POPULARITY: 0.5415557, DIVERSITY_MEAN_INTER_LIST: 0.8836756, DIVERSITY_HERFINDAHL: 0.9883531, COVERAGE_ITEM: 0.1651257, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1196210, SHANNON_ENTROPY: 8.0392176, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 859, 'shrink': 59, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9950185381005388, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0025389, PRECISION: 0.0003917, PRECISION_RECALL_MIN_DEN: 0.0013057, RECALL: 0.0013057, MAP: 0.0005767, MRR: 0.0017302, NDCG: 0.0010512, F1: 0.0006026, HIT_RATE: 0.0039171, ARHR: 0.0017302, RMSE: 1.3548745, NOVELTY: 0.0086675, AVERAGE_POPULARITY: 0.0092351, DIVERSITY_MEAN_INTER_LIST: 0.9975553, DIVERSITY_HERFINDAHL: 0.9997392, COVERAGE_ITEM: 0.4461206, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5608136, SHANNON_ENTROPY: 12.5039147, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6715249574993637, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1170386, PRECISION: 0.0188183, PRECISION_RECALL_MIN_DEN: 0.0627278, RECALL: 0.0627278, MAP: 0.0293287, MRR: 0.0825078, NDCG: 0.0512842, F1: 0.0289513, HIT_RATE: 0.1881835, ARHR: 0.0852368, RMSE: 0.9441929, NOVELTY: 0.0069414, AVERAGE_POPULARITY: 0.1809565, DIVERSITY_MEAN_INTER_LIST: 0.9892110, DIVERSITY_HERFINDAHL: 0.9989050, COVERAGE_ITEM: 0.4191944, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3041107, SHANNON_ENTROPY: 11.2485380, 
SearchBayesianSkopt: Config 30 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6788980968745728, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1169093, PRECISION: 0.0188020, PRECISION_RECALL_MIN_DEN: 0.0626734, RECALL: 0.0626734, MAP: 0.0292965, MRR: 0.0824203, NDCG: 0.0512335, F1: 0.0289262, HIT_RATE: 0.1880202, ARHR: 0.0851447, RMSE: 0.9440779, NOVELTY: 0.0069427, AVERAGE_POPULARITY: 0.1807310, DIVERSITY_MEAN_INTER_LIST: 0.9892141, DIVERSITY_HERFINDAHL: 0.9989053, COVERAGE_ITEM: 0.4188700, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3043181, SHANNON_ENTROPY: 11.2490068, 
