SearchBayesianSkopt: New best config found. Config 21: {'topK': 1263, 'shrink': 2000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.1059221, PRECISION: 0.0171187, PRECISION_RECALL_MIN_DEN: 0.0570623, RECALL: 0.0570623, MAP: 0.0277639, MRR: 0.0762108, NDCG: 0.0474393, F1: 0.0263364, HIT_RATE: 0.1711868, ARHR: 0.0796893, RMSE: 0.8361521, NOVELTY: 0.0053048, AVERAGE_POPULARITY: 0.6303215, DIVERSITY_MEAN_INTER_LIST: 0.8666949, DIVERSITY_HERFINDAHL: 0.9866641, COVERAGE_ITEM: 0.2739659, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0698248, SHANNON_ENTROPY: 7.6840494, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 1961, 'shrink': 1955, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0980496, PRECISION: 0.0159881, PRECISION_RECALL_MIN_DEN: 0.0532938, RECALL: 0.0532938, MAP: 0.0258356, MRR: 0.0711231, NDCG: 0.0442335, F1: 0.0245971, HIT_RATE: 0.1598814, ARHR: 0.0742629, RMSE: 1.6192680, NOVELTY: 0.0052219, AVERAGE_POPULARITY: 0.6679129, DIVERSITY_MEAN_INTER_LIST: 0.8293369, DIVERSITY_HERFINDAHL: 0.9829286, COVERAGE_ITEM: 0.2144363, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0618571, SHANNON_ENTROPY: 7.2537834, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 1164, 'shrink': 1997, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1055005, PRECISION: 0.0172237, PRECISION_RECALL_MIN_DEN: 0.0574123, RECALL: 0.0574123, MAP: 0.0276732, MRR: 0.0761463, NDCG: 0.0474764, F1: 0.0264980, HIT_RATE: 0.1722370, ARHR: 0.0795137, RMSE: 0.7769523, NOVELTY: 0.0052411, AVERAGE_POPULARITY: 0.6555448, DIVERSITY_MEAN_INTER_LIST: 0.8522921, DIVERSITY_HERFINDAHL: 0.9852239, COVERAGE_ITEM: 0.2229792, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0607489, SHANNON_ENTROPY: 7.3643677, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 2000, 'shrink': 2000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1036398, PRECISION: 0.0167233, PRECISION_RECALL_MIN_DEN: 0.0557443, RECALL: 0.0557443, MAP: 0.0268937, MRR: 0.0742072, NDCG: 0.0461880, F1: 0.0257281, HIT_RATE: 0.1672330, ARHR: 0.0773798, RMSE: 0.7756425, NOVELTY: 0.0051511, AVERAGE_POPULARITY: 0.6995454, DIVERSITY_MEAN_INTER_LIST: 0.8098391, DIVERSITY_HERFINDAHL: 0.9809789, COVERAGE_ITEM: 0.1566369, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0519981, SHANNON_ENTROPY: 6.8298209, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 1976, 'shrink': 129, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0981013, PRECISION: 0.0159078, PRECISION_RECALL_MIN_DEN: 0.0530261, RECALL: 0.0530261, MAP: 0.0258585, MRR: 0.0712391, NDCG: 0.0441836, F1: 0.0244736, HIT_RATE: 0.1590783, ARHR: 0.0743518, RMSE: 25.1490556, NOVELTY: 0.0052200, AVERAGE_POPULARITY: 0.6688338, DIVERSITY_MEAN_INTER_LIST: 0.8283913, DIVERSITY_HERFINDAHL: 0.9828340, COVERAGE_ITEM: 0.2131928, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0616044, SHANNON_ENTROPY: 7.2421995, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 2000, 'shrink': 2000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.1055828, PRECISION: 0.0171125, PRECISION_RECALL_MIN_DEN: 0.0570417, RECALL: 0.0570417, MAP: 0.0276163, MRR: 0.0761090, NDCG: 0.0473267, F1: 0.0263269, HIT_RATE: 0.1711250, ARHR: 0.0794052, RMSE: 0.8432739, NOVELTY: 0.0051936, AVERAGE_POPULARITY: 0.6804594, DIVERSITY_MEAN_INTER_LIST: 0.8255791, DIVERSITY_HERFINDAHL: 0.9825528, COVERAGE_ITEM: 0.1971344, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0554059, SHANNON_ENTROPY: 7.0698741, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 2000, 'shrink': 2000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.1038401, PRECISION: 0.0170013, PRECISION_RECALL_MIN_DEN: 0.0566710, RECALL: 0.0566710, MAP: 0.0272564, MRR: 0.0748680, NDCG: 0.0467790, F1: 0.0261558, HIT_RATE: 0.1700130, ARHR: 0.0782506, RMSE: 0.7820420, NOVELTY: 0.0052055, AVERAGE_POPULARITY: 0.6730394, DIVERSITY_MEAN_INTER_LIST: 0.8317349, DIVERSITY_HERFINDAHL: 0.9831684, COVERAGE_ITEM: 0.2057853, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0549135, SHANNON_ENTROPY: 7.0974818, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 1997, 'shrink': 54, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1036837, PRECISION: 0.0168839, PRECISION_RECALL_MIN_DEN: 0.0562797, RECALL: 0.0562797, MAP: 0.0270513, MRR: 0.0746127, NDCG: 0.0465043, F1: 0.0259753, HIT_RATE: 0.1688392, ARHR: 0.0778182, RMSE: 26.7711894, NOVELTY: 0.0051530, AVERAGE_POPULARITY: 0.6987671, DIVERSITY_MEAN_INTER_LIST: 0.8104297, DIVERSITY_HERFINDAHL: 0.9810380, COVERAGE_ITEM: 0.1582049, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0521511, SHANNON_ENTROPY: 6.8410727, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 23, 'shrink': 1874, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0344481, PRECISION: 0.0052820, PRECISION_RECALL_MIN_DEN: 0.0176067, RECALL: 0.0176067, MAP: 0.0085885, MRR: 0.0247528, NDCG: 0.0148714, F1: 0.0081262, HIT_RATE: 0.0528202, ARHR: 0.0252475, RMSE: 0.9757107, NOVELTY: 0.0071589, AVERAGE_POPULARITY: 0.1435239, DIVERSITY_MEAN_INTER_LIST: 0.9973005, DIVERSITY_HERFINDAHL: 0.9997239, COVERAGE_ITEM: 0.7290078, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4680829, SHANNON_ENTROPY: 12.8542925, 
SearchBayesianSkopt: Config 30 is suboptimal. Config: {'topK': 1090, 'shrink': 15, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.1037760, PRECISION: 0.0167295, PRECISION_RECALL_MIN_DEN: 0.0557649, RECALL: 0.0557649, MAP: 0.0272664, MRR: 0.0752938, NDCG: 0.0465780, F1: 0.0257377, HIT_RATE: 0.1672947, ARHR: 0.0784968, RMSE: 89.4992992, NOVELTY: 0.0054178, AVERAGE_POPULARITY: 0.5875666, DIVERSITY_MEAN_INTER_LIST: 0.8918811, DIVERSITY_HERFINDAHL: 0.9891826, COVERAGE_ITEM: 0.3480400, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0883002, SHANNON_ENTROPY: 8.2296568, 
