SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0539450, PRECISION: 0.0088466, PRECISION_RECALL_MIN_DEN: 0.0294887, RECALL: 0.0294887, MAP: 0.0124729, MRR: 0.0359196, NDCG: 0.0228735, F1: 0.0136102, HIT_RATE: 0.0884661, ARHR: 0.0366601, RMSE: 0.9958478, NOVELTY: 0.0055041, AVERAGE_POPULARITY: 0.1238666, DIVERSITY_MEAN_INTER_LIST: 0.9926843, DIVERSITY_HERFINDAHL: 0.9992623, COVERAGE_ITEM: 0.7596107, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2768638, SHANNON_ENTROPY: 11.9919994, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0539450, PRECISION: 0.0088466, PRECISION_RECALL_MIN_DEN: 0.0294887, RECALL: 0.0294887, MAP: 0.0124729, MRR: 0.0359196, NDCG: 0.0228735, F1: 0.0136102, HIT_RATE: 0.0884661, ARHR: 0.0366601, RMSE: 0.9958478, NOVELTY: 0.0055041, AVERAGE_POPULARITY: 0.1238666, DIVERSITY_MEAN_INTER_LIST: 0.9926843, DIVERSITY_HERFINDAHL: 0.9992623, COVERAGE_ITEM: 0.7596107, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2768638, SHANNON_ENTROPY: 11.9919994, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 20, 'shrink': 1494, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0444545, PRECISION: 0.0074381, PRECISION_RECALL_MIN_DEN: 0.0247936, RECALL: 0.0247936, MAP: 0.0100495, MRR: 0.0289888, NDCG: 0.0187700, F1: 0.0114432, HIT_RATE: 0.0743807, ARHR: 0.0295642, RMSE: 0.9943025, NOVELTY: 0.0047994, AVERAGE_POPULARITY: 0.1098100, DIVERSITY_MEAN_INTER_LIST: 0.9952390, DIVERSITY_HERFINDAHL: 0.9995178, COVERAGE_ITEM: 0.7718302, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3011266, SHANNON_ENTROPY: 12.2486969, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 965, 'shrink': 1, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0458465, PRECISION: 0.0074628, PRECISION_RECALL_MIN_DEN: 0.0248759, RECALL: 0.0248759, MAP: 0.0105380, MRR: 0.0304595, NDCG: 0.0193348, F1: 0.0114812, HIT_RATE: 0.0746278, ARHR: 0.0310337, RMSE: 42.4019098, NOVELTY: 0.0058045, AVERAGE_POPULARITY: 0.1240998, DIVERSITY_MEAN_INTER_LIST: 0.9959417, DIVERSITY_HERFINDAHL: 0.9995880, COVERAGE_ITEM: 0.8011895, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3013051, SHANNON_ENTROPY: 12.3506067, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0539450, PRECISION: 0.0088466, PRECISION_RECALL_MIN_DEN: 0.0294887, RECALL: 0.0294887, MAP: 0.0124729, MRR: 0.0359196, NDCG: 0.0228735, F1: 0.0136102, HIT_RATE: 0.0884661, ARHR: 0.0366601, RMSE: 0.9958478, NOVELTY: 0.0055041, AVERAGE_POPULARITY: 0.1238666, DIVERSITY_MEAN_INTER_LIST: 0.9926843, DIVERSITY_HERFINDAHL: 0.9992623, COVERAGE_ITEM: 0.7596107, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2768638, SHANNON_ENTROPY: 11.9919994, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 23, 'shrink': 1492, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0360595, PRECISION: 0.0061469, PRECISION_RECALL_MIN_DEN: 0.0204897, RECALL: 0.0204897, MAP: 0.0080369, MRR: 0.0231292, NDCG: 0.0152097, F1: 0.0094568, HIT_RATE: 0.0614691, ARHR: 0.0236094, RMSE: 0.9997990, NOVELTY: 0.0049975, AVERAGE_POPULARITY: 0.0542237, DIVERSITY_MEAN_INTER_LIST: 0.9955327, DIVERSITY_HERFINDAHL: 0.9995471, COVERAGE_ITEM: 0.8257367, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3435423, SHANNON_ENTROPY: 12.5199444, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 17, 'shrink': 18, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0456894, PRECISION: 0.0076234, PRECISION_RECALL_MIN_DEN: 0.0254113, RECALL: 0.0254113, MAP: 0.0103289, MRR: 0.0296802, NDCG: 0.0192513, F1: 0.0117283, HIT_RATE: 0.0762340, ARHR: 0.0303262, RMSE: 1.3777985, NOVELTY: 0.0047544, AVERAGE_POPULARITY: 0.1148333, DIVERSITY_MEAN_INTER_LIST: 0.9950276, DIVERSITY_HERFINDAHL: 0.9994966, COVERAGE_ITEM: 0.7738308, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2974101, SHANNON_ENTROPY: 12.2208895, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 993, 'shrink': 1480, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0435550, PRECISION: 0.0073083, PRECISION_RECALL_MIN_DEN: 0.0243611, RECALL: 0.0243611, MAP: 0.0098522, MRR: 0.0284722, NDCG: 0.0184217, F1: 0.0112436, HIT_RATE: 0.0730833, ARHR: 0.0290078, RMSE: 0.9791451, NOVELTY: 0.0057455, AVERAGE_POPULARITY: 0.1160173, DIVERSITY_MEAN_INTER_LIST: 0.9961741, DIVERSITY_HERFINDAHL: 0.9996113, COVERAGE_ITEM: 0.7998378, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3103359, SHANNON_ENTROPY: 12.4072909, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 987, 'shrink': 1492, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0418340, PRECISION: 0.0070056, PRECISION_RECALL_MIN_DEN: 0.0233521, RECALL: 0.0233521, MAP: 0.0093823, MRR: 0.0271406, NDCG: 0.0176017, F1: 0.0107779, HIT_RATE: 0.0700562, ARHR: 0.0276438, RMSE: 0.9781788, NOVELTY: 0.0050330, AVERAGE_POPULARITY: 0.1110184, DIVERSITY_MEAN_INTER_LIST: 0.9961527, DIVERSITY_HERFINDAHL: 0.9996091, COVERAGE_ITEM: 0.7834009, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3090205, SHANNON_ENTROPY: 12.3853397, 
SearchBayesianSkopt: Config 30 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0539450, PRECISION: 0.0088466, PRECISION_RECALL_MIN_DEN: 0.0294887, RECALL: 0.0294887, MAP: 0.0124729, MRR: 0.0359196, NDCG: 0.0228735, F1: 0.0136102, HIT_RATE: 0.0884661, ARHR: 0.0366601, RMSE: 0.9958478, NOVELTY: 0.0055041, AVERAGE_POPULARITY: 0.1238666, DIVERSITY_MEAN_INTER_LIST: 0.9926843, DIVERSITY_HERFINDAHL: 0.9992623, COVERAGE_ITEM: 0.7596107, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2768638, SHANNON_ENTROPY: 11.9919994, 
SearchBayesianSkopt: Config 31 is suboptimal. Config: {'topK': 8, 'shrink': 4, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0427906, PRECISION: 0.0071045, PRECISION_RECALL_MIN_DEN: 0.0236816, RECALL: 0.0236816, MAP: 0.0097574, MRR: 0.0280016, NDCG: 0.0180806, F1: 0.0109299, HIT_RATE: 0.0710447, ARHR: 0.0286287, RMSE: 0.9695841, NOVELTY: 0.0058488, AVERAGE_POPULARITY: 0.0668145, DIVERSITY_MEAN_INTER_LIST: 0.9949621, DIVERSITY_HERFINDAHL: 0.9994901, COVERAGE_ITEM: 0.8311436, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3558380, SHANNON_ENTROPY: 12.5475888, 
SearchBayesianSkopt: Config 32 is suboptimal. Config: {'topK': 22, 'shrink': 1, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0361871, PRECISION: 0.0062210, PRECISION_RECALL_MIN_DEN: 0.0207368, RECALL: 0.0207368, MAP: 0.0081361, MRR: 0.0234710, NDCG: 0.0153955, F1: 0.0095708, HIT_RATE: 0.0622104, ARHR: 0.0239322, RMSE: 0.9475387, NOVELTY: 0.0053833, AVERAGE_POPULARITY: 0.0589467, DIVERSITY_MEAN_INTER_LIST: 0.9971739, DIVERSITY_HERFINDAHL: 0.9997112, COVERAGE_ITEM: 0.8048121, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3746266, SHANNON_ENTROPY: 12.7447105, 
SearchBayesianSkopt: Config 33 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0539450, PRECISION: 0.0088466, PRECISION_RECALL_MIN_DEN: 0.0294887, RECALL: 0.0294887, MAP: 0.0124729, MRR: 0.0359196, NDCG: 0.0228735, F1: 0.0136102, HIT_RATE: 0.0884661, ARHR: 0.0366601, RMSE: 0.9958478, NOVELTY: 0.0055041, AVERAGE_POPULARITY: 0.1238666, DIVERSITY_MEAN_INTER_LIST: 0.9926843, DIVERSITY_HERFINDAHL: 0.9992623, COVERAGE_ITEM: 0.7596107, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2768638, SHANNON_ENTROPY: 11.9919994, 
SearchBayesianSkopt: Config 34 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0539450, PRECISION: 0.0088466, PRECISION_RECALL_MIN_DEN: 0.0294887, RECALL: 0.0294887, MAP: 0.0124729, MRR: 0.0359196, NDCG: 0.0228735, F1: 0.0136102, HIT_RATE: 0.0884661, ARHR: 0.0366601, RMSE: 0.9958478, NOVELTY: 0.0055041, AVERAGE_POPULARITY: 0.1238666, DIVERSITY_MEAN_INTER_LIST: 0.9926843, DIVERSITY_HERFINDAHL: 0.9992623, COVERAGE_ITEM: 0.7596107, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2768638, SHANNON_ENTROPY: 11.9919994, 
SearchBayesianSkopt: Search complete. Best config is 11: {'topK': 5, 'shrink': 1500, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'}
