SearchBayesianSkopt: New best config found. Config 21: {'topK': 1982, 'shrink': 14, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0388834, PRECISION: 0.0074846, PRECISION_RECALL_MIN_DEN: 0.0249488, RECALL: 0.0249488, MAP: 0.0082367, MRR: 0.0241622, NDCG: 0.0168797, F1: 0.0115148, HIT_RATE: 0.0748464, ARHR: 0.0244362, RMSE: 0.8215807, NOVELTY: 0.0049954, AVERAGE_POPULARITY: 0.7801345, DIVERSITY_MEAN_INTER_LIST: 0.5444778, DIVERSITY_HERFINDAHL: 0.9544358, COVERAGE_ITEM: 0.0140579, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1034659, SHANNON_ENTROPY: 5.0444956, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 2000, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0350240, PRECISION: 0.0070018, PRECISION_RECALL_MIN_DEN: 0.0233392, RECALL: 0.0233392, MAP: 0.0076577, MRR: 0.0220192, NDCG: 0.0156425, F1: 0.0107719, HIT_RATE: 0.0700176, ARHR: 0.0224962, RMSE: 0.8867168, NOVELTY: 0.0049507, AVERAGE_POPULARITY: 0.8191227, DIVERSITY_MEAN_INTER_LIST: 0.5453361, DIVERSITY_HERFINDAHL: 0.9545216, COVERAGE_ITEM: 0.0080562, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1564603, SHANNON_ENTROPY: 4.9248263, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 1993, 'shrink': 99, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0036338, PRECISION: 0.0006585, PRECISION_RECALL_MIN_DEN: 0.0021949, RECALL: 0.0021949, MAP: 0.0007969, MRR: 0.0023908, NDCG: 0.0015727, F1: 0.0010130, HIT_RATE: 0.0065847, ARHR: 0.0023908, RMSE: 0.9634774, NOVELTY: 0.0077401, AVERAGE_POPULARITY: 0.0995664, DIVERSITY_MEAN_INTER_LIST: 0.9835162, DIVERSITY_HERFINDAHL: 0.9983300, COVERAGE_ITEM: 0.1015410, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3530936, SHANNON_ENTROPY: 9.7880918, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 2000, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0404839, PRECISION: 0.0078797, PRECISION_RECALL_MIN_DEN: 0.0262657, RECALL: 0.0262657, MAP: 0.0082259, MRR: 0.0240047, NDCG: 0.0172852, F1: 0.0121226, HIT_RATE: 0.0787972, ARHR: 0.0243413, RMSE: 2.6224586, NOVELTY: 0.0049383, AVERAGE_POPULARITY: 0.8279143, DIVERSITY_MEAN_INTER_LIST: 0.4240616, DIVERSITY_HERFINDAHL: 0.9423969, COVERAGE_ITEM: 0.0049202, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1895060, SHANNON_ENTROPY: 4.4597258, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 1993, 'shrink': 1971, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0289697, PRECISION: 0.0058604, PRECISION_RECALL_MIN_DEN: 0.0195347, RECALL: 0.0195347, MAP: 0.0060456, MRR: 0.0176425, NDCG: 0.0127613, F1: 0.0090160, HIT_RATE: 0.0586040, ARHR: 0.0178897, RMSE: 0.9990258, NOVELTY: 0.0052356, AVERAGE_POPULARITY: 0.6235082, DIVERSITY_MEAN_INTER_LIST: 0.7953735, DIVERSITY_HERFINDAHL: 0.9795199, COVERAGE_ITEM: 0.0333063, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1306615, SHANNON_ENTROPY: 6.5466435, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 1943, 'shrink': 1975, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0130719, PRECISION: 0.0021291, PRECISION_RECALL_MIN_DEN: 0.0070969, RECALL: 0.0070969, MAP: 0.0028036, MRR: 0.0084109, NDCG: 0.0053507, F1: 0.0032755, HIT_RATE: 0.0212906, ARHR: 0.0084109, RMSE: 0.9994685, NOVELTY: 0.0062322, AVERAGE_POPULARITY: 0.2808037, DIVERSITY_MEAN_INTER_LIST: 0.9744151, DIVERSITY_HERFINDAHL: 0.9974201, COVERAGE_ITEM: 0.1323601, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2601208, SHANNON_ENTROPY: 9.5800880, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 2000, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0404839, PRECISION: 0.0078797, PRECISION_RECALL_MIN_DEN: 0.0262657, RECALL: 0.0262657, MAP: 0.0082259, MRR: 0.0240047, NDCG: 0.0172852, F1: 0.0121226, HIT_RATE: 0.0787972, ARHR: 0.0243413, RMSE: 2.6224586, NOVELTY: 0.0049383, AVERAGE_POPULARITY: 0.8279143, DIVERSITY_MEAN_INTER_LIST: 0.4240616, DIVERSITY_HERFINDAHL: 0.9423969, COVERAGE_ITEM: 0.0049202, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1895060, SHANNON_ENTROPY: 4.4597258, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 1990, 'shrink': 1969, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0306418, PRECISION: 0.0054653, PRECISION_RECALL_MIN_DEN: 0.0182177, RECALL: 0.0182177, MAP: 0.0061341, MRR: 0.0178951, NDCG: 0.0124881, F1: 0.0084082, HIT_RATE: 0.0546532, ARHR: 0.0181488, RMSE: 0.9929965, NOVELTY: 0.0052678, AVERAGE_POPULARITY: 0.6095823, DIVERSITY_MEAN_INTER_LIST: 0.8581998, DIVERSITY_HERFINDAHL: 0.9858011, COVERAGE_ITEM: 0.0149770, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2951622, SHANNON_ENTROPY: 6.7396793, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 1973, 'shrink': 7, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0385115, PRECISION: 0.0075505, PRECISION_RECALL_MIN_DEN: 0.0251683, RECALL: 0.0251683, MAP: 0.0078276, MRR: 0.0229573, NDCG: 0.0165150, F1: 0.0116161, HIT_RATE: 0.0755048, ARHR: 0.0232201, RMSE: 4.7603076, NOVELTY: 0.0050335, AVERAGE_POPULARITY: 0.7531587, DIVERSITY_MEAN_INTER_LIST: 0.6045389, DIVERSITY_HERFINDAHL: 0.9604406, COVERAGE_ITEM: 0.0194647, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0919295, SHANNON_ENTROPY: 5.3088883, 
SearchBayesianSkopt: Config 30 is suboptimal. Config: {'topK': 1999, 'shrink': 1970, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0226609, PRECISION: 0.0041703, PRECISION_RECALL_MIN_DEN: 0.0139011, RECALL: 0.0139011, MAP: 0.0047345, MRR: 0.0138986, NDCG: 0.0095864, F1: 0.0064159, HIT_RATE: 0.0417032, ARHR: 0.0140510, RMSE: 0.9996114, NOVELTY: 0.0057029, AVERAGE_POPULARITY: 0.4483995, DIVERSITY_MEAN_INTER_LIST: 0.9288482, DIVERSITY_HERFINDAHL: 0.9928644, COVERAGE_ITEM: 0.1339822, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1756973, SHANNON_ENTROPY: 8.6431762, 
SearchBayesianSkopt: Config 31 is suboptimal. Config: {'topK': 2000, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0404839, PRECISION: 0.0078797, PRECISION_RECALL_MIN_DEN: 0.0262657, RECALL: 0.0262657, MAP: 0.0082259, MRR: 0.0240047, NDCG: 0.0172852, F1: 0.0121226, HIT_RATE: 0.0787972, ARHR: 0.0243413, RMSE: 2.6224586, NOVELTY: 0.0049383, AVERAGE_POPULARITY: 0.8279143, DIVERSITY_MEAN_INTER_LIST: 0.4240616, DIVERSITY_HERFINDAHL: 0.9423969, COVERAGE_ITEM: 0.0049202, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1895060, SHANNON_ENTROPY: 4.4597258, 
SearchBayesianSkopt: Config 32 is suboptimal. Config: {'topK': 2000, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0350240, PRECISION: 0.0070018, PRECISION_RECALL_MIN_DEN: 0.0233392, RECALL: 0.0233392, MAP: 0.0076577, MRR: 0.0220192, NDCG: 0.0156425, F1: 0.0107719, HIT_RATE: 0.0700176, ARHR: 0.0224962, RMSE: 0.8867168, NOVELTY: 0.0049507, AVERAGE_POPULARITY: 0.8191227, DIVERSITY_MEAN_INTER_LIST: 0.5453361, DIVERSITY_HERFINDAHL: 0.9545216, COVERAGE_ITEM: 0.0080562, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1564603, SHANNON_ENTROPY: 4.9248263, 
