SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 656, 'shrink': 7, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0786495, PRECISION: 0.0135708, PRECISION_RECALL_MIN_DEN: 0.0452361, RECALL: 0.0452361, MAP: 0.0197031, MRR: 0.0547993, NDCG: 0.0352881, F1: 0.0208782, HIT_RATE: 0.1357084, ARHR: 0.0569223, RMSE: 0.8609036, NOVELTY: 0.0051186, AVERAGE_POPULARITY: 0.7058211, DIVERSITY_MEAN_INTER_LIST: 0.8180976, DIVERSITY_HERFINDAHL: 0.9818058, COVERAGE_ITEM: 0.1217626, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0520848, SHANNON_ENTROPY: 6.7438311, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 627, 'shrink': 999, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0668899, PRECISION: 0.0113147, PRECISION_RECALL_MIN_DEN: 0.0377155, RECALL: 0.0377155, MAP: 0.0164298, MRR: 0.0466132, NDCG: 0.0295825, F1: 0.0174072, HIT_RATE: 0.1131466, ARHR: 0.0479314, RMSE: 0.9888899, NOVELTY: 0.0051347, AVERAGE_POPULARITY: 0.6857110, DIVERSITY_MEAN_INTER_LIST: 0.8437713, DIVERSITY_HERFINDAHL: 0.9843731, COVERAGE_ITEM: 0.1144093, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0545496, SHANNON_ENTROPY: 6.8793401, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 995, 'shrink': 973, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0711211, PRECISION: 0.0117534, PRECISION_RECALL_MIN_DEN: 0.0391779, RECALL: 0.0391779, MAP: 0.0182689, MRR: 0.0509509, NDCG: 0.0318653, F1: 0.0180821, HIT_RATE: 0.1175336, ARHR: 0.0528527, RMSE: 0.9893879, NOVELTY: 0.0053450, AVERAGE_POPULARITY: 0.6018481, DIVERSITY_MEAN_INTER_LIST: 0.8795758, DIVERSITY_HERFINDAHL: 0.9879533, COVERAGE_ITEM: 0.1965396, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0883277, SHANNON_ENTROPY: 7.9136251, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 801, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0787954, PRECISION: 0.0134021, PRECISION_RECALL_MIN_DEN: 0.0446737, RECALL: 0.0446737, MAP: 0.0197793, MRR: 0.0550617, NDCG: 0.0352039, F1: 0.0206186, HIT_RATE: 0.1340211, ARHR: 0.0571673, RMSE: 0.8913015, NOVELTY: 0.0051024, AVERAGE_POPULARITY: 0.7169948, DIVERSITY_MEAN_INTER_LIST: 0.8024815, DIVERSITY_HERFINDAHL: 0.9802443, COVERAGE_ITEM: 0.1179778, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0493964, SHANNON_ENTROPY: 6.6143058, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 800, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0802195, PRECISION: 0.0134841, PRECISION_RECALL_MIN_DEN: 0.0449469, RECALL: 0.0449469, MAP: 0.0202377, MRR: 0.0562618, NDCG: 0.0357721, F1: 0.0207447, HIT_RATE: 0.1348407, ARHR: 0.0584491, RMSE: 0.9173401, NOVELTY: 0.0051406, AVERAGE_POPULARITY: 0.6942986, DIVERSITY_MEAN_INTER_LIST: 0.8213416, DIVERSITY_HERFINDAHL: 0.9821302, COVERAGE_ITEM: 0.1073804, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0569353, SHANNON_ENTROPY: 6.8070802, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 689, 'shrink': 998, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0741796, PRECISION: 0.0123945, PRECISION_RECALL_MIN_DEN: 0.0413151, RECALL: 0.0413151, MAP: 0.0189657, MRR: 0.0529963, NDCG: 0.0332994, F1: 0.0190685, HIT_RATE: 0.1239454, ARHR: 0.0549192, RMSE: 0.9128926, NOVELTY: 0.0052799, AVERAGE_POPULARITY: 0.6285013, DIVERSITY_MEAN_INTER_LIST: 0.8669341, DIVERSITY_HERFINDAHL: 0.9866892, COVERAGE_ITEM: 0.1197621, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0842728, SHANNON_ENTROPY: 7.4853186, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 658, 'shrink': 4, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0767621, PRECISION: 0.0130309, PRECISION_RECALL_MIN_DEN: 0.0434363, RECALL: 0.0434363, MAP: 0.0195837, MRR: 0.0545384, NDCG: 0.0345972, F1: 0.0200475, HIT_RATE: 0.1303090, ARHR: 0.0566107, RMSE: 36.1478382, NOVELTY: 0.0052206, AVERAGE_POPULARITY: 0.6575921, DIVERSITY_MEAN_INTER_LIST: 0.8473619, DIVERSITY_HERFINDAHL: 0.9847321, COVERAGE_ITEM: 0.1188970, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0696233, SHANNON_ENTROPY: 7.1942341, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 9, 'shrink': 53, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0152907, PRECISION: 0.0025358, PRECISION_RECALL_MIN_DEN: 0.0084527, RECALL: 0.0084527, MAP: 0.0032845, MRR: 0.0096413, NDCG: 0.0062794, F1: 0.0039012, HIT_RATE: 0.0253580, ARHR: 0.0097413, RMSE: 0.9967527, NOVELTY: 0.0065581, AVERAGE_POPULARITY: 0.1569206, DIVERSITY_MEAN_INTER_LIST: 0.9577677, DIVERSITY_HERFINDAHL: 0.9957722, COVERAGE_ITEM: 0.6013517, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2523030, SHANNON_ENTROPY: 11.0245707, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 998, 'shrink': 8, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0802125, PRECISION: 0.0135853, PRECISION_RECALL_MIN_DEN: 0.0452844, RECALL: 0.0452844, MAP: 0.0200877, MRR: 0.0562038, NDCG: 0.0357739, F1: 0.0209005, HIT_RATE: 0.1358531, ARHR: 0.0582014, RMSE: 0.8668260, NOVELTY: 0.0050722, AVERAGE_POPULARITY: 0.7366389, DIVERSITY_MEAN_INTER_LIST: 0.7757448, DIVERSITY_HERFINDAHL: 0.9775707, COVERAGE_ITEM: 0.1046229, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0456154, SHANNON_ENTROPY: 6.3674806, 
SearchBayesianSkopt: New best config found. Config 30: {'topK': 994, 'shrink': 972, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0806425, PRECISION: 0.0136432, PRECISION_RECALL_MIN_DEN: 0.0454772, RECALL: 0.0454772, MAP: 0.0203806, MRR: 0.0568390, NDCG: 0.0361130, F1: 0.0209895, HIT_RATE: 0.1364316, ARHR: 0.0589548, RMSE: 0.8809939, NOVELTY: 0.0051197, AVERAGE_POPULARITY: 0.7058725, DIVERSITY_MEAN_INTER_LIST: 0.8080577, DIVERSITY_HERFINDAHL: 0.9808019, COVERAGE_ITEM: 0.0994323, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0555215, SHANNON_ENTROPY: 6.6779599, 
SearchBayesianSkopt: Config 31 is suboptimal. Config: {'topK': 815, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0799963, PRECISION: 0.0135564, PRECISION_RECALL_MIN_DEN: 0.0451879, RECALL: 0.0451879, MAP: 0.0202450, MRR: 0.0562501, NDCG: 0.0358436, F1: 0.0208560, HIT_RATE: 0.1355638, ARHR: 0.0584540, RMSE: 0.9165077, NOVELTY: 0.0051362, AVERAGE_POPULARITY: 0.6966056, DIVERSITY_MEAN_INTER_LIST: 0.8192433, DIVERSITY_HERFINDAHL: 0.9819204, COVERAGE_ITEM: 0.1066775, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0563846, SHANNON_ENTROPY: 6.7832416, 
SearchBayesianSkopt: Config 32 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0796104, PRECISION: 0.0135805, PRECISION_RECALL_MIN_DEN: 0.0452683, RECALL: 0.0452683, MAP: 0.0199112, MRR: 0.0556278, NDCG: 0.0355643, F1: 0.0208931, HIT_RATE: 0.1358048, ARHR: 0.0576482, RMSE: 0.9035834, NOVELTY: 0.0050777, AVERAGE_POPULARITY: 0.7335216, DIVERSITY_MEAN_INTER_LIST: 0.7792554, DIVERSITY_HERFINDAHL: 0.9779218, COVERAGE_ITEM: 0.1093268, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0457473, SHANNON_ENTROPY: 6.4109049, 
SearchBayesianSkopt: Config 33 is suboptimal. Config: {'topK': 813, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0798665, PRECISION: 0.0135612, PRECISION_RECALL_MIN_DEN: 0.0452040, RECALL: 0.0452040, MAP: 0.0202394, MRR: 0.0562085, NDCG: 0.0358363, F1: 0.0208634, HIT_RATE: 0.1356120, ARHR: 0.0584249, RMSE: 0.9166244, NOVELTY: 0.0051368, AVERAGE_POPULARITY: 0.6962349, DIVERSITY_MEAN_INTER_LIST: 0.8195789, DIVERSITY_HERFINDAHL: 0.9819539, COVERAGE_ITEM: 0.1066775, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0564948, SHANNON_ENTROPY: 6.7869741, 
SearchBayesianSkopt: Config 34 is suboptimal. Config: {'topK': 704, 'shrink': 11, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0619985, PRECISION: 0.0104180, PRECISION_RECALL_MIN_DEN: 0.0347266, RECALL: 0.0347266, MAP: 0.0150703, MRR: 0.0430532, NDCG: 0.0272355, F1: 0.0160276, HIT_RATE: 0.1041797, ARHR: 0.0441100, RMSE: 1.6684985, NOVELTY: 0.0052616, AVERAGE_POPULARITY: 0.6258372, DIVERSITY_MEAN_INTER_LIST: 0.8782917, DIVERSITY_HERFINDAHL: 0.9878249, COVERAGE_ITEM: 0.2032441, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0652058, SHANNON_ENTROPY: 7.5737842, 
SearchBayesianSkopt: Search complete. Best config is 30: {'topK': 994, 'shrink': 972, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'}
