SearchBayesianSkopt: New best config found. Config 21: {'topK': 3778, 'shrink': 798, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0442235, PRECISION: 0.0078926, PRECISION_RECALL_MIN_DEN: 0.0303030, RECALL: 0.0303030, MAP: 0.0107448, MRR: 0.0269594, NDCG: 0.0202153, F1: 0.0125234, HIT_RATE: 0.0789256, ARHR: 0.0275508, RMSE: 0.9123985, NOVELTY: 0.0050459, AVERAGE_POPULARITY: 0.7723616, DIVERSITY_MEAN_INTER_LIST: 0.7147453, DIVERSITY_HERFINDAHL: 0.9714598, COVERAGE_ITEM: 0.0078940, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.2597020, SHANNON_ENTROPY: 5.6390982, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 379, 'shrink': 1199, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0301825, PRECISION: 0.0055992, PRECISION_RECALL_MIN_DEN: 0.0215565, RECALL: 0.0215565, MAP: 0.0080670, MRR: 0.0200750, NDCG: 0.0147157, F1: 0.0088894, HIT_RATE: 0.0559917, ARHR: 0.0205360, RMSE: 0.9876199, NOVELTY: 0.0057497, AVERAGE_POPULARITY: 0.5388047, DIVERSITY_MEAN_INTER_LIST: 0.8428049, DIVERSITY_HERFINDAHL: 0.9842631, COVERAGE_ITEM: 0.0263314, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.1572290, SHANNON_ENTROPY: 6.6019213, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 1465, 'shrink': 2584, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0426473, PRECISION: 0.0078306, PRECISION_RECALL_MIN_DEN: 0.0301309, RECALL: 0.0301309, MAP: 0.0105696, MRR: 0.0265927, NDCG: 0.0199529, F1: 0.0124306, HIT_RATE: 0.0783058, ARHR: 0.0271775, RMSE: 0.9848060, NOVELTY: 0.0050776, AVERAGE_POPULARITY: 0.7339663, DIVERSITY_MEAN_INTER_LIST: 0.7843144, DIVERSITY_HERFINDAHL: 0.9784152, COVERAGE_ITEM: 0.0189240, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.1549555, SHANNON_ENTROPY: 6.1397966, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 1558, 'shrink': 2830, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0409478, PRECISION: 0.0076653, PRECISION_RECALL_MIN_DEN: 0.0289601, RECALL: 0.0289601, MAP: 0.0098005, MRR: 0.0248807, NDCG: 0.0189012, F1: 0.0121221, HIT_RATE: 0.0766529, ARHR: 0.0253940, RMSE: 0.9821819, NOVELTY: 0.0051664, AVERAGE_POPULARITY: 0.7544546, DIVERSITY_MEAN_INTER_LIST: 0.7164013, DIVERSITY_HERFINDAHL: 0.9716253, COVERAGE_ITEM: 0.0054069, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.3431356, SHANNON_ENTROPY: 5.4920320, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 1790, 'shrink': 476, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0410526, PRECISION: 0.0076860, PRECISION_RECALL_MIN_DEN: 0.0289256, RECALL: 0.0289256, MAP: 0.0098325, MRR: 0.0251418, NDCG: 0.0189627, F1: 0.0121448, HIT_RATE: 0.0768595, ARHR: 0.0255730, RMSE: 0.8914839, NOVELTY: 0.0051316, AVERAGE_POPULARITY: 0.7674038, DIVERSITY_MEAN_INTER_LIST: 0.7002466, DIVERSITY_HERFINDAHL: 0.9700102, COVERAGE_ITEM: 0.0064342, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.2768592, SHANNON_ENTROPY: 5.4292419, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 53, 'shrink': 782, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0053647, PRECISION: 0.0010124, PRECISION_RECALL_MIN_DEN: 0.0040634, RECALL: 0.0040634, MAP: 0.0014171, MRR: 0.0034680, NDCG: 0.0026422, F1: 0.0016209, HIT_RATE: 0.0101240, ARHR: 0.0035352, RMSE: 0.9893563, NOVELTY: 0.0073374, AVERAGE_POPULARITY: 0.1065929, DIVERSITY_MEAN_INTER_LIST: 0.4899754, DIVERSITY_HERFINDAHL: 0.9489874, COVERAGE_ITEM: 0.0985672, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.1124910, SHANNON_ENTROPY: 5.9813103, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 1738, 'shrink': 1819, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0410511, PRECISION: 0.0077273, PRECISION_RECALL_MIN_DEN: 0.0291667, RECALL: 0.0291667, MAP: 0.0098748, MRR: 0.0251017, NDCG: 0.0190427, F1: 0.0122177, HIT_RATE: 0.0772727, ARHR: 0.0255823, RMSE: 0.9702231, NOVELTY: 0.0051377, AVERAGE_POPULARITY: 0.7652571, DIVERSITY_MEAN_INTER_LIST: 0.7034516, DIVERSITY_HERFINDAHL: 0.9703306, COVERAGE_ITEM: 0.0057313, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.3130428, SHANNON_ENTROPY: 5.4405939, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 563, 'shrink': 1808, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0292671, PRECISION: 0.0058264, PRECISION_RECALL_MIN_DEN: 0.0222796, RECALL: 0.0222796, MAP: 0.0073554, MRR: 0.0188220, NDCG: 0.0143101, F1: 0.0092372, HIT_RATE: 0.0582645, ARHR: 0.0191217, RMSE: 0.9862703, NOVELTY: 0.0056559, AVERAGE_POPULARITY: 0.5493196, DIVERSITY_MEAN_INTER_LIST: 0.8787019, DIVERSITY_HERFINDAHL: 0.9878520, COVERAGE_ITEM: 0.0404434, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.1511076, SHANNON_ENTROPY: 7.1118892, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 2556, 'shrink': 634, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0448534, PRECISION: 0.0079752, PRECISION_RECALL_MIN_DEN: 0.0303030, RECALL: 0.0303030, MAP: 0.0106101, MRR: 0.0271530, NDCG: 0.0201982, F1: 0.0126272, HIT_RATE: 0.0797521, ARHR: 0.0276910, RMSE: 0.9180961, NOVELTY: 0.0051393, AVERAGE_POPULARITY: 0.7324673, DIVERSITY_MEAN_INTER_LIST: 0.7635430, DIVERSITY_HERFINDAHL: 0.9763385, COVERAGE_ITEM: 0.0113004, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.2269329, SHANNON_ENTROPY: 5.9640531, 
SearchBayesianSkopt: New best config found. Config 30: {'topK': 3109, 'shrink': 1306, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0436157, PRECISION: 0.0081818, PRECISION_RECALL_MIN_DEN: 0.0313361, RECALL: 0.0313361, MAP: 0.0108036, MRR: 0.0271326, NDCG: 0.0205542, F1: 0.0129757, HIT_RATE: 0.0818182, ARHR: 0.0277799, RMSE: 0.9498904, NOVELTY: 0.0049881, AVERAGE_POPULARITY: 0.7887777, DIVERSITY_MEAN_INTER_LIST: 0.7131796, DIVERSITY_HERFINDAHL: 0.9713032, COVERAGE_ITEM: 0.0060557, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.3106846, SHANNON_ENTROPY: 5.5280998, 
