SearchBayesianSkopt: Config 21 is suboptimal. Config: {'ICM_price': 0.11168562085887881, 'ICM_asset': 1.6482513462114268, 'ICM_sub_class': 1.9857898380238996, 'ICM_item_pop': 1.9906533380256126} - results: ROC_AUC: 0.1335605, PRECISION: 0.0218138, PRECISION_RECALL_MIN_DEN: 0.0727127, RECALL: 0.0727127, MAP: 0.0356921, MRR: 0.0962776, NDCG: 0.0605045, F1: 0.0335597, HIT_RATE: 0.2181380, ARHR: 0.1015735, RMSE: 0.9809568, NOVELTY: 0.0061539, AVERAGE_POPULARITY: 0.2641404, DIVERSITY_MEAN_INTER_LIST: 0.9851887, DIVERSITY_HERFINDAHL: 0.9985128, COVERAGE_ITEM: 0.6706677, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1989455, SHANNON_ENTROPY: 11.0062394, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'ICM_price': 0.0, 'ICM_asset': 2.0, 'ICM_sub_class': 2.0, 'ICM_item_pop': 0.0} - results: ROC_AUC: 0.1335464, PRECISION: 0.0218014, PRECISION_RECALL_MIN_DEN: 0.0726715, RECALL: 0.0726715, MAP: 0.0357207, MRR: 0.0963419, NDCG: 0.0605163, F1: 0.0335407, HIT_RATE: 0.2180145, ARHR: 0.1016463, RMSE: 0.9809816, NOVELTY: 0.0060881, AVERAGE_POPULARITY: 0.2645231, DIVERSITY_MEAN_INTER_LIST: 0.9849110, DIVERSITY_HERFINDAHL: 0.9984850, COVERAGE_ITEM: 0.6666126, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1993143, SHANNON_ENTROPY: 10.9876771, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'ICM_price': 2.0, 'ICM_asset': 2.0, 'ICM_sub_class': 2.0, 'ICM_item_pop': 2.0} - results: ROC_AUC: 0.1336158, PRECISION: 0.0216285, PRECISION_RECALL_MIN_DEN: 0.0720949, RECALL: 0.0720949, MAP: 0.0356682, MRR: 0.0965061, NDCG: 0.0603367, F1: 0.0332746, HIT_RATE: 0.2162847, ARHR: 0.1016472, RMSE: 0.9812041, NOVELTY: 0.0061380, AVERAGE_POPULARITY: 0.2567046, DIVERSITY_MEAN_INTER_LIST: 0.9842174, DIVERSITY_HERFINDAHL: 0.9984157, COVERAGE_ITEM: 0.7015410, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1977322, SHANNON_ENTROPY: 11.0029543, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'ICM_price': 0.027634366473383583, 'ICM_asset': 0.06456956753617506, 'ICM_sub_class': 1.9128180850103382, 'ICM_item_pop': 0.09143198847288649} - results: ROC_AUC: 0.1321715, PRECISION: 0.0215358, PRECISION_RECALL_MIN_DEN: 0.0717860, RECALL: 0.0717860, MAP: 0.0353795, MRR: 0.0953275, NDCG: 0.0598667, F1: 0.0331320, HIT_RATE: 0.2153580, ARHR: 0.1006293, RMSE: 0.9813508, NOVELTY: 0.0060439, AVERAGE_POPULARITY: 0.2720182, DIVERSITY_MEAN_INTER_LIST: 0.9854295, DIVERSITY_HERFINDAHL: 0.9985369, COVERAGE_ITEM: 0.6381184, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2009279, SHANNON_ENTROPY: 10.9878976, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'ICM_price': 0.10982137127472494, 'ICM_asset': 0.007859786412143245, 'ICM_sub_class': 0.06206588643999057, 'ICM_item_pop': 1.9985872824168136} - results: ROC_AUC: 0.1292750, PRECISION: 0.0208810, PRECISION_RECALL_MIN_DEN: 0.0696032, RECALL: 0.0696032, MAP: 0.0344164, MRR: 0.0932801, NDCG: 0.0582603, F1: 0.0321245, HIT_RATE: 0.2088095, ARHR: 0.0981549, RMSE: 0.9832823, NOVELTY: 0.0061037, AVERAGE_POPULARITY: 0.3076010, DIVERSITY_MEAN_INTER_LIST: 0.9828364, DIVERSITY_HERFINDAHL: 0.9982776, COVERAGE_ITEM: 0.4680725, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1697053, SHANNON_ENTROPY: 10.5065202, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'ICM_price': 1.981023493476235, 'ICM_asset': 0.10453155632777558, 'ICM_sub_class': 1.8852987775176793, 'ICM_item_pop': 0.015273036120595721} - results: ROC_AUC: 0.1327938, PRECISION: 0.0217211, PRECISION_RECALL_MIN_DEN: 0.0724038, RECALL: 0.0724038, MAP: 0.0355373, MRR: 0.0958212, NDCG: 0.0602313, F1: 0.0334171, HIT_RATE: 0.2172113, ARHR: 0.1011104, RMSE: 0.9812075, NOVELTY: 0.0060718, AVERAGE_POPULARITY: 0.2694547, DIVERSITY_MEAN_INTER_LIST: 0.9843430, DIVERSITY_HERFINDAHL: 0.9984282, COVERAGE_ITEM: 0.6588808, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1889181, SHANNON_ENTROPY: 10.8963621, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'ICM_price': 0.20904878901835305, 'ICM_asset': 1.954613145628896, 'ICM_sub_class': 1.863119586300165, 'ICM_item_pop': 0.01634107801856} - results: ROC_AUC: 0.1339240, PRECISION: 0.0218262, PRECISION_RECALL_MIN_DEN: 0.0727539, RECALL: 0.0727539, MAP: 0.0357260, MRR: 0.0963240, NDCG: 0.0605471, F1: 0.0335787, HIT_RATE: 0.2182616, ARHR: 0.1016415, RMSE: 0.9810271, NOVELTY: 0.0060873, AVERAGE_POPULARITY: 0.2691350, DIVERSITY_MEAN_INTER_LIST: 0.9845514, DIVERSITY_HERFINDAHL: 0.9984491, COVERAGE_ITEM: 0.6558529, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1909972, SHANNON_ENTROPY: 10.9148483, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'ICM_price': 0.023286618693539877, 'ICM_asset': 1.899730276978406, 'ICM_sub_class': 1.8947633828717165, 'ICM_item_pop': 1.9095264852815828} - results: ROC_AUC: 0.1341883, PRECISION: 0.0218138, PRECISION_RECALL_MIN_DEN: 0.0727127, RECALL: 0.0727127, MAP: 0.0357616, MRR: 0.0964586, NDCG: 0.0605841, F1: 0.0335597, HIT_RATE: 0.2181380, ARHR: 0.1017645, RMSE: 0.9809780, NOVELTY: 0.0061494, AVERAGE_POPULARITY: 0.2669938, DIVERSITY_MEAN_INTER_LIST: 0.9848898, DIVERSITY_HERFINDAHL: 0.9984829, COVERAGE_ITEM: 0.6589889, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1935564, SHANNON_ENTROPY: 10.9511045, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'ICM_price': 1.9226016432377964, 'ICM_asset': 1.9863983594209518, 'ICM_sub_class': 1.9587488599654868, 'ICM_item_pop': 1.9591019657984001} - results: ROC_AUC: 0.1337472, PRECISION: 0.0216161, PRECISION_RECALL_MIN_DEN: 0.0720537, RECALL: 0.0720537, MAP: 0.0356552, MRR: 0.0964111, NDCG: 0.0603060, F1: 0.0332556, HIT_RATE: 0.2161611, ARHR: 0.1015802, RMSE: 0.9811958, NOVELTY: 0.0061338, AVERAGE_POPULARITY: 0.2588546, DIVERSITY_MEAN_INTER_LIST: 0.9842196, DIVERSITY_HERFINDAHL: 0.9984159, COVERAGE_ITEM: 0.6942958, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1953609, SHANNON_ENTROPY: 10.9792169, 
SearchBayesianSkopt: Config 30 is suboptimal. Config: {'ICM_price': 0.20074959570748768, 'ICM_asset': 1.9425845504770924, 'ICM_sub_class': 0.00015255466748276272, 'ICM_item_pop': 1.9419750817676913} - results: ROC_AUC: 0.1299467, PRECISION: 0.0210107, PRECISION_RECALL_MIN_DEN: 0.0700356, RECALL: 0.0700356, MAP: 0.0346247, MRR: 0.0938827, NDCG: 0.0586223, F1: 0.0323241, HIT_RATE: 0.2101069, ARHR: 0.0987703, RMSE: 0.9831828, NOVELTY: 0.0060700, AVERAGE_POPULARITY: 0.3071406, DIVERSITY_MEAN_INTER_LIST: 0.9817489, DIVERSITY_HERFINDAHL: 0.9981688, COVERAGE_ITEM: 0.4337388, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1631813, SHANNON_ENTROPY: 10.3637571, 
