SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 37, 'shrink': 986, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2359484, PRECISION: 0.0032155, PRECISION_RECALL_MIN_DEN: 0.0107185, RECALL: 0.0107185, MAP: 0.0034610, MRR: 0.0100208, NDCG: 0.0071461, F1: 0.0049470, HIT_RATE: 0.0321554, ARHR: 0.0102019, RMSE: nan, NOVELTY: 0.0069340, AVERAGE_POPULARITY: 0.0604414, DIVERSITY_MEAN_INTER_LIST: 0.9980593, DIVERSITY_HERFINDAHL: 0.9996734, COVERAGE_ITEM: 0.7774432, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3609578, SHANNON_ENTROPY: 12.4110895, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2420627, PRECISION: 0.0042617, PRECISION_RECALL_MIN_DEN: 0.0142056, RECALL: 0.0142056, MAP: 0.0049977, MRR: 0.0143075, NDCG: 0.0098838, F1: 0.0065564, HIT_RATE: 0.0426168, ARHR: 0.0146462, RMSE: nan, NOVELTY: 0.0068654, AVERAGE_POPULARITY: 0.0714641, DIVERSITY_MEAN_INTER_LIST: 0.9979342, DIVERSITY_HERFINDAHL: 0.9996529, COVERAGE_ITEM: 0.8453230, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3483746, SHANNON_ENTROPY: 12.4361751, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 985, 'shrink': 992, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2420063, PRECISION: 0.0042810, PRECISION_RECALL_MIN_DEN: 0.0142699, RECALL: 0.0142699, MAP: 0.0050374, MRR: 0.0143763, NDCG: 0.0099389, F1: 0.0065861, HIT_RATE: 0.0428096, ARHR: 0.0147442, RMSE: nan, NOVELTY: 0.0068600, AVERAGE_POPULARITY: 0.0713827, DIVERSITY_MEAN_INTER_LIST: 0.9979304, DIVERSITY_HERFINDAHL: 0.9996522, COVERAGE_ITEM: 0.8444721, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3485428, SHANNON_ENTROPY: 12.4348796, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 986, 'shrink': 25, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2402932, PRECISION: 0.0039965, PRECISION_RECALL_MIN_DEN: 0.0133218, RECALL: 0.0133218, MAP: 0.0046539, MRR: 0.0132446, NDCG: 0.0092175, F1: 0.0061485, HIT_RATE: 0.0399653, ARHR: 0.0136031, RMSE: nan, NOVELTY: 0.0068709, AVERAGE_POPULARITY: 0.0691687, DIVERSITY_MEAN_INTER_LIST: 0.9981158, DIVERSITY_HERFINDAHL: 0.9996827, COVERAGE_ITEM: 0.8511488, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3578525, SHANNON_ENTROPY: 12.5048235, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 25, 'shrink': 22, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2369695, PRECISION: 0.0034518, PRECISION_RECALL_MIN_DEN: 0.0115059, RECALL: 0.0115059, MAP: 0.0037439, MRR: 0.0106363, NDCG: 0.0076682, F1: 0.0053104, HIT_RATE: 0.0345177, ARHR: 0.0109340, RMSE: nan, NOVELTY: 0.0069391, AVERAGE_POPULARITY: 0.0607851, DIVERSITY_MEAN_INTER_LIST: 0.9979642, DIVERSITY_HERFINDAHL: 0.9996578, COVERAGE_ITEM: 0.7873928, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3621445, SHANNON_ENTROPY: 12.4177485, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2409230, PRECISION: 0.0038085, PRECISION_RECALL_MIN_DEN: 0.0126950, RECALL: 0.0126950, MAP: 0.0048767, MRR: 0.0141003, NDCG: 0.0093017, F1: 0.0058593, HIT_RATE: 0.0380851, ARHR: 0.0143652, RMSE: nan, NOVELTY: 0.0069260, AVERAGE_POPULARITY: 0.0723231, DIVERSITY_MEAN_INTER_LIST: 0.9915237, DIVERSITY_HERFINDAHL: 0.9986002, COVERAGE_ITEM: 0.7364666, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2726624, SHANNON_ENTROPY: 11.5216207, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 991, 'shrink': 981, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.2332085, PRECISION: 0.0027335, PRECISION_RECALL_MIN_DEN: 0.0091115, RECALL: 0.0091115, MAP: 0.0029421, MRR: 0.0084359, NDCG: 0.0060554, F1: 0.0042053, HIT_RATE: 0.0273345, ARHR: 0.0086310, RMSE: nan, NOVELTY: 0.0069346, AVERAGE_POPULARITY: 0.0593914, DIVERSITY_MEAN_INTER_LIST: 0.9981368, DIVERSITY_HERFINDAHL: 0.9996861, COVERAGE_ITEM: 0.7587223, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3505686, SHANNON_ENTROPY: 12.3596194, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 995, 'shrink': 8, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2419742, PRECISION: 0.0042906, PRECISION_RECALL_MIN_DEN: 0.0143020, RECALL: 0.0143020, MAP: 0.0050494, MRR: 0.0144123, NDCG: 0.0099603, F1: 0.0066009, HIT_RATE: 0.0429060, ARHR: 0.0147802, RMSE: nan, NOVELTY: 0.0068605, AVERAGE_POPULARITY: 0.0713077, DIVERSITY_MEAN_INTER_LIST: 0.9979302, DIVERSITY_HERFINDAHL: 0.9996522, COVERAGE_ITEM: 0.8452576, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3483799, SHANNON_ENTROPY: 12.4353461, 
SearchBayesianSkopt: Config 30 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2409230, PRECISION: 0.0038085, PRECISION_RECALL_MIN_DEN: 0.0126950, RECALL: 0.0126950, MAP: 0.0048767, MRR: 0.0141003, NDCG: 0.0093017, F1: 0.0058593, HIT_RATE: 0.0380851, ARHR: 0.0143652, RMSE: nan, NOVELTY: 0.0069260, AVERAGE_POPULARITY: 0.0723231, DIVERSITY_MEAN_INTER_LIST: 0.9915237, DIVERSITY_HERFINDAHL: 0.9986002, COVERAGE_ITEM: 0.7364666, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2726624, SHANNON_ENTROPY: 11.5216207, 
SearchBayesianSkopt: Config 31 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2403974, PRECISION: 0.0036591, PRECISION_RECALL_MIN_DEN: 0.0121969, RECALL: 0.0121969, MAP: 0.0048459, MRR: 0.0138594, NDCG: 0.0090905, F1: 0.0056293, HIT_RATE: 0.0365907, ARHR: 0.0141986, RMSE: nan, NOVELTY: 0.0069289, AVERAGE_POPULARITY: 0.0718622, DIVERSITY_MEAN_INTER_LIST: 0.9914196, DIVERSITY_HERFINDAHL: 0.9985831, COVERAGE_ITEM: 0.7345683, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2736576, SHANNON_ENTROPY: 11.5122239, 
SearchBayesianSkopt: Config 32 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2420627, PRECISION: 0.0042617, PRECISION_RECALL_MIN_DEN: 0.0142056, RECALL: 0.0142056, MAP: 0.0049977, MRR: 0.0143075, NDCG: 0.0098838, F1: 0.0065564, HIT_RATE: 0.0426168, ARHR: 0.0146462, RMSE: nan, NOVELTY: 0.0068654, AVERAGE_POPULARITY: 0.0714641, DIVERSITY_MEAN_INTER_LIST: 0.9979342, DIVERSITY_HERFINDAHL: 0.9996529, COVERAGE_ITEM: 0.8453230, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3483746, SHANNON_ENTROPY: 12.4361751, 
SearchBayesianSkopt: Config 33 is suboptimal. Config: {'topK': 29, 'shrink': 11, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2406588, PRECISION: 0.0040303, PRECISION_RECALL_MIN_DEN: 0.0134343, RECALL: 0.0134343, MAP: 0.0046158, MRR: 0.0132353, NDCG: 0.0092363, F1: 0.0062004, HIT_RATE: 0.0403028, ARHR: 0.0135413, RMSE: nan, NOVELTY: 0.0068724, AVERAGE_POPULARITY: 0.0702080, DIVERSITY_MEAN_INTER_LIST: 0.9978252, DIVERSITY_HERFINDAHL: 0.9996350, COVERAGE_ITEM: 0.8354389, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3447972, SHANNON_ENTROPY: 12.3935623, 
SearchBayesianSkopt: New best config found. Config 34: {'topK': 9, 'shrink': 968, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2433331, PRECISION: 0.0041219, PRECISION_RECALL_MIN_DEN: 0.0137396, RECALL: 0.0137396, MAP: 0.0053184, MRR: 0.0152389, NDCG: 0.0101081, F1: 0.0063413, HIT_RATE: 0.0412187, ARHR: 0.0155970, RMSE: nan, NOVELTY: 0.0068894, AVERAGE_POPULARITY: 0.0729275, DIVERSITY_MEAN_INTER_LIST: 0.9959374, DIVERSITY_HERFINDAHL: 0.9993250, COVERAGE_ITEM: 0.7723375, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3024200, SHANNON_ENTROPY: 11.9383414, 
SearchBayesianSkopt: Search complete. Best config is 34: {'topK': 9, 'shrink': 968, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'}
