SearchBayesianSkopt: New best config found. Config 21: {'topK': 2976, 'shrink': 78, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0960723, PRECISION: 0.0172733, PRECISION_RECALL_MIN_DEN: 0.0575777, RECALL: 0.0575777, MAP: 0.0238223, MRR: 0.0651561, NDCG: 0.0433930, F1: 0.0265743, HIT_RATE: 0.1727330, ARHR: 0.0682609, RMSE: 10.0795121, NOVELTY: 0.0055733, AVERAGE_POPULARITY: 0.4865539, DIVERSITY_MEAN_INTER_LIST: 0.9447577, DIVERSITY_HERFINDAHL: 0.9944712, COVERAGE_ITEM: 0.2061638, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1366294, SHANNON_ENTROPY: 8.9713354, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 2986, 'shrink': 15, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0958592, PRECISION: 0.0171528, PRECISION_RECALL_MIN_DEN: 0.0571759, RECALL: 0.0571759, MAP: 0.0237865, MRR: 0.0651039, NDCG: 0.0432399, F1: 0.0263889, HIT_RATE: 0.1715277, ARHR: 0.0681812, RMSE: 115.3200802, NOVELTY: 0.0055825, AVERAGE_POPULARITY: 0.4865826, DIVERSITY_MEAN_INTER_LIST: 0.9443167, DIVERSITY_HERFINDAHL: 0.9944271, COVERAGE_ITEM: 0.2230333, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1335379, SHANNON_ENTROPY: 9.0058004, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 2970, 'shrink': 1710, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0947695, PRECISION: 0.0170323, PRECISION_RECALL_MIN_DEN: 0.0567742, RECALL: 0.0567742, MAP: 0.0232386, MRR: 0.0637286, NDCG: 0.0425662, F1: 0.0262035, HIT_RATE: 0.1703225, ARHR: 0.0666818, RMSE: 0.8585879, NOVELTY: 0.0055908, AVERAGE_POPULARITY: 0.4734788, DIVERSITY_MEAN_INTER_LIST: 0.9484813, DIVERSITY_HERFINDAHL: 0.9948436, COVERAGE_ITEM: 0.1978373, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1405002, SHANNON_ENTROPY: 9.0157185, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 3000, 'shrink': 2000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0958034, PRECISION: 0.0172492, PRECISION_RECALL_MIN_DEN: 0.0574973, RECALL: 0.0574973, MAP: 0.0237669, MRR: 0.0650339, NDCG: 0.0433168, F1: 0.0265372, HIT_RATE: 0.1724919, ARHR: 0.0681208, RMSE: 0.8720121, NOVELTY: 0.0055809, AVERAGE_POPULARITY: 0.4868934, DIVERSITY_MEAN_INTER_LIST: 0.9442998, DIVERSITY_HERFINDAHL: 0.9944254, COVERAGE_ITEM: 0.2213571, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1337889, SHANNON_ENTROPY: 9.0006720, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 2990, 'shrink': 1940, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0929477, PRECISION: 0.0164923, PRECISION_RECALL_MIN_DEN: 0.0549744, RECALL: 0.0549744, MAP: 0.0227166, MRR: 0.0625738, NDCG: 0.0415033, F1: 0.0253728, HIT_RATE: 0.1649231, ARHR: 0.0653217, RMSE: 0.8681523, NOVELTY: 0.0052504, AVERAGE_POPULARITY: 0.6431052, DIVERSITY_MEAN_INTER_LIST: 0.8487362, DIVERSITY_HERFINDAHL: 0.9848695, COVERAGE_ITEM: 0.1268451, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0933854, SHANNON_ENTROPY: 7.5060339, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 2995, 'shrink': 43, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0946533, PRECISION: 0.0170660, PRECISION_RECALL_MIN_DEN: 0.0568867, RECALL: 0.0568867, MAP: 0.0232503, MRR: 0.0637054, NDCG: 0.0426018, F1: 0.0262554, HIT_RATE: 0.1706600, ARHR: 0.0666841, RMSE: 11.1455081, NOVELTY: 0.0055806, AVERAGE_POPULARITY: 0.4739790, DIVERSITY_MEAN_INTER_LIST: 0.9474917, DIVERSITY_HERFINDAHL: 0.9947446, COVERAGE_ITEM: 0.1782103, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1461987, SHANNON_ENTROPY: 8.9631753, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 2980, 'shrink': 1849, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0776743, PRECISION: 0.0138119, PRECISION_RECALL_MIN_DEN: 0.0460396, RECALL: 0.0460396, MAP: 0.0186410, MRR: 0.0521053, NDCG: 0.0344801, F1: 0.0212491, HIT_RATE: 0.1381189, ARHR: 0.0539923, RMSE: 0.9010727, NOVELTY: 0.0051879, AVERAGE_POPULARITY: 0.6617481, DIVERSITY_MEAN_INTER_LIST: 0.8494998, DIVERSITY_HERFINDAHL: 0.9849459, COVERAGE_ITEM: 0.0760205, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0839519, SHANNON_ENTROPY: 7.0274867, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 3000, 'shrink': 2000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0927628, PRECISION: 0.0164971, PRECISION_RECALL_MIN_DEN: 0.0549904, RECALL: 0.0549904, MAP: 0.0227398, MRR: 0.0626560, NDCG: 0.0415311, F1: 0.0253802, HIT_RATE: 0.1649713, ARHR: 0.0654000, RMSE: 0.8744717, NOVELTY: 0.0052488, AVERAGE_POPULARITY: 0.6437435, DIVERSITY_MEAN_INTER_LIST: 0.8483408, DIVERSITY_HERFINDAHL: 0.9848300, COVERAGE_ITEM: 0.1260341, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0931474, SHANNON_ENTROPY: 7.4978114, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 3000, 'shrink': 2000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0958034, PRECISION: 0.0172492, PRECISION_RECALL_MIN_DEN: 0.0574973, RECALL: 0.0574973, MAP: 0.0237669, MRR: 0.0650339, NDCG: 0.0433168, F1: 0.0265372, HIT_RATE: 0.1724919, ARHR: 0.0681208, RMSE: 0.8720121, NOVELTY: 0.0055809, AVERAGE_POPULARITY: 0.4868934, DIVERSITY_MEAN_INTER_LIST: 0.9442998, DIVERSITY_HERFINDAHL: 0.9944254, COVERAGE_ITEM: 0.2213571, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1337889, SHANNON_ENTROPY: 9.0006720, 
SearchBayesianSkopt: Config 30 is suboptimal. Config: {'topK': 3000, 'shrink': 2000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0958034, PRECISION: 0.0172492, PRECISION_RECALL_MIN_DEN: 0.0574973, RECALL: 0.0574973, MAP: 0.0237669, MRR: 0.0650339, NDCG: 0.0433168, F1: 0.0265372, HIT_RATE: 0.1724919, ARHR: 0.0681208, RMSE: 0.8720121, NOVELTY: 0.0055809, AVERAGE_POPULARITY: 0.4868934, DIVERSITY_MEAN_INTER_LIST: 0.9442998, DIVERSITY_HERFINDAHL: 0.9944254, COVERAGE_ITEM: 0.2213571, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1337889, SHANNON_ENTROPY: 9.0006720, 
