SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0828186, PRECISION: 0.0144934, PRECISION_RECALL_MIN_DEN: 0.0483113, RECALL: 0.0483113, MAP: 0.0201332, MRR: 0.0565747, NDCG: 0.0368128, F1: 0.0222975, HIT_RATE: 0.1449340, ARHR: 0.0584368, RMSE: 0.9471500, NOVELTY: 0.0066155, AVERAGE_POPULARITY: 0.0698619, DIVERSITY_MEAN_INTER_LIST: 0.9959709, DIVERSITY_HERFINDAHL: 0.9995748, COVERAGE_ITEM: 0.5322520, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4252959, SHANNON_ENTROPY: 12.2504746, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 982, 'shrink': 1471, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0881346, PRECISION: 0.0148513, PRECISION_RECALL_MIN_DEN: 0.0495042, RECALL: 0.0495042, MAP: 0.0213135, MRR: 0.0596188, NDCG: 0.0384767, F1: 0.0228481, HIT_RATE: 0.1485126, ARHR: 0.0617517, RMSE: 0.6313994, NOVELTY: 0.0061155, AVERAGE_POPULARITY: 0.2439124, DIVERSITY_MEAN_INTER_LIST: 0.9844472, DIVERSITY_HERFINDAHL: 0.9984227, COVERAGE_ITEM: 0.4573128, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3007648, SHANNON_ENTROPY: 11.1236493, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 28, 'shrink': 1420, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0803190, PRECISION: 0.0129949, PRECISION_RECALL_MIN_DEN: 0.0433162, RECALL: 0.0433162, MAP: 0.0196601, MRR: 0.0551340, NDCG: 0.0347587, F1: 0.0199921, HIT_RATE: 0.1299486, ARHR: 0.0570012, RMSE: 0.9859184, NOVELTY: 0.0059431, AVERAGE_POPULARITY: 0.0747409, DIVERSITY_MEAN_INTER_LIST: 0.9959555, DIVERSITY_HERFINDAHL: 0.9995733, COVERAGE_ITEM: 0.5929170, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4440691, SHANNON_ENTROPY: 12.4124869, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 15, 'shrink': 58, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0742861, PRECISION: 0.0125028, PRECISION_RECALL_MIN_DEN: 0.0416760, RECALL: 0.0416760, MAP: 0.0180171, MRR: 0.0510401, NDCG: 0.0325279, F1: 0.0192351, HIT_RATE: 0.1250280, ARHR: 0.0524804, RMSE: 0.9613817, NOVELTY: 0.0052950, AVERAGE_POPULARITY: 0.0971991, DIVERSITY_MEAN_INTER_LIST: 0.9953982, DIVERSITY_HERFINDAHL: 0.9995176, COVERAGE_ITEM: 0.5597729, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4693139, SHANNON_ENTROPY: 12.3970598, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 988, 'shrink': 1467, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0843214, PRECISION: 0.0142026, PRECISION_RECALL_MIN_DEN: 0.0473421, RECALL: 0.0473421, MAP: 0.0205239, MRR: 0.0574479, NDCG: 0.0369314, F1: 0.0218502, HIT_RATE: 0.1420264, ARHR: 0.0594694, RMSE: 0.5802856, NOVELTY: 0.0064943, AVERAGE_POPULARITY: 0.1772189, DIVERSITY_MEAN_INTER_LIST: 0.9911642, DIVERSITY_HERFINDAHL: 0.9990943, COVERAGE_ITEM: 0.4278454, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3290026, SHANNON_ENTROPY: 11.4528942, 
SearchBayesianSkopt: New best config found. Config 26: {'topK': 58, 'shrink': 1499, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1109556, PRECISION: 0.0180944, PRECISION_RECALL_MIN_DEN: 0.0603146, RECALL: 0.0603146, MAP: 0.0278257, MRR: 0.0772686, NDCG: 0.0487336, F1: 0.0278375, HIT_RATE: 0.1809439, ARHR: 0.0803058, RMSE: 0.8280968, NOVELTY: 0.0056856, AVERAGE_POPULARITY: 0.4179241, DIVERSITY_MEAN_INTER_LIST: 0.9624834, DIVERSITY_HERFINDAHL: 0.9962268, COVERAGE_ITEM: 0.1316031, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1910490, SHANNON_ENTROPY: 9.0647986, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 993, 'shrink': 1498, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0887250, PRECISION: 0.0148736, PRECISION_RECALL_MIN_DEN: 0.0495788, RECALL: 0.0495788, MAP: 0.0214089, MRR: 0.0605621, NDCG: 0.0387006, F1: 0.0228825, HIT_RATE: 0.1487363, ARHR: 0.0623720, RMSE: 1.2274074, NOVELTY: 0.0051880, AVERAGE_POPULARITY: 0.6618798, DIVERSITY_MEAN_INTER_LIST: 0.8201756, DIVERSITY_HERFINDAHL: 0.9819992, COVERAGE_ITEM: 0.0549338, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1117529, SHANNON_ENTROPY: 6.8820072, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 14, 'shrink': 22, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0790209, PRECISION: 0.0130620, PRECISION_RECALL_MIN_DEN: 0.0435398, RECALL: 0.0435398, MAP: 0.0191790, MRR: 0.0544588, NDCG: 0.0344070, F1: 0.0200953, HIT_RATE: 0.1306195, ARHR: 0.0559476, RMSE: 0.9793589, NOVELTY: 0.0053200, AVERAGE_POPULARITY: 0.1124795, DIVERSITY_MEAN_INTER_LIST: 0.9943385, DIVERSITY_HERFINDAHL: 0.9994116, COVERAGE_ITEM: 0.5478237, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4542761, SHANNON_ENTROPY: 12.2670542, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 985, 'shrink': 1490, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0893447, PRECISION: 0.0148289, PRECISION_RECALL_MIN_DEN: 0.0494297, RECALL: 0.0494297, MAP: 0.0215614, MRR: 0.0610570, NDCG: 0.0388311, F1: 0.0228137, HIT_RATE: 0.1482890, ARHR: 0.0628482, RMSE: 0.7618579, NOVELTY: 0.0051896, AVERAGE_POPULARITY: 0.6610336, DIVERSITY_MEAN_INTER_LIST: 0.8210736, DIVERSITY_HERFINDAHL: 0.9820890, COVERAGE_ITEM: 0.0554204, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1118135, SHANNON_ENTROPY: 6.8924968, 
SearchBayesianSkopt: Config 30 is suboptimal. Config: {'topK': 957, 'shrink': 18, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0130983, PRECISION: 0.0024827, PRECISION_RECALL_MIN_DEN: 0.0082756, RECALL: 0.0082756, MAP: 0.0026712, MRR: 0.0079390, NDCG: 0.0055551, F1: 0.0038195, HIT_RATE: 0.0248267, ARHR: 0.0079763, RMSE: 6.5511643, NOVELTY: 0.0067325, AVERAGE_POPULARITY: 0.1282241, DIVERSITY_MEAN_INTER_LIST: 0.9969360, DIVERSITY_HERFINDAHL: 0.9996713, COVERAGE_ITEM: 0.3281427, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4873494, SHANNON_ENTROPY: 11.9344313, 
SearchBayesianSkopt: Config 31 is suboptimal. Config: {'topK': 13, 'shrink': 1493, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0901799, PRECISION: 0.0151868, PRECISION_RECALL_MIN_DEN: 0.0506225, RECALL: 0.0506225, MAP: 0.0218394, MRR: 0.0617884, NDCG: 0.0394924, F1: 0.0233642, HIT_RATE: 0.1518676, ARHR: 0.0636532, RMSE: 2.8962332, NOVELTY: 0.0053323, AVERAGE_POPULARITY: 0.5626941, DIVERSITY_MEAN_INTER_LIST: 0.9225999, DIVERSITY_HERFINDAHL: 0.9922393, COVERAGE_ITEM: 0.0562314, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1723373, SHANNON_ENTROPY: 7.8052455, 
SearchBayesianSkopt: Config 32 is suboptimal. Config: {'topK': 10, 'shrink': 1496, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0819794, PRECISION: 0.0136211, PRECISION_RECALL_MIN_DEN: 0.0454037, RECALL: 0.0454037, MAP: 0.0200817, MRR: 0.0565240, NDCG: 0.0358827, F1: 0.0209556, HIT_RATE: 0.1362111, ARHR: 0.0583286, RMSE: 0.9894884, NOVELTY: 0.0062336, AVERAGE_POPULARITY: 0.0712305, DIVERSITY_MEAN_INTER_LIST: 0.9959132, DIVERSITY_HERFINDAHL: 0.9995690, COVERAGE_ITEM: 0.5625304, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4423521, SHANNON_ENTROPY: 12.3489626, 
