SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 2352, 'shrink': 1035, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0423511, PRECISION: 0.0080785, PRECISION_RECALL_MIN_DEN: 0.0307507, RECALL: 0.0307507, MAP: 0.0101561, MRR: 0.0255161, NDCG: 0.0197426, F1: 0.0127955, HIT_RATE: 0.0807851, ARHR: 0.0261468, RMSE: 0.9847576, NOVELTY: 0.0049634, AVERAGE_POPULARITY: 0.8118916, DIVERSITY_MEAN_INTER_LIST: 0.6639793, DIVERSITY_HERFINDAHL: 0.9663842, COVERAGE_ITEM: 0.0080022, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.2097657, SHANNON_ENTROPY: 5.3425742, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 519, 'shrink': 1584, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0304078, PRECISION: 0.0058264, PRECISION_RECALL_MIN_DEN: 0.0220730, RECALL: 0.0220730, MAP: 0.0074990, MRR: 0.0191068, NDCG: 0.0144249, F1: 0.0092193, HIT_RATE: 0.0582645, ARHR: 0.0194357, RMSE: 0.9902794, NOVELTY: 0.0055290, AVERAGE_POPULARITY: 0.5415521, DIVERSITY_MEAN_INTER_LIST: 0.9054013, DIVERSITY_HERFINDAHL: 0.9905214, COVERAGE_ITEM: 0.0513112, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.1888406, SHANNON_ENTROPY: 7.7248901, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 3024, 'shrink': 356, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0416035, PRECISION: 0.0079959, PRECISION_RECALL_MIN_DEN: 0.0305441, RECALL: 0.0305441, MAP: 0.0106749, MRR: 0.0265311, NDCG: 0.0201246, F1: 0.0126739, HIT_RATE: 0.0799587, ARHR: 0.0272177, RMSE: 0.8345269, NOVELTY: 0.0049783, AVERAGE_POPULARITY: 0.7962510, DIVERSITY_MEAN_INTER_LIST: 0.7040801, DIVERSITY_HERFINDAHL: 0.9703935, COVERAGE_ITEM: 0.0044877, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.3956557, SHANNON_ENTROPY: 5.4341919, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 1832, 'shrink': 963, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0417370, PRECISION: 0.0076033, PRECISION_RECALL_MIN_DEN: 0.0288567, RECALL: 0.0288567, MAP: 0.0103490, MRR: 0.0259334, NDCG: 0.0193727, F1: 0.0120355, HIT_RATE: 0.0760331, ARHR: 0.0265425, RMSE: 0.9560790, NOVELTY: 0.0049624, AVERAGE_POPULARITY: 0.8088837, DIVERSITY_MEAN_INTER_LIST: 0.6933418, DIVERSITY_HERFINDAHL: 0.9693199, COVERAGE_ITEM: 0.0048662, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.3479157, SHANNON_ENTROPY: 5.3612876, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 1858, 'shrink': 2255, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0413145, PRECISION: 0.0076653, PRECISION_RECALL_MIN_DEN: 0.0288223, RECALL: 0.0288223, MAP: 0.0106285, MRR: 0.0263931, NDCG: 0.0196129, F1: 0.0121099, HIT_RATE: 0.0766529, ARHR: 0.0270937, RMSE: 0.9805642, NOVELTY: 0.0049906, AVERAGE_POPULARITY: 0.7960301, DIVERSITY_MEAN_INTER_LIST: 0.7052812, DIVERSITY_HERFINDAHL: 0.9705135, COVERAGE_ITEM: 0.0123277, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.1582239, SHANNON_ENTROPY: 5.5545120, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 3586, 'shrink': 2153, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0436309, PRECISION: 0.0078719, PRECISION_RECALL_MIN_DEN: 0.0298554, RECALL: 0.0298554, MAP: 0.0110457, MRR: 0.0278798, NDCG: 0.0204156, F1: 0.0124588, HIT_RATE: 0.0787190, ARHR: 0.0285646, RMSE: 0.9518779, NOVELTY: 0.0049824, AVERAGE_POPULARITY: 0.7972879, DIVERSITY_MEAN_INTER_LIST: 0.6832756, DIVERSITY_HERFINDAHL: 0.9683134, COVERAGE_ITEM: 0.0085969, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.2086103, SHANNON_ENTROPY: 5.4377115, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 1328, 'shrink': 535, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0410774, PRECISION: 0.0075826, PRECISION_RECALL_MIN_DEN: 0.0287879, RECALL: 0.0287879, MAP: 0.0107621, MRR: 0.0267364, NDCG: 0.0197008, F1: 0.0120036, HIT_RATE: 0.0758264, ARHR: 0.0275142, RMSE: 0.8333437, NOVELTY: 0.0051060, AVERAGE_POPULARITY: 0.7059432, DIVERSITY_MEAN_INTER_LIST: 0.8096690, DIVERSITY_HERFINDAHL: 0.9809502, COVERAGE_ITEM: 0.0105975, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.2977019, SHANNON_ENTROPY: 6.2700539, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 2508, 'shrink': 1941, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0412549, PRECISION: 0.0078306, PRECISION_RECALL_MIN_DEN: 0.0296488, RECALL: 0.0296488, MAP: 0.0102753, MRR: 0.0255898, NDCG: 0.0195110, F1: 0.0123891, HIT_RATE: 0.0783058, ARHR: 0.0262469, RMSE: 0.9690921, NOVELTY: 0.0049396, AVERAGE_POPULARITY: 0.8297472, DIVERSITY_MEAN_INTER_LIST: 0.6342419, DIVERSITY_HERFINDAHL: 0.9634111, COVERAGE_ITEM: 0.0027034, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.5142894, SHANNON_ENTROPY: 5.0413404, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 1125, 'shrink': 1332, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0366838, PRECISION: 0.0071694, PRECISION_RECALL_MIN_DEN: 0.0270661, RECALL: 0.0270661, MAP: 0.0094330, MRR: 0.0233470, NDCG: 0.0178049, F1: 0.0113361, HIT_RATE: 0.0716942, ARHR: 0.0240276, RMSE: 0.8995456, NOVELTY: 0.0050769, AVERAGE_POPULARITY: 0.7224604, DIVERSITY_MEAN_INTER_LIST: 0.8146399, DIVERSITY_HERFINDAHL: 0.9814472, COVERAGE_ITEM: 0.0092457, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.3195769, SHANNON_ENTROPY: 6.1889271, 
SearchBayesianSkopt: Config 30 is suboptimal. Config: {'topK': 1158, 'shrink': 941, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0369630, PRECISION: 0.0072107, PRECISION_RECALL_MIN_DEN: 0.0273072, RECALL: 0.0273072, MAP: 0.0090256, MRR: 0.0222302, NDCG: 0.0174494, F1: 0.0114089, HIT_RATE: 0.0721074, ARHR: 0.0229509, RMSE: 0.9645318, NOVELTY: 0.0051463, AVERAGE_POPULARITY: 0.6941065, DIVERSITY_MEAN_INTER_LIST: 0.8043014, DIVERSITY_HERFINDAHL: 0.9804135, COVERAGE_ITEM: 0.0240065, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.1541928, SHANNON_ENTROPY: 6.4133355, 
