SearchBayesianSkopt: New best config found. Config 21: {'topK': 111, 'shrink': 1495, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1267779, PRECISION: 0.0202817, PRECISION_RECALL_MIN_DEN: 0.0676057, RECALL: 0.0676057, MAP: 0.0337895, MRR: 0.0919471, NDCG: 0.0570258, F1: 0.0312026, HIT_RATE: 0.2028171, ARHR: 0.0965561, RMSE: 0.8667351, NOVELTY: 0.0059949, AVERAGE_POPULARITY: 0.3107364, DIVERSITY_MEAN_INTER_LIST: 0.9817462, DIVERSITY_HERFINDAHL: 0.9981686, COVERAGE_ITEM: 0.7261963, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1911696, SHANNON_ENTROPY: 10.9190993, 
SearchBayesianSkopt: New best config found. Config 22: {'topK': 5, 'shrink': 1500, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1317627, PRECISION: 0.0210169, PRECISION_RECALL_MIN_DEN: 0.0700562, RECALL: 0.0700562, MAP: 0.0349175, MRR: 0.0945068, NDCG: 0.0589249, F1: 0.0323336, HIT_RATE: 0.2101687, ARHR: 0.0995012, RMSE: 0.9523531, NOVELTY: 0.0063867, AVERAGE_POPULARITY: 0.1807115, DIVERSITY_MEAN_INTER_LIST: 0.9918203, DIVERSITY_HERFINDAHL: 0.9991759, COVERAGE_ITEM: 0.7467424, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2511426, SHANNON_ENTROPY: 11.7372519, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 1000, 'shrink': 1446, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.1151161, PRECISION: 0.0184284, PRECISION_RECALL_MIN_DEN: 0.0614279, RECALL: 0.0614279, MAP: 0.0306541, MRR: 0.0836361, NDCG: 0.0517997, F1: 0.0283513, HIT_RATE: 0.1842837, ARHR: 0.0877229, RMSE: 0.9005477, NOVELTY: 0.0055375, AVERAGE_POPULARITY: 0.5106576, DIVERSITY_MEAN_INTER_LIST: 0.9180525, DIVERSITY_HERFINDAHL: 0.9917996, COVERAGE_ITEM: 0.5006218, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1121863, SHANNON_ENTROPY: 8.9626886, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1317627, PRECISION: 0.0210169, PRECISION_RECALL_MIN_DEN: 0.0700562, RECALL: 0.0700562, MAP: 0.0349175, MRR: 0.0945068, NDCG: 0.0589249, F1: 0.0323336, HIT_RATE: 0.2101687, ARHR: 0.0995012, RMSE: 0.9523531, NOVELTY: 0.0063867, AVERAGE_POPULARITY: 0.1807115, DIVERSITY_MEAN_INTER_LIST: 0.9918203, DIVERSITY_HERFINDAHL: 0.9991759, COVERAGE_ITEM: 0.7467424, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2511426, SHANNON_ENTROPY: 11.7372519, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 981, 'shrink': 1, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0580203, PRECISION: 0.0093161, PRECISION_RECALL_MIN_DEN: 0.0310537, RECALL: 0.0310537, MAP: 0.0152263, MRR: 0.0417970, NDCG: 0.0259449, F1: 0.0143325, HIT_RATE: 0.0931612, ARHR: 0.0436937, RMSE: 0.8962878, NOVELTY: 0.0036383, AVERAGE_POPULARITY: 0.1077787, DIVERSITY_MEAN_INTER_LIST: 0.9946521, DIVERSITY_HERFINDAHL: 0.9994591, COVERAGE_ITEM: 0.8088673, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3876588, SHANNON_ENTROPY: 12.6674353, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 23, 'shrink': 1500, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0870035, PRECISION: 0.0139309, PRECISION_RECALL_MIN_DEN: 0.0464364, RECALL: 0.0464364, MAP: 0.0224980, MRR: 0.0620532, NDCG: 0.0385780, F1: 0.0214322, HIT_RATE: 0.1393093, ARHR: 0.0647123, RMSE: 0.9929191, NOVELTY: 0.0060158, AVERAGE_POPULARITY: 0.0660268, DIVERSITY_MEAN_INTER_LIST: 0.9963941, DIVERSITY_HERFINDAHL: 0.9996333, COVERAGE_ITEM: 0.9127872, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4614403, SHANNON_ENTROPY: 13.0855453, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 162, 'shrink': 1499, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0985153, PRECISION: 0.0159078, PRECISION_RECALL_MIN_DEN: 0.0530261, RECALL: 0.0530261, MAP: 0.0255998, MRR: 0.0708945, NDCG: 0.0439898, F1: 0.0244736, HIT_RATE: 0.1590783, ARHR: 0.0737987, RMSE: 0.9857263, NOVELTY: 0.0053085, AVERAGE_POPULARITY: 0.6307474, DIVERSITY_MEAN_INTER_LIST: 0.8535070, DIVERSITY_HERFINDAHL: 0.9853454, COVERAGE_ITEM: 0.3319275, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0766940, SHANNON_ENTROPY: 7.7291855, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.1067727, PRECISION: 0.0169395, PRECISION_RECALL_MIN_DEN: 0.0564651, RECALL: 0.0564651, MAP: 0.0281430, MRR: 0.0771927, NDCG: 0.0476677, F1: 0.0260608, HIT_RATE: 0.1693952, ARHR: 0.0807488, RMSE: 0.9970187, NOVELTY: 0.0058580, AVERAGE_POPULARITY: 0.3455491, DIVERSITY_MEAN_INTER_LIST: 0.9754029, DIVERSITY_HERFINDAHL: 0.9975343, COVERAGE_ITEM: 0.4536902, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1450576, SHANNON_ENTROPY: 10.0623060, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 18, 'shrink': 1492, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.1315669, PRECISION: 0.0210292, PRECISION_RECALL_MIN_DEN: 0.0700974, RECALL: 0.0700974, MAP: 0.0346184, MRR: 0.0939161, NDCG: 0.0586616, F1: 0.0323526, HIT_RATE: 0.2102922, ARHR: 0.0987652, RMSE: 0.9355827, NOVELTY: 0.0062123, AVERAGE_POPULARITY: 0.2162237, DIVERSITY_MEAN_INTER_LIST: 0.9910265, DIVERSITY_HERFINDAHL: 0.9990965, COVERAGE_ITEM: 0.7734523, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2390488, SHANNON_ENTROPY: 11.6384998, 
SearchBayesianSkopt: Config 30 is suboptimal. Config: {'topK': 122, 'shrink': 5, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0993813, PRECISION: 0.0159016, PRECISION_RECALL_MIN_DEN: 0.0530055, RECALL: 0.0530055, MAP: 0.0258680, MRR: 0.0716199, NDCG: 0.0442688, F1: 0.0244641, HIT_RATE: 0.1590165, ARHR: 0.0745502, RMSE: 17.0003137, NOVELTY: 0.0054139, AVERAGE_POPULARITY: 0.5922963, DIVERSITY_MEAN_INTER_LIST: 0.8774952, DIVERSITY_HERFINDAHL: 0.9877441, COVERAGE_ITEM: 0.4293052, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0898091, SHANNON_ENTROPY: 8.1731085, 
