SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0732948, PRECISION: 0.0118980, PRECISION_RECALL_MIN_DEN: 0.0396600, RECALL: 0.0396600, MAP: 0.0187320, MRR: 0.0523550, NDCG: 0.0325450, F1: 0.0183046, HIT_RATE: 0.1189799, ARHR: 0.0542559, RMSE: 4.1988007, NOVELTY: 0.0072453, AVERAGE_POPULARITY: 0.5255584, DIVERSITY_MEAN_INTER_LIST: 0.8478602, DIVERSITY_HERFINDAHL: 0.9847819, COVERAGE_ITEM: 0.1920534, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0475795, SHANNON_ENTROPY: 6.9124375, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 999, 'shrink': 36, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0292668, PRECISION: 0.0043726, PRECISION_RECALL_MIN_DEN: 0.0145752, RECALL: 0.0145752, MAP: 0.0075248, MRR: 0.0210405, NDCG: 0.0126610, F1: 0.0067270, HIT_RATE: 0.0437256, ARHR: 0.0217946, RMSE: 0.8303109, NOVELTY: 0.0097939, AVERAGE_POPULARITY: 0.0286280, DIVERSITY_MEAN_INTER_LIST: 0.9506020, DIVERSITY_HERFINDAHL: 0.9950556, COVERAGE_ITEM: 0.8549453, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4587498, SHANNON_ENTROPY: 11.8300969, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 998, 'shrink': 3, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0726171, PRECISION: 0.0118594, PRECISION_RECALL_MIN_DEN: 0.0395314, RECALL: 0.0395314, MAP: 0.0184980, MRR: 0.0517286, NDCG: 0.0322638, F1: 0.0182453, HIT_RATE: 0.1185942, ARHR: 0.0535883, RMSE: 0.9359455, NOVELTY: 0.0072174, AVERAGE_POPULARITY: 0.5361870, DIVERSITY_MEAN_INTER_LIST: 0.8393378, DIVERSITY_HERFINDAHL: 0.9839297, COVERAGE_ITEM: 0.1490476, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0495999, SHANNON_ENTROPY: 6.7804426, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 992, 'shrink': 953, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0716095, PRECISION: 0.0116232, PRECISION_RECALL_MIN_DEN: 0.0387440, RECALL: 0.0387440, MAP: 0.0184200, MRR: 0.0513515, NDCG: 0.0319041, F1: 0.0178818, HIT_RATE: 0.1162320, ARHR: 0.0532857, RMSE: 3.5286675, NOVELTY: 0.0072546, AVERAGE_POPULARITY: 0.5200078, DIVERSITY_MEAN_INTER_LIST: 0.8519596, DIVERSITY_HERFINDAHL: 0.9851918, COVERAGE_ITEM: 0.1802055, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0519723, SHANNON_ENTROPY: 6.9916914, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 998, 'shrink': 48, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0654357, PRECISION: 0.0105337, PRECISION_RECALL_MIN_DEN: 0.0351122, RECALL: 0.0351122, MAP: 0.0169679, MRR: 0.0475780, NDCG: 0.0292340, F1: 0.0162057, HIT_RATE: 0.1053367, ARHR: 0.0492170, RMSE: 0.9834910, NOVELTY: 0.0073681, AVERAGE_POPULARITY: 0.4767723, DIVERSITY_MEAN_INTER_LIST: 0.8776450, DIVERSITY_HERFINDAHL: 0.9877603, COVERAGE_ITEM: 0.2735485, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0621605, SHANNON_ENTROPY: 7.5236173, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 994, 'shrink': 49, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0716054, PRECISION: 0.0116184, PRECISION_RECALL_MIN_DEN: 0.0387279, RECALL: 0.0387279, MAP: 0.0184038, MRR: 0.0513128, NDCG: 0.0318827, F1: 0.0178744, HIT_RATE: 0.1161838, ARHR: 0.0532418, RMSE: 69.8472438, NOVELTY: 0.0072543, AVERAGE_POPULARITY: 0.5201574, DIVERSITY_MEAN_INTER_LIST: 0.8518139, DIVERSITY_HERFINDAHL: 0.9851773, COVERAGE_ITEM: 0.1800746, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0519574, SHANNON_ENTROPY: 6.9900536, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 991, 'shrink': 1, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0732932, PRECISION: 0.0118787, PRECISION_RECALL_MIN_DEN: 0.0395957, RECALL: 0.0395957, MAP: 0.0187118, MRR: 0.0522826, NDCG: 0.0325038, F1: 0.0182749, HIT_RATE: 0.1187871, ARHR: 0.0541900, RMSE: 4.1721582, NOVELTY: 0.0072463, AVERAGE_POPULARITY: 0.5250470, DIVERSITY_MEAN_INTER_LIST: 0.8484076, DIVERSITY_HERFINDAHL: 0.9848367, COVERAGE_ITEM: 0.1927080, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0476324, SHANNON_ENTROPY: 6.9184031, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 986, 'shrink': 991, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0716737, PRECISION: 0.0116039, PRECISION_RECALL_MIN_DEN: 0.0386797, RECALL: 0.0386797, MAP: 0.0184160, MRR: 0.0513696, NDCG: 0.0318861, F1: 0.0178522, HIT_RATE: 0.1160391, ARHR: 0.0532887, RMSE: 3.3861341, NOVELTY: 0.0072555, AVERAGE_POPULARITY: 0.5195311, DIVERSITY_MEAN_INTER_LIST: 0.8524025, DIVERSITY_HERFINDAHL: 0.9852361, COVERAGE_ITEM: 0.1808601, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0519863, SHANNON_ENTROPY: 6.9967979, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 7, 'shrink': 982, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0051483, PRECISION: 0.0009449, PRECISION_RECALL_MIN_DEN: 0.0031497, RECALL: 0.0031497, MAP: 0.0011111, MRR: 0.0032809, NDCG: 0.0022140, F1: 0.0014537, HIT_RATE: 0.0094490, ARHR: 0.0033072, RMSE: 0.9949727, NOVELTY: 0.0100010, AVERAGE_POPULARITY: 0.0359941, DIVERSITY_MEAN_INTER_LIST: 0.9156268, DIVERSITY_HERFINDAHL: 0.9915583, COVERAGE_ITEM: 0.9318583, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5047306, SHANNON_ENTROPY: 11.4444589, 
SearchBayesianSkopt: Config 30 is suboptimal. Config: {'topK': 993, 'shrink': 996, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0655173, PRECISION: 0.0105240, PRECISION_RECALL_MIN_DEN: 0.0350801, RECALL: 0.0350801, MAP: 0.0169373, MRR: 0.0475592, NDCG: 0.0292058, F1: 0.0161908, HIT_RATE: 0.1052403, ARHR: 0.0491606, RMSE: 0.9885662, NOVELTY: 0.0073690, AVERAGE_POPULARITY: 0.4765792, DIVERSITY_MEAN_INTER_LIST: 0.8777548, DIVERSITY_HERFINDAHL: 0.9877713, COVERAGE_ITEM: 0.2745958, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0621909, SHANNON_ENTROPY: 7.5252616, 
SearchBayesianSkopt: New best config found. Config 31: {'topK': 995, 'shrink': 9, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0734133, PRECISION: 0.0119317, PRECISION_RECALL_MIN_DEN: 0.0397725, RECALL: 0.0397725, MAP: 0.0187524, MRR: 0.0523820, NDCG: 0.0325978, F1: 0.0183565, HIT_RATE: 0.1193174, ARHR: 0.0543000, RMSE: 4.1245401, NOVELTY: 0.0072445, AVERAGE_POPULARITY: 0.5258271, DIVERSITY_MEAN_INTER_LIST: 0.8477680, DIVERSITY_HERFINDAHL: 0.9847727, COVERAGE_ITEM: 0.1903515, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0476459, SHANNON_ENTROPY: 6.9087298, 
SearchBayesianSkopt: Config 32 is suboptimal. Config: {'topK': 998, 'shrink': 978, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0271181, PRECISION: 0.0039724, PRECISION_RECALL_MIN_DEN: 0.0132414, RECALL: 0.0132414, MAP: 0.0070342, MRR: 0.0199656, NDCG: 0.0117592, F1: 0.0061114, HIT_RATE: 0.0397242, ARHR: 0.0205265, RMSE: 0.8925119, NOVELTY: 0.0099954, AVERAGE_POPULARITY: 0.0219729, DIVERSITY_MEAN_INTER_LIST: 0.9506380, DIVERSITY_HERFINDAHL: 0.9950592, COVERAGE_ITEM: 0.9012241, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4954853, SHANNON_ENTROPY: 11.9539418, 
SearchBayesianSkopt: Config 33 is suboptimal. Config: {'topK': 8, 'shrink': 959, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0156666, PRECISION: 0.0026033, PRECISION_RECALL_MIN_DEN: 0.0086776, RECALL: 0.0086776, MAP: 0.0034492, MRR: 0.0101566, NDCG: 0.0065298, F1: 0.0040051, HIT_RATE: 0.0260329, ARHR: 0.0102521, RMSE: 0.9820398, NOVELTY: 0.0087470, AVERAGE_POPULARITY: 0.1431004, DIVERSITY_MEAN_INTER_LIST: 0.9266374, DIVERSITY_HERFINDAHL: 0.9926593, COVERAGE_ITEM: 0.6925443, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2363181, SHANNON_ENTROPY: 10.5171301, 
SearchBayesianSkopt: Config 34 is suboptimal. Config: {'topK': 644, 'shrink': 12, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0720551, PRECISION: 0.0117823, PRECISION_RECALL_MIN_DEN: 0.0392743, RECALL: 0.0392743, MAP: 0.0186732, MRR: 0.0520416, NDCG: 0.0323289, F1: 0.0181266, HIT_RATE: 0.1178229, ARHR: 0.0540184, RMSE: 213.6126198, NOVELTY: 0.0073259, AVERAGE_POPULARITY: 0.4846668, DIVERSITY_MEAN_INTER_LIST: 0.8780682, DIVERSITY_HERFINDAHL: 0.9878026, COVERAGE_ITEM: 0.2050795, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0594645, SHANNON_ENTROPY: 7.3709340, 
SearchBayesianSkopt: Search complete. Best config is 31: {'topK': 995, 'shrink': 9, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'}
