SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 10, 'shrink': 1968, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0881790, PRECISION: 0.0147526, PRECISION_RECALL_MIN_DEN: 0.0491753, RECALL: 0.0491753, MAP: 0.0220996, MRR: 0.0606476, NDCG: 0.0389877, F1: 0.0226963, HIT_RATE: 0.1475258, ARHR: 0.0634191, RMSE: 0.9999036, NOVELTY: 0.0064388, AVERAGE_POPULARITY: 0.2343685, DIVERSITY_MEAN_INTER_LIST: 0.9910664, DIVERSITY_HERFINDAHL: 0.9991005, COVERAGE_ITEM: 0.7734523, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2974367, SHANNON_ENTROPY: 11.8939997, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 9, 'shrink': 1981, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0893733, PRECISION: 0.0148082, PRECISION_RECALL_MIN_DEN: 0.0493606, RECALL: 0.0493606, MAP: 0.0221637, MRR: 0.0608387, NDCG: 0.0391334, F1: 0.0227818, HIT_RATE: 0.1480818, ARHR: 0.0636115, RMSE: 0.9999098, NOVELTY: 0.0064742, AVERAGE_POPULARITY: 0.2205375, DIVERSITY_MEAN_INTER_LIST: 0.9921386, DIVERSITY_HERFINDAHL: 0.9992077, COVERAGE_ITEM: 0.7652879, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2999434, SHANNON_ENTROPY: 11.9544526, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 9, 'shrink': 1001, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0912421, PRECISION: 0.0152468, PRECISION_RECALL_MIN_DEN: 0.0508227, RECALL: 0.0508227, MAP: 0.0231446, MRR: 0.0633603, NDCG: 0.0405713, F1: 0.0234566, HIT_RATE: 0.1524680, ARHR: 0.0663386, RMSE: 0.9998187, NOVELTY: 0.0065254, AVERAGE_POPULARITY: 0.2182537, DIVERSITY_MEAN_INTER_LIST: 0.9919554, DIVERSITY_HERFINDAHL: 0.9991894, COVERAGE_ITEM: 0.7759935, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3259723, SHANNON_ENTROPY: 12.0425832, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 184, 'shrink': 1991, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0497865, PRECISION: 0.0082535, PRECISION_RECALL_MIN_DEN: 0.0275118, RECALL: 0.0275118, MAP: 0.0125971, MRR: 0.0351041, NDCG: 0.0221300, F1: 0.0126977, HIT_RATE: 0.0825354, ARHR: 0.0364155, RMSE: 0.9993319, NOVELTY: 0.0060716, AVERAGE_POPULARITY: 0.3091110, DIVERSITY_MEAN_INTER_LIST: 0.9855005, DIVERSITY_HERFINDAHL: 0.9985440, COVERAGE_ITEM: 0.5839416, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1924581, SHANNON_ENTROPY: 10.9020164, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 5, 'shrink': 2000, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'none'} - results: ROC_AUC: 0.1003055, PRECISION: 0.0164515, PRECISION_RECALL_MIN_DEN: 0.0548382, RECALL: 0.0548382, MAP: 0.0255125, MRR: 0.0698796, NDCG: 0.0443681, F1: 0.0253100, HIT_RATE: 0.1645147, ARHR: 0.0731431, RMSE: 0.9999329, NOVELTY: 0.0066247, AVERAGE_POPULARITY: 0.1943746, DIVERSITY_MEAN_INTER_LIST: 0.9897911, DIVERSITY_HERFINDAHL: 0.9989730, COVERAGE_ITEM: 0.7294404, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3097900, SHANNON_ENTROPY: 11.8845219, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 5, 'shrink': 2000, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'none'} - results: ROC_AUC: 0.1003055, PRECISION: 0.0164515, PRECISION_RECALL_MIN_DEN: 0.0548382, RECALL: 0.0548382, MAP: 0.0255125, MRR: 0.0698796, NDCG: 0.0443681, F1: 0.0253100, HIT_RATE: 0.1645147, ARHR: 0.0731431, RMSE: 0.9999329, NOVELTY: 0.0066247, AVERAGE_POPULARITY: 0.1943746, DIVERSITY_MEAN_INTER_LIST: 0.9897911, DIVERSITY_HERFINDAHL: 0.9989730, COVERAGE_ITEM: 0.7294404, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3097900, SHANNON_ENTROPY: 11.8845219, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 5, 'shrink': 2000, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0979112, PRECISION: 0.0159572, PRECISION_RECALL_MIN_DEN: 0.0531908, RECALL: 0.0531908, MAP: 0.0252027, MRR: 0.0689402, NDCG: 0.0434901, F1: 0.0245496, HIT_RATE: 0.1595725, ARHR: 0.0722003, RMSE: 0.9999317, NOVELTY: 0.0066431, AVERAGE_POPULARITY: 0.1882539, DIVERSITY_MEAN_INTER_LIST: 0.9905698, DIVERSITY_HERFINDAHL: 0.9990509, COVERAGE_ITEM: 0.7336577, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3327089, SHANNON_ENTROPY: 12.0089239, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 500, 'shrink': 1228, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0054142, PRECISION: 0.0007537, PRECISION_RECALL_MIN_DEN: 0.0025123, RECALL: 0.0025123, MAP: 0.0015458, MRR: 0.0045066, NDCG: 0.0024668, F1: 0.0011595, HIT_RATE: 0.0075369, ARHR: 0.0045720, RMSE: 0.9999998, NOVELTY: 0.0058378, AVERAGE_POPULARITY: 0.0092863, DIVERSITY_MEAN_INTER_LIST: 0.4607825, DIVERSITY_HERFINDAHL: 0.9460754, COVERAGE_ITEM: 0.4962422, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0893553, SHANNON_ENTROPY: 5.8491987, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 5, 'shrink': 2000, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0993338, PRECISION: 0.0162353, PRECISION_RECALL_MIN_DEN: 0.0541175, RECALL: 0.0541175, MAP: 0.0251055, MRR: 0.0685958, NDCG: 0.0436936, F1: 0.0249773, HIT_RATE: 0.1623525, ARHR: 0.0718769, RMSE: 0.9999328, NOVELTY: 0.0066050, AVERAGE_POPULARITY: 0.1960092, DIVERSITY_MEAN_INTER_LIST: 0.9899347, DIVERSITY_HERFINDAHL: 0.9989874, COVERAGE_ITEM: 0.7272776, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3050671, SHANNON_ENTROPY: 11.8756497, 
SearchBayesianSkopt: Config 30 is suboptimal. Config: {'topK': 5, 'shrink': 2000, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0990953, PRECISION: 0.0162105, PRECISION_RECALL_MIN_DEN: 0.0540351, RECALL: 0.0540351, MAP: 0.0251423, MRR: 0.0688214, NDCG: 0.0437208, F1: 0.0249393, HIT_RATE: 0.1621054, ARHR: 0.0720434, RMSE: 0.9999328, NOVELTY: 0.0066042, AVERAGE_POPULARITY: 0.1956513, DIVERSITY_MEAN_INTER_LIST: 0.9899910, DIVERSITY_HERFINDAHL: 0.9989930, COVERAGE_ITEM: 0.7272236, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3052364, SHANNON_ENTROPY: 11.8800779, 
SearchBayesianSkopt: Config 31 is suboptimal. Config: {'topK': 5, 'shrink': 2000, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0993338, PRECISION: 0.0162353, PRECISION_RECALL_MIN_DEN: 0.0541175, RECALL: 0.0541175, MAP: 0.0251055, MRR: 0.0685958, NDCG: 0.0436936, F1: 0.0249773, HIT_RATE: 0.1623525, ARHR: 0.0718769, RMSE: 0.9999328, NOVELTY: 0.0066050, AVERAGE_POPULARITY: 0.1960092, DIVERSITY_MEAN_INTER_LIST: 0.9899347, DIVERSITY_HERFINDAHL: 0.9989874, COVERAGE_ITEM: 0.7272776, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3050671, SHANNON_ENTROPY: 11.8756497, 
