SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 1988, 'shrink': 1995, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0328261, PRECISION: 0.0062555, PRECISION_RECALL_MIN_DEN: 0.0208516, RECALL: 0.0208516, MAP: 0.0068304, MRR: 0.0198772, NDCG: 0.0140374, F1: 0.0096238, HIT_RATE: 0.0625549, ARHR: 0.0201842, RMSE: 0.9986916, NOVELTY: 0.0054979, AVERAGE_POPULARITY: 0.5383412, DIVERSITY_MEAN_INTER_LIST: 0.8672148, DIVERSITY_HERFINDAHL: 0.9867024, COVERAGE_ITEM: 0.1302514, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1340612, SHANNON_ENTROPY: 7.7800774, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 1985, 'shrink': 2, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0184814, PRECISION: 0.0035777, PRECISION_RECALL_MIN_DEN: 0.0119257, RECALL: 0.0119257, MAP: 0.0039905, MRR: 0.0113821, NDCG: 0.0080832, F1: 0.0055042, HIT_RATE: 0.0357770, ARHR: 0.0116768, RMSE: 13.1303912, NOVELTY: 0.0065557, AVERAGE_POPULARITY: 0.2562989, DIVERSITY_MEAN_INTER_LIST: 0.9662613, DIVERSITY_HERFINDAHL: 0.9966049, COVERAGE_ITEM: 0.0532576, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3673002, SHANNON_ENTROPY: 8.8777662, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 1999, 'shrink': 1891, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0384688, PRECISION: 0.0075505, PRECISION_RECALL_MIN_DEN: 0.0251683, RECALL: 0.0251683, MAP: 0.0083788, MRR: 0.0237678, NDCG: 0.0169859, F1: 0.0116161, HIT_RATE: 0.0755048, ARHR: 0.0244521, RMSE: 0.9442717, NOVELTY: 0.0054250, AVERAGE_POPULARITY: 0.5629641, DIVERSITY_MEAN_INTER_LIST: 0.8810069, DIVERSITY_HERFINDAHL: 0.9880814, COVERAGE_ITEM: 0.0143282, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3717694, SHANNON_ENTROPY: 7.0023803, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 2000, 'shrink': 2000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0432092, PRECISION: 0.0086260, PRECISION_RECALL_MIN_DEN: 0.0287533, RECALL: 0.0287533, MAP: 0.0093252, MRR: 0.0263412, NDCG: 0.0191095, F1: 0.0132708, HIT_RATE: 0.0862599, ARHR: 0.0271583, RMSE: 0.9864727, NOVELTY: 0.0050993, AVERAGE_POPULARITY: 0.7033595, DIVERSITY_MEAN_INTER_LIST: 0.7847903, DIVERSITY_HERFINDAHL: 0.9784618, COVERAGE_ITEM: 0.0065964, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3849686, SHANNON_ENTROPY: 5.9620189, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 1982, 'shrink': 10, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0487986, PRECISION: 0.0092406, PRECISION_RECALL_MIN_DEN: 0.0308019, RECALL: 0.0308019, MAP: 0.0102660, MRR: 0.0297483, NDCG: 0.0209146, F1: 0.0142162, HIT_RATE: 0.0924056, ARHR: 0.0302731, RMSE: 3.3043504, NOVELTY: 0.0050384, AVERAGE_POPULARITY: 0.7474441, DIVERSITY_MEAN_INTER_LIST: 0.7013128, DIVERSITY_HERFINDAHL: 0.9701159, COVERAGE_ITEM: 0.0047040, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4008066, SHANNON_ENTROPY: 5.5171175, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 2000, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0477713, PRECISION: 0.0091089, PRECISION_RECALL_MIN_DEN: 0.0303629, RECALL: 0.0303629, MAP: 0.0102351, MRR: 0.0296520, NDCG: 0.0207204, F1: 0.0140136, HIT_RATE: 0.0910887, ARHR: 0.0301786, RMSE: 4.5177065, NOVELTY: 0.0050406, AVERAGE_POPULARITY: 0.7453651, DIVERSITY_MEAN_INTER_LIST: 0.7121832, DIVERSITY_HERFINDAHL: 0.9712027, COVERAGE_ITEM: 0.0048662, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3990613, SHANNON_ENTROPY: 5.5621641, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 2000, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0477713, PRECISION: 0.0091089, PRECISION_RECALL_MIN_DEN: 0.0303629, RECALL: 0.0303629, MAP: 0.0102351, MRR: 0.0296520, NDCG: 0.0207204, F1: 0.0140136, HIT_RATE: 0.0910887, ARHR: 0.0301786, RMSE: 4.5177065, NOVELTY: 0.0050406, AVERAGE_POPULARITY: 0.7453651, DIVERSITY_MEAN_INTER_LIST: 0.7121832, DIVERSITY_HERFINDAHL: 0.9712027, COVERAGE_ITEM: 0.0048662, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3990613, SHANNON_ENTROPY: 5.5621641, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 2000, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0496125, PRECISION: 0.0094820, PRECISION_RECALL_MIN_DEN: 0.0316067, RECALL: 0.0316067, MAP: 0.0104071, MRR: 0.0298924, NDCG: 0.0212753, F1: 0.0145877, HIT_RATE: 0.0948200, ARHR: 0.0305568, RMSE: 1.0130105, NOVELTY: 0.0049657, AVERAGE_POPULARITY: 0.8031387, DIVERSITY_MEAN_INTER_LIST: 0.6104002, DIVERSITY_HERFINDAHL: 0.9610266, COVERAGE_ITEM: 0.0030819, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4483281, SHANNON_ENTROPY: 5.0595514, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 1991, 'shrink': 1995, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0329450, PRECISION: 0.0060579, PRECISION_RECALL_MIN_DEN: 0.0201932, RECALL: 0.0201932, MAP: 0.0070554, MRR: 0.0204116, NDCG: 0.0140618, F1: 0.0093199, HIT_RATE: 0.0605795, ARHR: 0.0207889, RMSE: 0.9850778, NOVELTY: 0.0055678, AVERAGE_POPULARITY: 0.5663560, DIVERSITY_MEAN_INTER_LIST: 0.8179221, DIVERSITY_HERFINDAHL: 0.9817743, COVERAGE_ITEM: 0.0444444, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1888433, SHANNON_ENTROPY: 7.1307179, 
SearchBayesianSkopt: Config 30 is suboptimal. Config: {'topK': 1954, 'shrink': 20, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0289697, PRECISION: 0.0056190, PRECISION_RECALL_MIN_DEN: 0.0187299, RECALL: 0.0187299, MAP: 0.0060267, MRR: 0.0169741, NDCG: 0.0124133, F1: 0.0086446, HIT_RATE: 0.0561896, ARHR: 0.0175271, RMSE: 0.9301864, NOVELTY: 0.0057352, AVERAGE_POPULARITY: 0.4308245, DIVERSITY_MEAN_INTER_LIST: 0.9375470, DIVERSITY_HERFINDAHL: 0.9937341, COVERAGE_ITEM: 0.0775345, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1943388, SHANNON_ENTROPY: 8.3552569, 
SearchBayesianSkopt: Config 31 is suboptimal. Config: {'topK': 2000, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0477713, PRECISION: 0.0091089, PRECISION_RECALL_MIN_DEN: 0.0303629, RECALL: 0.0303629, MAP: 0.0102351, MRR: 0.0296520, NDCG: 0.0207204, F1: 0.0140136, HIT_RATE: 0.0910887, ARHR: 0.0301786, RMSE: 4.5177065, NOVELTY: 0.0050406, AVERAGE_POPULARITY: 0.7453651, DIVERSITY_MEAN_INTER_LIST: 0.7121832, DIVERSITY_HERFINDAHL: 0.9712027, COVERAGE_ITEM: 0.0048662, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3990613, SHANNON_ENTROPY: 5.5621641, 
SearchBayesianSkopt: Config 32 is suboptimal. Config: {'topK': 1976, 'shrink': 1970, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0390145, PRECISION: 0.0075944, PRECISION_RECALL_MIN_DEN: 0.0253146, RECALL: 0.0253146, MAP: 0.0083951, MRR: 0.0236724, NDCG: 0.0170248, F1: 0.0116837, HIT_RATE: 0.0759438, ARHR: 0.0244179, RMSE: 0.9394657, NOVELTY: 0.0053196, AVERAGE_POPULARITY: 0.5951503, DIVERSITY_MEAN_INTER_LIST: 0.8586138, DIVERSITY_HERFINDAHL: 0.9858425, COVERAGE_ITEM: 0.0104893, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3940744, SHANNON_ENTROPY: 6.6570228, 
