SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 1000, 'shrink': 11, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1328032, PRECISION: 0.0075865, PRECISION_RECALL_MIN_DEN: 0.0758655, RECALL: 0.0758655, MAP: 0.0389755, MRR: 0.0389755, NDCG: 0.0476669, F1: 0.0137937, HIT_RATE: 0.0758655, ARHR: 0.0389755, RMSE: nan, NOVELTY: 0.0067528, AVERAGE_POPULARITY: 0.3530820, DIVERSITY_MEAN_INTER_LIST: 0.9623685, DIVERSITY_HERFINDAHL: 0.9955635, COVERAGE_ITEM: 0.8046082, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.1631823, SHANNON_ENTROPY: 10.1007654, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 968, 'shrink': 996, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1204818, PRECISION: 0.0059416, PRECISION_RECALL_MIN_DEN: 0.0594157, RECALL: 0.0594157, MAP: 0.0309187, MRR: 0.0309187, NDCG: 0.0375932, F1: 0.0108028, HIT_RATE: 0.0594157, ARHR: 0.0309187, RMSE: nan, NOVELTY: 0.0057965, AVERAGE_POPULARITY: 0.6098422, DIVERSITY_MEAN_INTER_LIST: 0.8371688, DIVERSITY_HERFINDAHL: 0.9808194, COVERAGE_ITEM: 0.3162925, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.0509113, SHANNON_ENTROPY: 7.0801518, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 998, 'shrink': 2, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1307345, PRECISION: 0.0072510, PRECISION_RECALL_MIN_DEN: 0.0725100, RECALL: 0.0725100, MAP: 0.0376110, MRR: 0.0376110, NDCG: 0.0458396, F1: 0.0131836, HIT_RATE: 0.0725100, ARHR: 0.0376110, RMSE: nan, NOVELTY: 0.0072195, AVERAGE_POPULARITY: 0.3084915, DIVERSITY_MEAN_INTER_LIST: 0.9701895, DIVERSITY_HERFINDAHL: 0.9964846, COVERAGE_ITEM: 0.8903581, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.2261504, SHANNON_ENTROPY: 10.7298099, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1305844, PRECISION: 0.0075825, PRECISION_RECALL_MIN_DEN: 0.0758245, RECALL: 0.0758245, MAP: 0.0363193, MRR: 0.0363193, NDCG: 0.0455857, F1: 0.0137863, HIT_RATE: 0.0758245, ARHR: 0.0363193, RMSE: nan, NOVELTY: 0.0080986, AVERAGE_POPULARITY: 0.1535092, DIVERSITY_MEAN_INTER_LIST: 0.9909439, DIVERSITY_HERFINDAHL: 0.9989287, COVERAGE_ITEM: 0.8681678, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.3212738, SHANNON_ENTROPY: 11.8906153, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 10, 'shrink': 8, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1359949, PRECISION: 0.0080121, PRECISION_RECALL_MIN_DEN: 0.0801211, RECALL: 0.0801211, MAP: 0.0405220, MRR: 0.0405220, NDCG: 0.0498774, F1: 0.0145675, HIT_RATE: 0.0801211, ARHR: 0.0405220, RMSE: nan, NOVELTY: 0.0076303, AVERAGE_POPULARITY: 0.1931795, DIVERSITY_MEAN_INTER_LIST: 0.9920546, DIVERSITY_HERFINDAHL: 0.9990595, COVERAGE_ITEM: 0.8880670, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.2740232, SHANNON_ENTROPY: 11.6861205, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 16, 'shrink': 1000, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1270426, PRECISION: 0.0068541, PRECISION_RECALL_MIN_DEN: 0.0685408, RECALL: 0.0685408, MAP: 0.0346668, MRR: 0.0346668, NDCG: 0.0426342, F1: 0.0124620, HIT_RATE: 0.0685408, ARHR: 0.0346668, RMSE: nan, NOVELTY: 0.0065445, AVERAGE_POPULARITY: 0.3576201, DIVERSITY_MEAN_INTER_LIST: 0.9747456, DIVERSITY_HERFINDAHL: 0.9970211, COVERAGE_ITEM: 0.6542515, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.1265459, SHANNON_ENTROPY: 9.9198350, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 999, 'shrink': 4, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1318848, PRECISION: 0.0074188, PRECISION_RECALL_MIN_DEN: 0.0741877, RECALL: 0.0741877, MAP: 0.0382662, MRR: 0.0382662, NDCG: 0.0467393, F1: 0.0134887, HIT_RATE: 0.0741877, ARHR: 0.0382662, RMSE: nan, NOVELTY: 0.0070543, AVERAGE_POPULARITY: 0.3239196, DIVERSITY_MEAN_INTER_LIST: 0.9675730, DIVERSITY_HERFINDAHL: 0.9961764, COVERAGE_ITEM: 0.8763501, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.2051993, SHANNON_ENTROPY: 10.5264374, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 20, 'shrink': 10, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1361268, PRECISION: 0.0080776, PRECISION_RECALL_MIN_DEN: 0.0807758, RECALL: 0.0807758, MAP: 0.0405941, MRR: 0.0405941, NDCG: 0.0500786, F1: 0.0146865, HIT_RATE: 0.0807758, ARHR: 0.0405941, RMSE: nan, NOVELTY: 0.0074179, AVERAGE_POPULARITY: 0.2228660, DIVERSITY_MEAN_INTER_LIST: 0.9902001, DIVERSITY_HERFINDAHL: 0.9988411, COVERAGE_ITEM: 0.8823722, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.2481973, SHANNON_ENTROPY: 11.4636636, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1305844, PRECISION: 0.0075825, PRECISION_RECALL_MIN_DEN: 0.0758245, RECALL: 0.0758245, MAP: 0.0363193, MRR: 0.0363193, NDCG: 0.0455857, F1: 0.0137863, HIT_RATE: 0.0758245, ARHR: 0.0363193, RMSE: nan, NOVELTY: 0.0080986, AVERAGE_POPULARITY: 0.1535092, DIVERSITY_MEAN_INTER_LIST: 0.9909439, DIVERSITY_HERFINDAHL: 0.9989287, COVERAGE_ITEM: 0.8681678, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.3212738, SHANNON_ENTROPY: 11.8906153, 
SearchBayesianSkopt: Config 30 is suboptimal. Config: {'topK': 995, 'shrink': 7, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1325622, PRECISION: 0.0075579, PRECISION_RECALL_MIN_DEN: 0.0755790, RECALL: 0.0755790, MAP: 0.0387007, MRR: 0.0387007, NDCG: 0.0473931, F1: 0.0137416, HIT_RATE: 0.0755790, ARHR: 0.0387007, RMSE: nan, NOVELTY: 0.0068899, AVERAGE_POPULARITY: 0.3393882, DIVERSITY_MEAN_INTER_LIST: 0.9648734, DIVERSITY_HERFINDAHL: 0.9958585, COVERAGE_ITEM: 0.8461740, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.1829472, SHANNON_ENTROPY: 10.3058392, 
SearchBayesianSkopt: Config 31 is suboptimal. Config: {'topK': 992, 'shrink': 997, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1205681, PRECISION: 0.0059293, PRECISION_RECALL_MIN_DEN: 0.0592929, RECALL: 0.0592929, MAP: 0.0309373, MRR: 0.0309373, NDCG: 0.0375852, F1: 0.0107805, HIT_RATE: 0.0592929, ARHR: 0.0309373, RMSE: nan, NOVELTY: 0.0057941, AVERAGE_POPULARITY: 0.6108556, DIVERSITY_MEAN_INTER_LIST: 0.8362433, DIVERSITY_HERFINDAHL: 0.9807104, COVERAGE_ITEM: 0.3154415, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.0505790, SHANNON_ENTROPY: 7.0670975, 
SearchBayesianSkopt: Config 32 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.1305844, PRECISION: 0.0075825, PRECISION_RECALL_MIN_DEN: 0.0758245, RECALL: 0.0758245, MAP: 0.0363193, MRR: 0.0363193, NDCG: 0.0455857, F1: 0.0137863, HIT_RATE: 0.0758245, ARHR: 0.0363193, RMSE: nan, NOVELTY: 0.0080986, AVERAGE_POPULARITY: 0.1535092, DIVERSITY_MEAN_INTER_LIST: 0.9909439, DIVERSITY_HERFINDAHL: 0.9989287, COVERAGE_ITEM: 0.8681678, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.3212738, SHANNON_ENTROPY: 11.8906153, 
SearchBayesianSkopt: Config 33 is suboptimal. Config: {'topK': 998, 'shrink': 6, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1324304, PRECISION: 0.0075252, PRECISION_RECALL_MIN_DEN: 0.0752517, RECALL: 0.0752517, MAP: 0.0385916, MRR: 0.0385916, NDCG: 0.0472358, F1: 0.0136821, HIT_RATE: 0.0752517, ARHR: 0.0385916, RMSE: nan, NOVELTY: 0.0069376, AVERAGE_POPULARITY: 0.3349764, DIVERSITY_MEAN_INTER_LIST: 0.9656133, DIVERSITY_HERFINDAHL: 0.9959456, COVERAGE_ITEM: 0.8578255, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.1892511, SHANNON_ENTROPY: 10.3708702, 
SearchBayesianSkopt: Config 34 is suboptimal. Config: {'topK': 19, 'shrink': 998, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.1268880, PRECISION: 0.0068500, PRECISION_RECALL_MIN_DEN: 0.0684999, RECALL: 0.0684999, MAP: 0.0345978, MRR: 0.0345978, NDCG: 0.0425670, F1: 0.0124545, HIT_RATE: 0.0684999, ARHR: 0.0345978, RMSE: nan, NOVELTY: 0.0065086, AVERAGE_POPULARITY: 0.3671833, DIVERSITY_MEAN_INTER_LIST: 0.9728497, DIVERSITY_HERFINDAHL: 0.9967978, COVERAGE_ITEM: 0.6488839, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.1231220, SHANNON_ENTROPY: 9.8344829, 
SearchBayesianSkopt: Search complete. Best config is 15: {'topK': 7, 'shrink': 10, 'similarity': 'jaccard', 'normalize': True}
