SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 19, 'shrink': 988, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2277813, PRECISION: 0.0016873, PRECISION_RECALL_MIN_DEN: 0.0056244, RECALL: 0.0056244, MAP: 0.0015974, MRR: 0.0047544, NDCG: 0.0035337, F1: 0.0025959, HIT_RATE: 0.0168732, ARHR: 0.0047733, RMSE: nan, NOVELTY: 0.0049230, AVERAGE_POPULARITY: 0.2069306, DIVERSITY_MEAN_INTER_LIST: 0.9939783, DIVERSITY_HERFINDAHL: 0.9990033, COVERAGE_ITEM: 0.6045418, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2397858, SHANNON_ENTROPY: 11.4141980, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'none'} - results: ROC_AUC: 0.2289718, PRECISION: 0.0019717, PRECISION_RECALL_MIN_DEN: 0.0065725, RECALL: 0.0065725, MAP: 0.0018631, MRR: 0.0054492, NDCG: 0.0041061, F1: 0.0030335, HIT_RATE: 0.0197175, ARHR: 0.0055192, RMSE: nan, NOVELTY: 0.0047649, AVERAGE_POPULARITY: 0.2166756, DIVERSITY_MEAN_INTER_LIST: 0.9888720, DIVERSITY_HERFINDAHL: 0.9981648, COVERAGE_ITEM: 0.5132739, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1927541, SHANNON_ENTROPY: 10.6786411, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 975, 'shrink': 984, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2259862, PRECISION: 0.0013932, PRECISION_RECALL_MIN_DEN: 0.0046441, RECALL: 0.0046441, MAP: 0.0012151, MRR: 0.0036071, NDCG: 0.0027990, F1: 0.0021434, HIT_RATE: 0.0139324, ARHR: 0.0036262, RMSE: nan, NOVELTY: 0.0048181, AVERAGE_POPULARITY: 0.1764296, DIVERSITY_MEAN_INTER_LIST: 0.9936805, DIVERSITY_HERFINDAHL: 0.9989544, COVERAGE_ITEM: 0.4556367, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1837430, SHANNON_ENTROPY: 10.7562260, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'none'} - results: ROC_AUC: 0.2235614, PRECISION: 0.0006364, PRECISION_RECALL_MIN_DEN: 0.0021212, RECALL: 0.0021212, MAP: 0.0009202, MRR: 0.0027123, NDCG: 0.0016771, F1: 0.0009790, HIT_RATE: 0.0063636, ARHR: 0.0027364, RMSE: nan, NOVELTY: 0.0058038, AVERAGE_POPULARITY: 0.0529805, DIVERSITY_MEAN_INTER_LIST: 0.9988767, DIVERSITY_HERFINDAHL: 0.9998076, COVERAGE_ITEM: 0.7074344, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.4463974, SHANNON_ENTROPY: 12.9014773, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 22, 'shrink': 995, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2268379, PRECISION: 0.0013981, PRECISION_RECALL_MIN_DEN: 0.0046602, RECALL: 0.0046602, MAP: 0.0014326, MRR: 0.0042871, NDCG: 0.0030548, F1: 0.0021509, HIT_RATE: 0.0139806, ARHR: 0.0042925, RMSE: nan, NOVELTY: 0.0050549, AVERAGE_POPULARITY: 0.1781582, DIVERSITY_MEAN_INTER_LIST: 0.9958294, DIVERSITY_HERFINDAHL: 0.9993072, COVERAGE_ITEM: 0.6348743, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2867538, SHANNON_ENTROPY: 11.8751567, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'topK': 996, 'shrink': 2, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2268824, PRECISION: 0.0015138, PRECISION_RECALL_MIN_DEN: 0.0050459, RECALL: 0.0050459, MAP: 0.0014826, MRR: 0.0044107, NDCG: 0.0032192, F1: 0.0023289, HIT_RATE: 0.0151376, ARHR: 0.0044293, RMSE: nan, NOVELTY: 0.0047792, AVERAGE_POPULARITY: 0.1968576, DIVERSITY_MEAN_INTER_LIST: 0.9885650, DIVERSITY_HERFINDAHL: 0.9981144, COVERAGE_ITEM: 0.5013247, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1808276, SHANNON_ENTROPY: 10.5814967, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'topK': 31, 'shrink': 987, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'none'} - results: ROC_AUC: 0.2290505, PRECISION: 0.0018127, PRECISION_RECALL_MIN_DEN: 0.0060422, RECALL: 0.0060422, MAP: 0.0019292, MRR: 0.0056886, NDCG: 0.0040253, F1: 0.0027887, HIT_RATE: 0.0181266, ARHR: 0.0057380, RMSE: nan, NOVELTY: 0.0048286, AVERAGE_POPULARITY: 0.2172919, DIVERSITY_MEAN_INTER_LIST: 0.9933201, DIVERSITY_HERFINDAHL: 0.9988952, COVERAGE_ITEM: 0.5171127, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2159480, SHANNON_ENTROPY: 11.1203343, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'none'} - results: ROC_AUC: 0.2300251, PRECISION: 0.0022080, PRECISION_RECALL_MIN_DEN: 0.0073599, RECALL: 0.0073599, MAP: 0.0019910, MRR: 0.0058577, NDCG: 0.0045054, F1: 0.0033969, HIT_RATE: 0.0220797, ARHR: 0.0059153, RMSE: nan, NOVELTY: 0.0046966, AVERAGE_POPULARITY: 0.2450428, DIVERSITY_MEAN_INTER_LIST: 0.9810299, DIVERSITY_HERFINDAHL: 0.9968771, COVERAGE_ITEM: 0.5156529, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1817135, SHANNON_ENTROPY: 10.2966314, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'topK': 59, 'shrink': 56, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2295721, PRECISION: 0.0019284, PRECISION_RECALL_MIN_DEN: 0.0064279, RECALL: 0.0064279, MAP: 0.0019926, MRR: 0.0058353, NDCG: 0.0042123, F1: 0.0029667, HIT_RATE: 0.0192836, ARHR: 0.0059065, RMSE: nan, NOVELTY: 0.0047806, AVERAGE_POPULARITY: 0.2297973, DIVERSITY_MEAN_INTER_LIST: 0.9919001, DIVERSITY_HERFINDAHL: 0.9986620, COVERAGE_ITEM: 0.5024061, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2063186, SHANNON_ENTROPY: 10.9321449, 
SearchBayesianSkopt: Config 30 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'none'} - results: ROC_AUC: 0.2272845, PRECISION: 0.0013257, PRECISION_RECALL_MIN_DEN: 0.0044192, RECALL: 0.0044192, MAP: 0.0015723, MRR: 0.0046525, NDCG: 0.0031299, F1: 0.0020396, HIT_RATE: 0.0132575, ARHR: 0.0046847, RMSE: nan, NOVELTY: 0.0051260, AVERAGE_POPULARITY: 0.1473240, DIVERSITY_MEAN_INTER_LIST: 0.9952896, DIVERSITY_HERFINDAHL: 0.9992186, COVERAGE_ITEM: 0.5571235, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2559062, SHANNON_ENTROPY: 11.5739942, 
